"stretch_id","motorbike","car","car_axle","bus_2_axle","bus_3_axle","bus_4_axle","truck_2_axle","truck_3_axle","truck_4_axle","truck_5_axle","truck_6_axle","truck_7_axle","truck_8_axle","truck_9_axle","load_axle","truck_10_axle","toll_ref","motorbike_axle","car_rush_hour","car_evening_hour","pedestrian","bicycle","car_rush_hour_2","car_evening_hour_2","car_morning_night_hour_2"
1,11,22,11,40,40,40,39,39,64,64,97,97,97,97,20,,"pase",,,,,,,,
2,11,22,11,40,40,40,39,39,64,64,99,99,99,99,20,,"pase",,,,,,,,
6,27,54,27,84,84,84,84,84,84,116,116,162,162,162,42,,"pase",,,,,,,,
3,70,140,70,271,271,271,259,259,533,533,730,730,730,730,130,,"pase",,,,,,,,
4,22,44,22,107,107,107,100,100,202,202,284,284,284,284,50,,"pase",,,,,,,,
7,41,82,41,158,158,158,158,187,187,287,287,384,384,384,82,,"pase",,,,,,,,
1440,20,40,20,90,90,90,90,90,90,145,145,191,191,191,39,,"pase",,,,,,,,
8,101,203,101,406,406,406,406,406,406,664,664,811,811,811,202,,"pase",,,,,,,,
9,54,108,54,216,216,216,216,216,216,354,354,432,432,432,108,,"pase",,,,,,,,
10,47,95,47,189,189,189,189,189,189,310,310,379,379,379,94,,"pase",,,,,,,,
11,37,75,38,153,153,153,146,146,279,279,372,372,372,372,73,,"pase",,,,,,,,
12,19,39,20,75,75,75,73,73,139,139,196,196,196,196,37,,"pase",,,,,,,,
17,72,145,73,316,316,316,299,299,577,577,840,840,840,840,150,,"pase",,,,,,,,
18,37,75,38,159,159,159,158,158,288,288,421,421,421,421,79,,"pase",,,,,,,,
19,37,75,38,159,159,159,158,158,288,288,421,421,421,421,79,,"pase",,,,,,,,
1378,17,34,17,86,86,86,71,71,139,139,187,187,187,187,36,,"pase",,,,,,,,
1379,7,15,8,46,46,46,44,44,88,88,107,107,107,107,22,,"pase",,,,,,,,
20,59,118,59,161,161,161,152,152,152,214,214,225,225,225,76,,"pase",,,,,,,,
