index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
021-01,esperanza,acatzingo-cd. mendoza,mex-150d,217.5,15124,0.4,45.7,0.3,4.3,4.8,7.0,0.6,16.8,2.3,0.4,0.2,12.2,5.0,5520432,8.3,6.3,8.4,9.1,8.4,7.9,8.8,8.9,7.7,8.2,8.2,9.8
021-02,esperanza,acatzingo-esperanza,mex-150d,217.5,1494,0.4,74.0,0.3,1.4,6.4,4.1,0.2,1.6,0.4,0.0,0.0,0.8,10.4,545232,8.0,6.2,7.8,7.6,7.8,7.8,8.8,9.5,9.1,9.5,8.7,9.2
021-03,esperanza,esperanza-cd. mendoza,mex-150d,217.5,2319,0.5,41.8,0.4,1.3,4.5,8.5,0.9,16.8,3.5,0.2,0.0,4.2,17.4,846281,7.9,6.8,8.3,8.8,8.7,8.1,8.7,8.9,7.8,8.3,8.4,9.3
022-01,fortín de las flores,cd. mendoza-córdoba,mex-150d,286.25,22886,1.2,54.9,0.2,5.0,4.9,6.0,0.7,13.8,2.2,0.3,0.2,9.1,1.5,8353315,8.0,6.2,8.6,8.9,8.8,8.2,8.7,8.8,7.9,8.6,8.5,8.8
022-02,fortín de las flores,cd. mendoza-fortín,mex-150d,286.25,12470,4.4,82.2,0.1,2.4,3.4,3.5,0.2,1.4,0.3,0.0,0.1,1.1,0.9,4551518,8.2,6.1,8.7,8.4,9.0,8.2,8.5,8.7,8.0,8.8,8.5,8.9
023,puente la piedad,irapuato-guadalajara,mex-090,89.1,3402,1.6,65.6,0.5,5.3,7.3,6.7,0.6,10.2,1.6,0.0,0.0,0.3,0.3,1241739,7.4,6.7,7.7,7.7,10.2,8.7,9.0,8.6,7.7,8.2,8.6,9.5
024,puente tecolutla,veracruz-poza rica,mex-180,52.8,4379,9.7,69.2,0.4,4.4,3.7,3.0,0.3,5.7,1.2,0.0,0.0,1.9,0.5,1598275,9.5,7.6,8.4,9.5,9.6,7.6,8.6,8.8,7.4,7.2,7.2,8.6
025,puente inter. las flores,nuevo progreso-progreso,mex-002,0.0,1586,0.1,91.9,0.2,0.0,0.1,0.5,0.1,2.1,1.0,0.1,0.0,3.9,0.0,578841,7.9,7.5,8.7,8.4,8.5,7.8,8.4,8.2,8.2,8.5,8.4,9.5
026,puente san juan,reynosa-nuevo laredo,mex-002,64.0,2598,0.2,67.1,1.5,1.1,4.0,2.1,0.3,7.1,1.2,0.1,0.1,12.1,3.1,948325,7.6,7.4,8.5,8.5,10.1,8.7,8.8,8.6,8.0,8.2,7.7,7.9
027,puente inter. ojinaga,ojinaga-presidio,mex-016,0.0,1753,0.1,94.5,2.1,0.2,1.4,0.2,0.3,1.1,0.0,0.0,0.1,0.0,0.0,639663,7.8,6.9,8.3,8.2,8.5,8.2,8.9,8.6,8.2,8.7,8.8,8.9
