index,tollbooth_name,way,highway,km,coords,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,"25.512854,-108.347613",13355,0.5,60.5,1.0,4.4,3.8,3.1,0.8,16.5,1.7,0.3,0.0,4.6,2.8,4887815,9.2,8.1,9.1,8.6,8.6,8.1,8.8,8.5,6.5,6.8,8.1,9.6
002,puente pánuco,alazán-canoas,mex-127,172.1,"22.148796,-98.144935",5439,5.5,79.7,0.7,5.1,3.0,1.6,0.1,1.5,1.4,0.0,0.0,0.8,0.6,1990724,8.7,8.1,9.0,8.5,8.7,7.9,8.4,8.2,7.5,7.7,8.1,9.2
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,"18.115163,-94.410828",11526,9.4,68.6,0.2,8.5,3.3,2.8,0.0,2.1,1.7,0.0,0.0,3.4,0.0,4218638,8.2,7.9,8.4,8.5,8.5,8.5,8.8,8.7,8.3,8.6,7.8,7.8
004,puente culiacán,culiacán-el limón,mex-015,22.0,"24.948949,-107.545695",8476,1.0,85.0,0.9,2.7,2.7,1.5,0.2,2.5,0.4,0.0,0.0,0.2,2.9,3102047,9.5,8.4,9.2,8.7,9.1,8.6,8.9,8.5,5.1,5.6,8.7,9.7
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,"18.769942,-95.744584",5358,7.4,77.0,0.6,5.3,3.0,2.7,0.1,1.7,0.7,0.0,0.0,0.3,1.2,1961075,8.5,7.8,9.1,8.5,8.6,7.8,8.4,8.8,7.9,7.5,7.6,9.5
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,"25.896956,-97.498026",3064,0.4,99.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121379,8.1,8.4,8.7,9.2,8.7,8.3,8.2,8.4,6.9,8.7,7.9,8.5
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,"18.159601,-96.096694",3391,14.6,65.1,3.0,4.0,4.6,3.7,0.2,2.5,0.4,0.0,0.0,1.1,0.8,1241045,5.6,6.0,6.0,6.8,6.4,5.9,7.9,14.6,12.9,10.1,7.7,10.1
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,"18.133084,-96.136714",5864,11.8,65.2,0.9,6.3,3.5,2.6,0.2,2.8,0.6,0.0,0.0,5.5,0.6,2146120,10.1,8.8,9.9,9.4,10.0,9.3,8.8,4.8,4.9,6.8,8.3,8.9
009,puente inter. camargo,camargo-río grande,mex-002,0.0,"26.362407,-98.806294",1307,0.1,91.3,0.7,0.0,0.2,0.4,0.1,2.3,0.1,0.0,0.0,4.8,0.0,478205,7.9,8.2,8.9,8.5,8.6,7.6,7.9,8.1,8.2,8.3,8.4,9.4
010,puente nautla,nautla-cardel,mex-180,0.7,"20.210202,-96.778742",3124,5.7,73.7,1.1,3.4,4.7,2.7,0.4,5.7,1.0,0.0,0.0,1.0,0.6,1143375,8.2,8.0,9.5,8.8,8.7,8.0,8.4,9.2,7.9,7.3,7.6,8.4
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,"32.514051,-117.109566",20862,1.2,97.1,0.0,0.4,0.5,0.4,0.0,0.3,0.1,0.0,0.0,0.0,0.0,7635668,8.4,7.3,8.1,8.0,8.5,8.6,9.0,9.2,8.7,8.7,7.6,7.9
012,rosarito,rosarito-la misión,mex-001d,35.427,"32.311096,-117.044403",13790,0.7,92.5,0.0,1.4,1.7,0.4,0.1,2.6,0.1,0.0,0.0,0.5,0.0,5047219,7.3,6.7,8.2,7.8,8.5,8.9,10.1,9.9,8.8,8.3,7.7,7.8
013,nodo popotla,la misión-corredor 2000,mex-001d,38.6,"32.283815,-117.029678",3151,0.3,64.6,0.0,0.2,4.7,2.1,0.5,21.7,1.1,0.1,0.0,4.7,0.0,1153231,7.2,6.7,8.3,8.1,8.6,8.7,10.3,10.2,8.7,8.0,7.7,7.5
014,ensenada,la misión-ensenada,mex-001d,98.599,"31.903097,-116.732777",16063,0.5,84.9,0.0,2.6,2.6,0.9,0.2,6.6,0.3,0.0,0.0,1.4,0.0,5879118,7.4,6.7,8.1,7.9,8.4,8.6,9.9,9.7,8.6,8.3,8.1,8.3
015,puente inter. miguel alemán,cd. alemán-roma,mex-002,0.0,"26.402874,-99.020712",2034,0.0,93.7,0.5,0.1,0.2,0.2,0.1,5.2,0.0,0.0,0.0,0.0,0.0,744571,8.2,8.1,8.5,8.5,8.7,7.3,7.5,8.3,8.3,8.7,8.6,9.3
016,puente inter. reynosa,reynosa-hidalgo,mex-040,0.0,"26.093192,-98.270970",7186,0.2,99.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629924,8.1,7.6,8.7,8.9,8.5,7.8,8.2,8.4,8.2,8.5,8.6,8.5
017,puente grijalva,villahermosa-aquiles serdán,mex-186,17.6,"17.947602,-92.785235",16817,4.4,75.7,0.7,2.9,3.3,2.1,0.3,4.5,2.0,0.1,0.0,3.2,0.8,6155130,8.6,8.0,8.5,8.5,8.6,8.0,8.6,8.7,7.9,7.9,7.9,8.8
018,puente usumacinta,ent. emiliano zapata-san marcos,mex-186,145.2,"17.859905,-91.783654",4975,7.9,53.3,1.1,3.7,3.7,4.3,0.6,11.4,3.7,0.4,0.1,9.3,0.5,1820690,9.1,8.2,8.8,8.4,8.3,7.5,8.3,8.4,7.5,8.0,8.2,9.3
019,puente cadereyta,monterrey-reynosa,mex-040,30.5,"25.601114,-100.005696",6247,2.5,75.7,0.4,0.5,6.3,3.2,0.4,4.9,1.4,0.1,0.2,2.3,2.1,2286328,8.2,7.8,8.4,8.1,8.5,7.9,8.4,8.5,8.2,8.4,8.2,9.4
020-01,amozoc,puebla-acatzingo,mex-150d,141.713,"19.049719,-98.032372",31577,0.6,66.8,0.0,4.5,4.9,5.2,0.5,9.7,1.7,0.2,0.1,5.8,0.0,11557105,8.3,7.6,8.6,8.2,8.3,7.9,8.7,8.9,8.0,8.4,8.0,9.1
020-02,amozoc,puebla-amozoc,mex-150d,141.713,"19.049435,-98.031922",7136,1.3,87.0,0.0,4.1,2.6,2.8,0.1,1.2,0.5,0.0,0.0,0.4,0.0,2611739,7.5,7.3,7.7,8.1,8.8,8.6,9.6,9.8,8.5,8.8,7.2,8.1
020-03,amozoc,puebla-ent. amozoc,mex-150d,137.0,"19.049717,-98.032374",11993,0.7,71.9,0.0,4.9,4.4,4.0,0.6,8.3,1.0,0.4,0.1,3.7,0.0,4389489,8.0,7.4,8.7,8.2,8.3,7.9,8.6,8.9,7.9,8.5,8.3,9.3
021-01,esperanza,acatzingo-cd. mendoza,mex-150d,217.5,"18.870672,-97.386004",12693,0.5,46.3,0.0,4.9,5.2,7.5,0.8,18.5,2.7,0.4,0.2,13.0,0.0,4645536,8.6,7.7,9.0,8.7,8.5,8.2,9.0,8.9,8.0,7.2,7.7,8.5
021-02,esperanza,acatzingo-esperanza,mex-150d,217.5,"18.870325,-97.386159",1492,0.6,80.7,0.0,1.4,6.7,5.3,0.3,2.7,0.9,0.0,0.0,1.4,0.0,546155,7.5,7.3,8.0,7.6,8.2,7.7,8.8,9.0,8.3,10.8,8.1,8.7
021-03,esperanza,esperanza-cd. mendoza,mex-150d,217.5,"18.870325,-97.386159",1728,0.9,55.1,0.0,1.8,5.6,10.1,1.2,17.1,4.1,0.1,0.1,3.9,0.0,632297,8.6,8.0,9.0,8.8,8.4,8.2,8.5,9.3,7.9,6.8,8.1,8.4
022,puente la piedad,irapuato-guadalajara,mex-090,89.1,"20.352798,-102.025149",3608,2.1,67.7,0.5,4.7,6.4,6.1,0.6,9.7,1.5,0.0,0.0,0.3,0.4,1320376,8.8,8.0,8.0,7.9,8.3,8.1,8.6,8.2,7.9,8.3,8.3,9.6
023,puente tecolutla,veracruz-poza rica,mex-180,52.8,"20.437751,-97.086545",4201,12.6,71.8,0.4,3.2,3.3,2.1,0.3,4.2,0.8,0.0,0.0,0.7,0.6,1537562,8.0,7.9,9.8,8.8,8.9,7.9,8.5,8.9,7.7,7.4,7.4,8.8
024,puente inter. las flores,nuevo progreso-progreso,mex-002,0.0,"26.060532,-97.950364",1686,0.1,90.0,0.3,0.0,0.2,2.7,0.0,1.9,0.9,0.1,0.0,3.8,0.0,617011,7.9,8.0,8.7,8.3,8.4,7.7,8.4,8.4,8.7,8.2,8.4,8.9
025,puente san juan,reynosa-nuevo laredo,mex-002,64.0,"26.561167,-99.200829",2194,0.2,64.7,1.6,1.4,4.3,2.6,0.4,6.5,1.1,0.1,0.2,12.8,4.1,803159,8.6,8.4,8.9,8.5,7.6,7.8,8.5,8.4,8.3,8.7,8.1,8.2
026,puente inter. ojinaga,ojinaga-presidio,mex-016,0.0,"29.560735,-104.397589",2033,0.1,95.0,2.1,0.2,1.1,0.2,0.2,1.1,0.0,0.0,0.0,0.0,0.0,743956,8.3,7.4,8.7,8.3,8.6,8.4,9.2,8.7,7.4,7.9,8.5,8.6
027,puente inter. paso del norte,cd. juárez-el paso,mex-045,0.0,"31.745900,-106.486424",5958,4.0,95.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180560,8.2,8.1,8.8,8.8,9.0,8.6,8.8,8.6,8.6,7.8,8.0,6.7
028,compostela,chapalilla-compostela,mex-d,31.5,"21.229532,-104.887408",3958,2.3,71.9,0.5,5.2,3.6,3.2,0.3,3.2,1.3,0.0,0.0,0.5,8.0,1448687,13.2,11.4,14.0,7.2,6.3,6.1,6.6,6.5,6.2,6.3,7.5,8.7
029,puente inter. rodolfo robles,cd. hidalgo-tecún umán,mex,27.5,"14.702151,-92.151378",2049,90.7,9.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749964,7.8,7.6,7.9,7.8,8.2,7.7,8.4,8.3,8.0,8.8,9.2,10.3
030,puente inter. piedras negras,piedras negras-eagle pass,mex-057,0.0,"28.705197,-100.512983",3455,0.1,99.6,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264525,7.6,8.2,8.7,8.6,8.5,8.2,8.2,8.4,8.2,7.7,8.4,9.3
031,puente tlacotalpan,alvarado-tlacotalpan,mex-175,1.55,"18.704579,-95.641360",1749,10.1,79.8,1.0,3.4,2.4,1.7,0.1,0.6,0.1,0.0,0.0,0.1,0.7,640034,8.4,8.8,8.7,7.9,8.2,7.6,8.2,8.9,8.1,8.3,7.5,9.4
032,puente inter. acuña,cd. acuña-del río,mex-002,0.0,"29.325657,-100.929015",4774,0.3,94.3,0.8,0.1,1.0,0.6,0.1,2.8,0.0,0.0,0.0,0.0,0.0,1747178,8.2,8.2,8.6,8.4,8.8,8.1,8.4,8.6,8.3,8.7,8.6,7.1
033,puente inter. laredo las américas,nuevo laredo-laredo,mex-085,0.0,"27.498094,-99.507389",3990,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460379,7.1,6.9,8.1,7.3,8.0,7.8,7.2,8.1,8.3,8.9,11.0,11.3
034,puente inter. juárez-lincoln,nuevo laredo-laredo,mex-085,0.0,"27.498075,-99.501780",8539,0.5,97.7,0.7,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125160,8.6,8.0,8.3,8.1,8.5,7.8,8.1,8.4,8.3,8.6,8.3,9.0
035,puente antonio dovalí jaime,cosoleacaque-nuevo teapa,mex-145d,6.5,"18.013445,-94.396773",12673,1.6,43.0,0.4,2.7,5.5,6.1,1.3,22.5,4.2,0.4,0.3,10.9,1.1,4638272,8.3,7.4,8.7,8.7,9.1,8.6,9.3,9.4,8.5,8.3,5.6,8.1
036,puente antonio dovalí jaime bis,puente dovalí jaime-nuevo teapa,mex-145d,6.5,"18.014043,-94.443283",571,11.4,76.6,0.1,0.1,3.0,1.0,0.2,6.0,0.2,0.0,0.0,0.3,1.1,208946,7.8,10.1,8.9,8.0,6.2,7.3,7.7,8.1,9.1,10.8,7.4,8.6
037,puente tampico,tampico el alto-tampico,mex-180,191.8,"22.203364,-97.937427",10145,1.1,67.6,0.4,3.5,2.0,1.0,0.1,0.8,0.1,0.0,0.0,0.5,22.9,3713119,8.6,5.8,7.1,9.0,9.3,7.6,9.5,10.1,9.1,9.2,6.5,8.2
038,tehuacán,cuacnopalan-tehuacán,mex-135d,41.048,"18.487088,-97.456196",12107,0.8,72.3,0.0,4.7,5.6,5.4,0.5,6.2,1.3,0.2,0.1,2.9,0.0,4431282,8.4,7.5,8.8,8.2,8.0,7.5,8.9,8.7,7.4,8.0,8.5,10.1
039,miahuatlán,tehuacán-miahuatlán,mex-135d,71.415,"18.264632,-97.315617",6395,1.0,69.8,0.0,6.2,4.8,6.3,0.6,5.8,1.6,0.2,0.1,3.6,0.0,2340446,8.5,7.2,9.4,8.2,7.7,7.1,9.0,8.7,6.9,7.4,8.8,11.1
040-01,coixtlahuaca,miahuatlán-coixtlahuaca,mex-135d,141.3,"17.726021,-97.353781",590,1.4,79.1,0.0,7.3,4.3,3.6,0.2,2.5,1.5,0.0,0.0,0.1,0.0,215766,8.5,6.9,9.2,7.5,8.4,8.4,8.5,8.1,7.3,7.6,8.8,10.8
040-02,coixtlahuaca,miahuatlán-nochixtlán,mex-135d,141.3,"17.725865,-97.352917",5314,0.9,67.0,0.0,6.7,5.0,6.9,0.7,6.6,1.6,0.2,0.1,4.3,0.0,1944762,8.6,7.1,9.5,8.2,7.6,7.0,9.2,8.8,6.7,7.3,8.8,11.2
041-01,huitzo,nochixtlan-oaxaca,mex-135d,217.01,"17.275031,-96.915296",7446,1.4,76.5,0.0,4.4,4.3,4.6,0.4,4.3,0.9,0.2,0.1,2.9,0.0,2725304,8.5,7.3,9.3,8.4,7.8,7.2,9.0,8.7,7.0,7.4,8.5,10.9
041-02,huitzo,nochixtlan-huitzo,mex-135d,217.01,"17.278721,-96.914652",459,3.2,75.4,0.0,1.5,7.0,5.5,0.2,4.9,1.9,0.0,0.0,0.4,0.0,167977,8.6,7.4,9.3,7.9,7.9,7.6,9.0,8.7,7.3,8.1,8.4,9.8
042,huitzo bis,huitzo-oaxaca,mex-135d,217.01,"17.278722,-96.914651",1548,3.9,93.5,0.0,0.4,1.2,0.3,0.0,0.4,0.3,0.0,0.0,0.0,0.0,566662,8.0,7.7,8.2,8.0,8.0,7.5,8.5,8.2,7.8,8.6,9.3,10.2
043,centinela,centinela-rumorosa,mex-002d,61.7,"32.562660,-116.047948",12858,0.5,69.8,1.2,2.3,0.0,4.7,0.9,13.1,1.1,0.2,0.1,3.0,3.1,4705980,7.6,6.9,8.5,8.0,8.5,8.6,9.7,9.5,8.2,8.3,8.0,8.2
044-01,el hongo,rumorosa-tecate,mex-002d,92.36,"32.521843,-116.320010",9587,0.3,71.3,0.0,3.1,3.3,1.5,0.7,14.6,0.9,0.2,0.0,4.1,0.0,3508813,7.9,6.9,8.2,9.0,8.7,8.3,9.3,9.1,8.0,8.3,8.0,8.3
044-02,el hongo,el hongo-tecate,mex-002d,92.36,"32.521155,-116.320162",1459,0.4,92.2,0.0,0.5,3.8,0.5,0.2,1.8,0.5,0.0,0.0,0.1,0.0,534036,8.5,7.9,7.7,8.9,8.7,8.8,9.2,9.2,7.8,7.0,8.0,8.3
044-03,el hongo,rumorosa-el hongo,mex-002d,92.36,"32.522478,-116.319838",222,0.5,92.9,0.0,1.4,2.2,0.4,0.2,1.9,0.3,0.0,0.0,0.2,0.0,81268,6.8,7.2,7.9,11.1,8.6,8.2,9.6,9.8,7.5,7.1,8.0,8.2
045-01,tijuana,tecate-tijuana,mex-002d,147.6,"32.545717,-116.852059",10806,0.4,74.9,0.5,1.4,4.3,2.0,0.7,11.2,0.7,0.1,0.0,2.5,1.3,3954893,7.7,7.3,8.5,8.8,8.6,8.5,9.0,8.9,7.9,8.5,8.0,8.3
045-02,tijuana,ent. tecate-paso del águila aux. 1,mex-002d,130.5,"32.525887,-116.690211",1934,0.4,73.7,0.8,0.3,3.8,2.4,1.5,13.4,1.7,0.1,0.0,0.8,1.1,707829,7.2,6.8,8.2,7.8,8.7,8.9,9.6,9.4,8.3,8.4,7.9,8.8
045-03,tijuana,ent. esperanza-ent. sandoval aux. 2,mex-002d,122.8,"32.551618,-116.621131",5151,0.5,85.4,0.6,1.1,3.1,0.8,0.3,4.7,0.7,0.1,0.0,1.9,0.8,1885200,7.4,6.8,8.1,8.1,8.5,8.6,9.6,9.3,8.2,8.5,8.2,8.7
045-04,tijuana,paso del águila-tijuana,mex-002d,130.5,"32.526983,-116.693112",412,0.0,58.6,0.1,0.0,1.9,2.2,0.1,36.8,0.0,0.0,0.0,0.3,0.0,150879,4.8,5.2,7.0,8.7,10.6,10.6,10.9,11.4,10.1,9.3,8.1,3.3
045-05,tijuana,ent. planta dart-tijuana,mex-002d,137.8,"32.542978,-116.758289",152,1.5,86.5,0.0,0.0,0.7,1.1,1.4,8.6,0.1,0.0,0.0,0.1,0.0,55660,8.8,8.7,8.4,8.3,8.0,8.0,8.6,8.5,8.3,8.6,8.7,7.1
046,puente inter. shuchiate ii ing. luis cabrer,hidalgo-tecún umán,mex,0.0,"14.677010,-92.149716",496,0.0,7.1,0.3,1.1,5.6,6.4,0.4,67.2,11.2,0.2,0.0,0.5,0.0,181378,7.7,8.3,7.9,9.1,8.4,8.0,8.4,8.5,7.9,8.5,8.8,8.5
047-01,aeropuerto los cabos,san josé del cabo-aeropuerto los cabos,mex-001d,105.1,"23.150467,-109.740500",1796,0.1,99.1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657333,9.1,9.0,10.1,8.8,8.4,8.3,7.9,7.1,6.2,8.9,8.4,7.8
047-02,aeropuerto los cabos,cabo san lucas-aeropuerto los cabos,mex-001d,105.1,"23.150478,-109.740558",1044,0.2,99.2,0.0,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382233,8.6,8.5,9.4,8.5,8.0,8.0,8.6,7.9,6.0,8.3,9.2,9.0
047-03,aeropuerto los cabos,el mangle-aeropuerto los cabos,mex-001d,105.1,"23.150460,-109.740628",1318,0.1,93.3,0.0,0.7,1.7,0.9,0.0,1.2,0.9,0.0,0.0,1.2,0.0,482316,7.9,7.9,9.1,8.6,7.9,8.3,8.6,7.8,6.0,8.5,9.4,10.0
048-01,san josé del cabo,aeropuerto los cabos-san josé del cabo,mex-001d,110.21,"23.049876,-109.719565",2513,0.1,99.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919589,9.2,9.3,9.7,8.6,8.5,8.3,8.0,6.9,6.1,9.2,8.0,8.2
048-02,san josé del cabo,cabo san lucas-san josé del cabo,mex-001d,110.21,"23.049911,-109.719561",352,0.5,98.1,0.0,0.7,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128884,7.9,8.5,8.5,9.4,7.5,6.8,6.7,6.5,5.8,8.4,12.8,11.2
048-03,san josé del cabo,el mangle-san josé del cabo,mex-001d,110.21,"23.049977,-109.719555",1228,0.3,93.2,0.0,1.3,2.5,1.2,0.0,0.9,0.4,0.1,0.0,0.1,0.0,449395,7.2,7.4,8.4,8.5,8.2,8.4,8.7,7.9,6.6,8.8,9.8,10.1
049,zacatecas,ent. cuauhtémoc-ent. osiris,mex-045d,97.8,"22.710742,-102.448827",9160,0.3,45.4,0.8,4.4,5.0,4.3,1.7,22.5,4.6,1.0,0.1,9.2,0.7,3352692,8.0,7.7,8.4,8.5,8.4,8.3,9.1,9.1,8.1,8.2,7.0,9.2
050,chiapa de corzo,tuxtla gutiérrez-san cristóbal de las casas,mex-190d,1.3,"16.730567,-93.009544",12089,1.3,85.6,0.2,1.3,4.4,1.9,0.2,1.8,0.9,0.0,0.0,0.7,1.7,4424633,8.0,7.0,7.8,7.3,7.4,13.8,7.6,7.9,7.4,8.1,8.3,9.4
051,tehuantepec,tehuantepec-salina cruz,mex-185d,1.8,"16.162185,-95.289280",1105,3.9,76.5,0.0,1.0,4.5,3.8,0.4,5.0,3.1,0.3,0.0,1.5,0.0,404316,10.4,8.0,10.2,8.3,7.9,6.9,9.1,8.8,6.6,6.5,7.3,10.0
052-01,ixtepec,ixtepec-la ventosa,mex-185d,47.5,"16.561479,-95.134267",671,2.0,79.6,0.0,0.8,9.5,2.4,0.4,2.7,1.3,0.0,0.0,1.3,0.0,245428,8.3,7.2,8.6,9.6,9.1,8.1,8.7,8.7,7.6,7.4,7.5,9.2
052-02,ixtepec,ixtepec-tehuantepec,mex-185d,47.5,"16.561760,-95.136167",1050,4.5,87.9,0.0,0.4,5.5,0.9,0.1,0.6,0.1,0.0,0.0,0.0,0.0,384322,8.5,7.1,9.9,9.1,8.1,7.5,9.0,9.3,7.5,7.2,7.2,9.6
052-03,ixtepec,tehuantepec-la ventosa,mex-185d,47.5,"16.561152,-95.135601",1560,1.0,58.6,0.0,1.5,5.1,5.7,0.8,7.9,4.7,0.5,0.4,13.8,0.0,570909,8.9,7.3,9.0,8.4,8.0,7.8,9.1,9.3,7.4,7.3,7.4,10.1
053,acatlán de juárez,acatlán-atoyac,mex-054d,0.6,"20.373443,-103.576317",14971,0.4,60.5,1.0,2.3,4.2,4.2,1.6,9.2,4.5,0.9,0.5,10.7,0.0,5479396,8.7,7.9,8.8,8.1,8.2,8.0,8.9,9.1,7.7,7.8,7.8,9.0
054,sayula,atoyac-cd. guzmán,mex-054d,58.3,"19.933235,-103.530027",16199,0.4,58.1,0.4,2.1,4.2,4.9,2.1,10.5,5.4,1.0,0.7,10.2,0.0,5928982,8.5,7.9,8.7,8.3,8.3,8.2,8.7,8.8,7.6,8.0,8.1,8.9
055,sayula remota,sayula-cd. guzmán,mex-054d,64.6,"19.879111,-103.519314",2048,1.0,79.9,0.5,1.4,6.7,5.0,0.6,3.3,1.2,0.0,0.0,0.4,0.0,749398,8.0,8.2,8.9,8.8,9.5,7.8,8.1,8.8,7.4,8.4,8.0,8.1
056,san marcos,cd. guzmán-el trapiche,mex-054d,126.65,"19.409129,-103.527882",13280,0.5,54.1,0.3,2.1,4.3,4.5,2.1,12.2,5.7,1.0,0.5,12.7,0.0,4860391,8.4,7.8,8.9,8.3,8.4,8.2,8.9,8.9,7.4,7.8,8.0,9.0
057,ent. trapichillo,tepic-ent. trapichillo,mex-015d,6.3,"21.560658,-104.971010",2913,2.7,91.8,0.2,0.3,1.8,1.0,0.0,0.4,0.1,0.0,0.0,0.0,1.7,1066055,8.0,7.6,11.1,8.8,8.9,8.2,8.2,8.2,7.0,7.2,7.9,8.9
058,trapichillo,tepic-san blas,mex-015d,8.65,"21.571789,-104.987394",10131,0.9,57.6,0.3,6.7,3.9,4.4,1.4,18.2,1.9,0.3,0.0,4.4,0.0,3708092,8.6,7.8,8.7,8.6,8.4,8.0,8.6,8.3,7.1,7.7,8.2,10.0
059-01,yago,ent. san blas-yago,mex-015d,42.31,"21.844682,-105.084876",556,1.4,75.9,0.3,3.0,4.2,2.8,0.4,2.2,0.6,0.0,0.0,0.8,8.4,203524,8.8,7.3,8.7,7.9,8.2,7.7,7.7,8.1,9.8,7.6,7.9,10.3
059-02,yago,yago-est. ruíz,mex-015d,42.31,"21.846887,-105.085156",135,8.5,36.1,0.3,0.6,4.1,5.5,1.1,3.7,0.4,0.0,0.0,0.7,39.0,49435,7.7,7.0,7.7,7.3,7.3,8.0,10.6,9.4,8.6,8.5,7.9,10.0
060-01,estación ruíz,yago-rosa morada,mex-015d,52.81,"21.951790,-105.116064",5519,0.8,40.3,0.3,6.4,3.9,5.4,2.1,29.4,2.7,0.6,0.1,8.0,0.0,2019886,8.3,7.6,8.4,8.9,8.4,7.9,8.8,8.5,6.9,7.8,8.3,10.2
060-02,estación ruíz,ruiz-rosa morada,mex-015d,52.81,"21.953031,-105.120887",412,3.2,72.8,0.3,4.3,4.7,4.6,0.6,5.0,4.3,0.0,0.0,0.2,0.0,150703,8.3,7.5,8.5,8.4,8.5,8.3,8.3,8.4,8.1,7.7,8.2,9.8
060-03,estación ruíz,yago-ruíz,mex-015d,52.81,"21.953062,-105.120938",415,3.4,72.5,0.3,4.3,4.8,4.6,0.7,4.9,4.3,0.0,0.0,0.2,0.0,151770,8.1,7.6,8.6,8.4,8.3,8.1,8.4,8.3,8.2,7.8,8.1,10.1
061-01,acaponeta,acaponeta-escuinapa,mex-015d,73.4,"22.454065,-105.418726",282,0.7,64.1,0.3,9.2,5.7,7.7,0.6,6.8,1.7,0.1,0.0,3.1,0.0,103255,8.6,6.7,8.3,8.7,8.3,7.7,8.9,8.8,7.4,8.2,8.7,9.7
061-02,acaponeta,rosa morada-escuinapa,mex-015d,73.4,"22.453844,-105.424652",4669,0.8,35.8,0.4,6.2,3.9,5.2,2.3,32.8,2.5,0.7,0.1,9.3,0.0,1708999,8.3,7.6,8.3,8.8,8.3,7.9,8.8,8.6,6.9,7.9,8.4,10.2
061-03,acaponeta,rosa morada-acaponeta,mex-015d,73.4,"22.454102,-105.418692",264,0.8,64.0,0.3,9.2,5.8,7.4,0.6,6.9,1.6,0.1,0.0,3.3,0.0,96689,9.0,7.3,8.9,9.4,8.7,8.1,9.4,9.5,8.0,6.7,7.2,7.8
062-01,rosario,escuinapa-villa unión,mex-015d,199.486,"22.984690,-105.878103",5344,0.7,37.8,0.4,6.7,3.7,4.6,2.2,31.6,2.8,0.7,0.1,8.7,0.0,1955895,8.3,7.6,8.4,8.8,8.4,7.9,8.9,8.6,7.0,7.8,8.3,10.0
062-02,rosario,escuinapa-rosario,mex-015d,199.486,"22.985166,-105.875302",298,0.7,64.3,0.5,13.5,8.5,6.8,0.7,3.8,0.8,0.0,0.0,0.4,0.0,109208,8.3,7.6,8.3,8.6,8.1,7.6,9.4,8.9,6.6,7.8,8.4,10.4
062-03,rosario,rosario-villa uníón,mex-015d,199.486,"22.985111,-105.875259",695,0.6,65.6,0.3,19.3,5.7,3.8,0.3,3.5,0.5,0.0,0.0,0.4,0.0,254264,8.6,7.4,8.2,8.3,8.3,7.9,9.0,8.6,6.6,8.2,8.6,10.3
063,villa ahumada,el sueco-villa ahumada,mex-045,219.0,"30.437059,-106.521897",8162,0.2,64.8,2.4,3.3,3.0,1.6,1.2,18.4,1.2,0.4,0.0,2.7,0.8,2987217,8.2,6.9,8.4,8.1,8.1,7.9,9.5,8.9,7.6,7.9,8.3,10.2
064,santa fe,constituyentes-santa fe,mex-015d,17.626,"19.363370,-99.267326",19951,1.6,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7301916,8.2,8.2,7.7,8.8,8.8,8.1,7.3,8.6,8.4,9.2,8.8,7.9
065,contadero,constituyentes-contadero,mex-015d,23.43,"19.335797,-99.311029",2208,0.8,94.7,0.1,0.3,2.1,0.6,0.0,0.3,0.0,0.0,0.0,0.0,1.1,808005,7.4,8.8,8.2,9.3,9.6,8.2,6.4,7.9,8.9,9.0,8.9,7.4
066-01,la venta,constituyentes-la marquesa,mex-015d,24.0,"19.332816,-99.314301",44418,0.9,88.6,0.1,4.5,2.2,0.8,0.1,1.2,0.1,0.0,0.0,0.4,1.1,16256806,7.7,8.0,8.6,8.5,8.7,8.2,8.5,8.4,8.0,8.6,8.5,8.3
066-02,la venta,constituyentes-la venta,mex-015d,24.0,"19.333648,-99.313782",2172,1.1,92.7,0.1,1.2,2.3,0.8,0.0,0.6,0.1,0.0,0.0,0.1,1.0,794888,8.6,7.3,7.5,7.9,8.5,6.9,6.1,7.4,8.3,8.4,10.1,13.0
