index,tollbooth_name,way,highway,km,coords,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
311-03,nacajuca,nacajuca-frontera,mex-180d,16.0,"18.076626,-92.936760",1394,5.7,82.1,0.7,0.0,1.9,0.8,0.1,1.5,0.6,0.0,0.0,0.2,6.4,510333,8.4,7.8,8.6,8.3,8.5,8.1,10.1,8.6,7.7,7.3,7.9,8.7
312-01,huichapan,huimilpan-huichapan,mex-045d,5.0,"20.290097,-99.949733",196,0.5,86.3,0.5,3.2,3.4,1.1,0.2,0.5,0.3,0.0,0.0,0.1,3.9,71564,7.0,6.8,8.0,7.5,6.9,10.4,11.0,7.6,7.1,8.4,8.6,10.7
312-02,huichapan,coroneo-huichapan,mex-045d,5.0,"20.290097,-99.949733",479,0.2,94.9,0.3,0.8,1.7,0.5,0.1,0.6,0.2,0.0,0.0,0.2,0.5,73296,,,,,,,,19.0,19.2,19.3,20.1,22.4
312-03,huichapan,apaseo el grande-huichapan,mex-045d,5.0,"20.290097,-99.949733",6224,0.4,49.0,0.2,4.2,4.6,7.3,1.0,21.2,3.3,0.4,0.1,7.5,0.8,2278083,8.0,7.4,8.3,8.0,8.2,7.8,8.5,8.9,8.3,8.4,8.7,9.5
312-04,huichapan,apaseo el alto-huichapan,mex-045d,5.0,"20.290097,-99.949733",902,0.3,59.9,0.3,2.7,4.9,7.8,2.7,15.3,3.4,0.2,0.0,2.4,0.1,329998,8.3,6.9,8.3,7.8,7.7,8.1,8.8,7.9,7.3,8.2,9.3,11.4
312-05,huichapan,amealco-huichapan,mex-045d,5.0,"20.290097,-99.949733",350,0.7,79.8,0.8,1.1,3.9,2.4,1.8,4.1,3.0,0.0,0.0,0.6,1.8,128081,8.4,7.3,9.4,7.7,8.2,7.7,7.9,7.9,10.7,8.1,7.9,8.8
313-01,amealco,huichapan-amealco,mex-045d,17.0,"20.277737,-100.059149",332,0.9,78.2,0.8,0.5,5.0,3.5,0.7,3.1,4.0,0.0,0.0,0.5,2.8,121659,8.4,7.7,9.1,8.3,9.1,8.7,8.6,8.6,7.8,7.2,8.2,8.3
313-02,amealco,huimilpan-amealco,mex-045d,17.0,"20.277737,-100.059149",44,0.4,75.5,0.6,0.4,3.2,0.9,0.2,0.3,0.1,0.0,0.0,0.0,18.4,16115,7.8,7.7,8.2,8.0,7.7,9.1,8.9,8.0,7.7,8.5,7.6,10.8
313-03,amealco,coroneo-amealco,mex-045d,17.0,"20.277737,-100.059149",46,0.8,94.6,0.5,0.0,1.1,0.4,0.2,0.3,0.1,0.0,0.0,0.0,2.0,6997,,,,,,,,21.2,18.7,18.3,20.7,21.1
313-04,amealco,apaseo el alto-amealco,mex-045d,17.0,"20.277737,-100.059149",41,0.5,84.1,0.5,0.3,3.5,2.8,0.8,3.5,0.8,0.0,0.1,2.7,0.4,14943,7.8,6.9,8.1,7.5,7.3,8.2,8.0,8.6,7.2,8.5,8.1,13.8
313-05,amealco,apaseo el grande-amealco,mex-045d,17.0,"20.277737,-100.059149",84,0.7,82.7,0.5,0.7,3.9,2.7,0.3,3.5,0.5,0.0,0.0,0.7,3.8,30831,6.9,7.8,7.7,7.4,7.3,7.8,8.7,10.4,7.3,8.4,8.1,12.2
314-01,coroneo,huichapan-coroneo,mex-045d,60.2,"20.415474,-100.429004",1132,0.2,93.6,0.2,1.4,1.8,0.5,0.1,0.8,0.2,0.0,0.0,0.2,1.0,173247,,,,,,,,15.4,24.5,18.3,20.7,21.1
314-02,coroneo,amealco-coroneo,mex-045d,60.2,"20.415474,-100.429004",66,0.9,95.0,0.4,0.2,1.5,0.6,0.1,0.4,0.1,0.0,0.0,0.0,0.8,10167,,,,,,,,16.6,23.3,18.3,20.7,21.1
314-03,coroneo,huimilpan-coroneo,mex-045d,60.2,"20.415474,-100.429004",72,0.3,72.9,0.6,0.1,4.5,4.8,0.4,0.6,0.0,0.0,0.0,0.0,15.8,10979,,,,,,,,16.6,23.3,18.3,20.7,21.1
314-04,coroneo,apaseo el alto-coroneo,mex-045d,60.2,"20.415474,-100.429004",44,0.3,68.5,0.9,0.2,4.2,5.2,2.0,2.2,2.3,0.0,0.0,0.0,14.2,6745,,,,,,,,19.4,20.5,18.3,20.7,21.1
314-05,coroneo,apaseo el grande-coroneo,mex-045d,60.2,"20.415474,-100.429004",38,0.3,62.9,0.9,0.4,4.2,1.8,0.2,1.5,1.0,0.1,0.0,0.2,26.5,5780,,,,,,,,21.1,18.8,18.3,20.7,21.1
315-01,huimilpan,huichapan-huimilpan,mex-045d,41.7,"20.348261,-100.277524",416,0.4,84.3,0.3,5.6,2.5,1.0,0.2,0.5,0.3,0.0,0.0,0.1,4.8,152142,10.2,7.5,8.1,10.4,8.8,10.2,7.7,5.7,7.9,7.6,8.1,7.8
315-02,huimilpan,huichapan-huimilpan,mex-045d,41.7,"20.348261,-100.277524",67,0.6,78.9,0.7,0.1,3.8,4.0,0.1,0.5,0.1,0.0,0.0,0.0,11.2,10256,,,,,,,,19.7,23.5,18.5,19.7,18.6
315-03,huimilpan,apaseo el grande-huimilpan,mex-045d,41.7,"20.348261,-100.277524",59,0.6,62.8,0.8,0.4,4.1,3.2,0.2,1.6,0.6,0.0,0.0,0.4,25.3,21603,8.2,7.4,8.2,9.2,8.9,8.2,9.1,7.3,6.6,9.4,8.2,9.3
315-04,huimilpan,apaseo el alto-huimilpan,mex-045d,41.7,"20.348261,-100.277524",47,0.6,73.7,0.5,0.5,4.9,4.3,0.4,0.9,1.5,0.0,0.0,0.1,12.6,17119,8.0,7.4,9.1,8.0,8.2,8.2,8.4,7.3,7.5,9.0,8.8,10.1
315-05,huimilpan,amealco-huimilpan,mex-045d,41.7,"20.348261,-100.277524",50,0.5,83.7,0.4,0.5,3.1,0.8,0.1,0.3,0.1,0.0,0.0,0.0,10.5,18372,8.9,8.3,8.4,8.5,8.1,9.4,8.4,6.9,8.2,8.0,8.4,8.5
316-01,apaseo el alto,huichapan-apaseo el alto,mex-045d,80.0,"20.497515,-100.588177",1183,0.3,55.0,0.2,3.0,4.6,7.8,6.0,14.6,5.1,0.4,0.1,2.1,0.8,432857,8.7,7.5,8.2,8.7,8.3,8.4,9.2,7.5,6.5,8.5,9.0,9.5
316-02,apaseo el alto,huimilpan-apaseo el alto,mex-045d,80.0,"20.497515,-100.588177",43,0.9,73.3,0.6,0.4,5.4,5.1,1.1,1.5,1.2,0.0,0.0,0.1,10.4,15912,7.8,7.9,8.4,8.2,8.3,8.2,8.7,7.1,6.9,8.7,9.2,10.6
316-03,apaseo el alto,coroneo-apaseo el alto,mex-045d,80.0,"20.497515,-100.588177",41,0.3,63.2,0.9,0.2,4.1,6.2,0.5,1.0,6.8,0.0,0.0,0.2,16.6,6301,,,,,,,,19.1,19.6,19.4,20.4,21.5
316-04,apaseo el alto,apaseo el grande-apaseo el alto,mex-045d,80.0,"20.497515,-100.588177",206,0.9,59.3,0.4,1.0,4.4,2.8,0.4,7.2,1.0,0.0,0.0,0.9,21.7,75351,8.2,9.2,9.1,8.5,7.7,6.9,7.5,8.3,6.9,9.0,9.5,9.2
316-05,apaseo el alto,amealco-apaseo el alto,mex-045d,80.0,"20.497515,-100.588177",35,0.3,85.5,0.4,0.2,2.5,2.9,0.7,3.7,0.7,0.1,0.1,2.7,0.2,12633,8.7,7.8,8.3,8.6,8.5,8.8,8.6,7.6,8.1,7.9,8.8,8.3
317-01,apaseo el grande,huichapan-apaseo el grande,mex-045d,82.6,"20.511282,-100.599341",6567,0.4,49.7,0.2,4.2,4.9,6.9,1.3,21.4,2.6,0.6,0.1,6.9,0.8,2403378,8.3,7.5,8.2,8.1,8.3,7.9,8.3,8.6,8.2,8.5,8.7,9.4
317-02,apaseo el grande,huimilpan-apaseo el grande,mex-045d,82.6,"20.511282,-100.599341",39,0.7,75.3,0.9,0.4,4.5,3.1,0.4,2.3,0.3,0.0,0.0,0.5,11.6,14238,8.1,7.5,8.3,8.4,8.4,8.9,8.1,7.5,8.2,8.9,8.1,9.6
317-03,apaseo el grande,coroneo-apaseo el grande,mex-045d,82.6,"20.511282,-100.599341",41,0.8,69.6,0.7,0.2,4.8,1.9,0.2,1.8,0.8,0.0,0.0,0.3,18.9,6235,,,,,,,,19.3,19.3,19.5,20.0,21.9
317-04,apaseo el grande,apaseo el alto-apaseo el grande,mex-045d,82.6,"20.511282,-100.599341",113,1.8,63.5,0.5,1.2,5.3,4.6,0.5,5.6,0.6,0.0,0.0,1.1,15.3,41534,8.6,6.7,8.8,7.3,9.1,10.5,7.4,7.2,7.6,8.3,8.5,10.0
317-05,apaseo el grande,amealco-apaseo el grande,mex-045d,82.6,"20.511282,-100.599341",61,0.4,88.2,0.5,0.3,4.7,2.4,0.3,2.2,0.4,0.0,0.0,0.4,0.2,22184,8.1,7.8,8.1,8.0,8.3,8.0,7.6,8.5,10.3,7.7,9.2,8.4
318,rayón,rayón-vicente guerrero,mex-070d,2.05,"21.863597,-99.623291",3693,0.6,65.6,0.4,3.9,4.3,3.3,0.4,9.2,4.3,0.2,0.0,7.8,0.0,1351479,7.6,7.0,8.3,10.4,8.2,7.7,9.1,9.3,7.2,7.9,8.0,9.3
