strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
1,71,CHALCO,12,24,12,43,43,43,42,42,69,69,105,105,105,105,22,pase,,,,,
2,71,CHALCO,12,24,12,43,43,43,42,42,69,69,105,105,105,99,20,pase,,,,,
3,7,SAN MARCOS,75,151,75,292,292,292,279,279,575,575,787,787,787,787,140,pase,,,,,
4,8,S. MARTIN PUE,24,47,24,115,115,115,108,108,218,218,306,306,306,306,54,pase,,,,,
6,196,OZUMBA,29,58,29,91,91,91,91,91,91,125,125,175,175,175,45,pase,,,,,
7,917,SAN MARTÍN TEXMELUCAN-VIAPASS,44,88,44,170,170,170,202,202,202,310,310,414,414,414,,pase,,,,,
,937,HUEJOTZINGO,22,44,22,98,98,98,98,98,98,157,157,206,206,206,,pase,,,,,
8,558,EL HIGUERON,110,221,110,441,441,441,441,441,441,722,722,882,882,882,202,pase,,,,,
9,558,EL HIGUERON,59,118,59,235,235,235,235,235,235,385,385,470,470,470,108,pase,,,,,
10,558,EL HIGUERON,51,103,51,206,206,206,206,206,206,337,337,412,412,412,94,pase,,,,,
11,26,AMOZOC,40,81,41,165,165,165,157,157,301,301,401,401,401,401,79,pase,,,,,
12,26,AMOZOC,20,42,22,81,81,81,79,79,150,150,211,211,211,211,40,pase,,,,,
17,27,ESPERANZA,78,156,79,341,341,341,322,322,622,622,906,906,906,906,162,pase,,,,,
18,27,ESPERANZA,40,81,41,171,171,171,170,170,311,311,454,454,454,454,85,pase,,,,,
19,27,ESPERANZA,40,81,41,171,171,171,170,170,311,311,454,454,454,454,85,pase,,,,,
1378,45,FORTIN,18,37,18,93,93,93,77,77,150,150,202,202,202,202,39,pase,,,,,
1379,45,FORTIN,8,16,9,50,50,50,47,47,95,95,115,115,115,115,24,pase,,,,,
20,116,CUITLAHUAC,64,127,64,174,174,174,164,164,164,231,231,243,243,243,82,pase,,,,,
22,116,CUITLAHUAC,23,45,23,53,53,53,52,52,52,77,77,75,75,75,26,pase,,,,,
21,116,CUITLAHUAC,43,87,44,121,121,121,111,111,111,154,154,151,151,151,56,pase,,,,,
23,117,PASO DEL TORO,59,120,60,188,188,188,185,185,185,240,240,280,280,280,93,pase,,,,,
24,117,PASO DEL TORO,49,97,49,153,153,153,151,151,151,204,204,231,231,231,75,pase,,,,,
25,117,PASO DEL TORO,10,19,10,35,35,35,32,32,32,39,39,44,44,44,16,pase,,,,,
26,76,TEHUACAN,25,50,25,115,115,115,114,114,142,142,222,222,222,222,57,pase,,,,,
27,77,MIAHUATLAN,17,36,18,60,60,60,59,59,81,81,122,122,122,122,30,pase,,,,,
28,78,SUCHIXTLAHUACA,43,86,43,181,181,181,180,180,221,221,308,308,308,308,91,pase,,,,,
29,78,SUCHIXTLAHUACA,20,42,22,92,92,92,88,88,107,107,153,153,153,153,44,pase,,,,,
30,79,HUITZO,50,100,51,229,229,229,228,228,267,267,415,415,415,415,114,pase,,,,,
31,79,HUITZO,42,85,43,171,171,171,174,174,221,221,275,275,275,275,87,pase,,,,,
32,79,HUITZO,16,32,16,54,54,54,53,53,77,77,109,109,109,109,27,pase,,,,,
35,118,COSAMALOAPAN,127,254,127,381,381,381,319,319,319,468,468,540,540,540,160,pase,,,,,
36,118,COSAMALOAPAN,105,210,106,301,301,301,302,302,302,378,378,377,377,377,151,pase,,,,,
37,118,COSAMALOAPAN,22,43,22,81,81,81,79,79,79,88,88,83,83,83,40,pase,,,,,
38,119,ACAYUCAN (SAYULA),118,236,119,345,345,345,293,293,293,454,454,498,498,498,147,pase,,,,,
39,119,ACAYUCAN (SAYULA),77,153,77,211,211,211,206,206,206,267,267,256,256,256,104,pase,,,,,
40,119,ACAYUCAN (SAYULA),43,87,44,135,135,135,134,134,134,187,187,166,166,166,67,pase,,,,,
41,428,ALLENDE,22,45,22,79,79,79,79,79,161,161,233,233,233,233,40,pase,,,,,
42,212,MITLA,48,96,48,193,193,193,193,193,193,304,304,361,361,361,96,pase,,,,,
43,212,MITLA,41,82,41,165,165,165,165,165,165,260,260,308,308,308,82,pase,,,,,
44,216,TEHUANTEPEC II,41,82,41,165,165,165,165,165,165,260,260,308,308,308,82,pase,,,,,
45,89,TEHUANTEPEC,22,43,22,85,85,85,81,81,121,121,150,150,150,150,41,pase,,,,,
46,90,IXTEPEC,43,86,43,165,165,165,163,163,234,234,301,301,301,301,82,pase,,,,,
47,90,IXTEPEC,22,43,22,85,85,85,81,81,121,121,150,150,150,150,41,pase,,,,,
48,90,IXTEPEC,22,43,22,85,85,85,81,81,121,121,134,134,134,134,41,pase,,,,,
49,22,ALVARADO,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
50,63,TLACOTALPAN,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
51,29,CARACOL,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
52,28,PAPALOAPAN,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
53,67,DOVALI,10,20,10,37,37,37,37,37,65,65,100,100,100,100,19,pase,,,,,
54,990,AMOZOC-PEROTE (AMOZOC),49,97,49,148,151,155,147,150,178,210,227,287,287,287,73,pase,,,,,
55,990,AMOZOC-PEROTE (CUAPIAXTLA),55,110,55,179,183,192,179,183,192,235,235,329,329,329,91,pase,,,,,
56,990,AMOZOC-PEROTE (CUAPIAXTLA),24,49,24,57,60,65,57,60,65,74,74,112,112,112,30,pase,,,,,
57,990,AMOZOC-PEROTE (CUAPIAXTLA),31,61,31,122,123,127,122,123,127,161,161,217,217,217,61,pase,,,,,
58,990,AMOZOC-PEROTE (CANTONA),88,177,87,264,269,275,264,269,275,344,344,488,488,488,134,pase,,,,,
59,990,AMOZOC-PEROTE (CANTONA),28,57,30,92,95,98,92,95,98,132,132,178,178,178,46,pase,,,,,
60,990,AMOZOC-PEROTE (CANTONA),60,120,57,172,174,177,172,174,177,212,212,310,310,310,88,pase,,,,,
61,990,AMOZOC-PEROTE (PEROTE),32,64,32,81,83,90,81,83,90,119,119,151,151,151,41,pase,,,,,
62,990,AMOZOC-PEROTE (AUDI),16,32,16,40,42,45,40,42,45,52,52,80,80,80,18,pase,,,,,
64,990,AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2),8,17,8,17,18,20,17,18,20,22,22,32,32,32,12,pase,,,,,
63,990,AMOZOC-PEROTE (AUDI CUAPIAXTLA),39,78,39,139,141,147,139,141,147,183,183,249,249,249,73,pase,,,,,
65,460,LAS VIGAS,89,179,89,220,220,220,224,224,224,303,420,595,595,550,,pase,,,,,
66,461,MIRADORES,89,179,89,212,212,212,341,341,341,432,554,604,604,604,,pase,,,,,
67,457,ANTIGUA,36,73,36,112,112,112,112,112,112,269,269,387,387,387,55,pase,,,,,
68,458,SAN JULIAN,12,24,11,55,55,55,55,55,55,107,107,128,128,128,56,pase,,,,,
69,459,PLAN DEL RIO,29,58,30,96,96,96,96,96,96,204,204,239,239,239,49,pase,,,,,
70,33,NAUTLA,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
71,179,LAS CHOAPAS,45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,pase,,,,,
73,179,LAS CHOAPAS,32,66,32,126,126,126,123,123,123,169,169,198,198,198,61,pase,,,,,
74,181,MALPASITO,45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,pase,,,,,
75,181,MALPASITO,25,50,25,88,88,88,87,87,87,119,119,134,134,134,44,pase,,,,,
77,182,OCOZOCOAUTLA (OCUILAPA),45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,pase,,,,,
78,929,CHIAPA DE CORZO VIAPASS,44,89,44,185,185,185,163,163,163,250,250,350,350,350,81,pase,,,,,
79,930,ARRIAGA VIAPASS,30,60,30,110,110,110,85,85,85,145,145,195,195,195,42,pase,,,,,
80,931,COITA VIAPASS,31,63,31,120,120,120,92,92,92,155,155,205,205,205,46,pase,,,,,
,932,JIQUIPILAS,62,125,62,255,255,255,205,205,205,352,352,480,480,480,102,pase,,,,,
83,176,SANCHEZ MAGALLANES,45,92,46,175,175,175,147,147,147,239,239,300,300,300,73,pase,,,,,
84,176,SANCHEZ MAGALLANES,22,43,22,89,89,89,88,88,88,122,122,128,128,128,44,pase,,,,,
85,176,SANCHEZ MAGALLANES,23,45,23,89,89,89,88,88,88,122,122,128,128,128,44,pase,,,,,
86,324,NACAJUCA,34,69,35,147,147,147,166,166,166,192,192,192,192,192,83,pase,,,,,
87,324,NACAJUCA,19,38,19,80,80,80,89,89,89,104,104,104,104,104,45,pase,,,,,
88,324,NACAJUCA,15,31,16,67,67,67,77,77,77,88,88,88,88,88,38,pase,,,,,
89,38,GRIJALVA,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,pase,,,,,
