strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
649,,PACHUCA - QUERETARO,77,155,78,315,315,315,315,315,315,465,465,700,700,700,159,pase,,,,,
650,,PACHUCA - SANCTORUM,75,150,75,260,260,260,260,260,260,405,405,595,595,595,131,pase,,,,,
651,,PACHUCA - TULA II,57,115,58,235,235,235,235,235,235,350,350,530,530,530,119,pase,,,,,
652,,PACHUCA - CALPULALPAN,55,110,55,205,205,205,205,205,205,315,315,470,470,470,103,pase,,,,,
653,,PACHUCA - TULA I,47,95,48,190,190,190,190,190,190,290,290,440,440,440,96,pase,,,,,
655,,PACHUCA - ATITALAQUIA,40,80,40,170,170,170,170,170,170,232,232,375,375,375,86,pase,,,,,
654,,PACHUCA - SAHAGUN,40,80,40,130,130,130,130,130,130,215,215,320,320,320,65,pase,,,,,
657,,PACHUCA - AJOLOAPAN,25,50,25,85,85,85,85,85,85,110,110,175,175,175,43,pase,,,,,
658,,PACHUCA - TULANCINGO,25,50,25,90,90,90,90,90,90,140,140,205,205,205,45,pase,,,,,
659,,TULANCINGO - ATLACOMULCO,155,310,156,585,585,585,585,585,585,890,890,1365,1365,1365,294,pase,,,,,
660,,TULANCINGO - ACAMBAY,142,285,143,545,545,545,545,545,545,815,815,1240,1240,1240,274,pase,,,,,
661,,TULANCINGO - JILOTEPEC,107,215,108,435,435,435,435,435,435,665,665,985,985,985,219,pase,,,,,
663,,TULANCINGO - QUERETARO,102,205,103,405,405,405,405,405,405,605,605,905,905,905,204,pase,,,,,
664,,TULANCINGO - SN MARTIN TEXMELUCAN,100,200,101,315,315,315,315,315,315,490,490,710,710,710,159,pase,,,,,
665,,TULANCINGO - TULA II,82,165,83,325,325,325,325,325,325,490,490,735,735,735,164,pase,,,,,
666,,TULANCINGO - TULA I,72,145,73,280,280,280,280,280,280,430,430,645,645,645,141,pase,,,,,
667,,TULANCINGO - ATITALAQUIA,65,130,65,260,260,260,260,260,260,375,375,580,580,580,131,pase,,,,,
670,,TULANCINGO - AJOLOAPAN,50,100,50,175,175,175,175,175,175,250,250,380,380,380,88,pase,,,,,
669,,TULANCINGO - SANCTORUM,50,100,50,170,170,170,170,170,170,265,265,390,390,390,86,pase,,,,,
671,,TULANCINGO - CALPULALPAN,30,60,30,115,115,115,115,115,115,175,175,265,265,265,58,pase,,,,,
672,,TULANCINGO - PACHUCA,25,50,25,90,90,90,90,90,90,140,140,205,205,205,45,pase,,,,,
673,,TULANCINGO - SAHAGUN,15,30,15,40,40,40,40,40,40,75,75,115,115,115,20,pase,,,,,
674,,SAHAGUN - ATLACOMULCO,170,340,171,625,625,625,625,625,625,965,965,1480,1480,1480,314,pase,,,,,
675,,SAHAGUN - ACAMBAY,157,315,158,585,585,585,585,585,585,890,890,1355,1355,1355,294,pase,,,,,
676,,SAHAGUN - JILOTEPEC,122,245,123,475,475,475,475,475,475,740,740,1100,1100,1100,239,pase,,,,,
678,,SAHAGUN - QUERETARO,117,235,118,445,445,445,445,445,445,680,680,1020,1020,1020,224,pase,,,,,
679,,SAHAGUN - TULA II,97,195,98,365,365,365,365,365,365,565,565,850,850,850,184,pase,,,,,
680,,SAHAGUN - TULA I,87,175,88,320,320,320,320,320,320,505,505,760,760,760,161,pase,,,,,
681,,SAHAGUN - SN MARTIN TEXMELUCAN,85,170,86,275,275,275,275,275,275,415,415,595,595,595,139,pase,,,,,
682,,SAHAGUN - ATITALAQUIA,80,160,80,300,300,300,300,300,300,450,450,695,695,695,151,pase,,,,,
684,,SAHAGUN - AJOLOAPAN,65,130,65,215,215,215,215,215,215,325,325,495,495,495,108,pase,,,,,
685,,SAHAGUN - PACHUCA,40,80,40,130,130,130,130,130,130,215,215,320,320,320,65,pase,,,,,
686,,SAHAGUN - SANCTORUM,35,70,35,130,130,130,130,130,130,190,190,275,275,275,66,pase,,,,,
687,,SAHAGUN - CALPULALPAN,15,30,15,75,75,75,75,75,75,100,100,150,150,150,38,pase,,,,,
688,,SAHAGUN - TULANCINGO,15,30,15,40,40,40,40,40,40,75,75,115,115,115,20,pase,,,,,
689,,CALPULALPAN - ATLACOMULCO,185,370,186,700,700,700,700,700,700,1065,1065,1630,1630,1630,352,pase,,,,,
690,,CALPULALPAN - ACAMBAY,172,345,173,660,660,660,660,660,660,990,990,1505,1505,1505,332,pase,,,,,
691,,CALPULALPAN - JILOTEPEC,137,275,138,550,550,550,550,550,550,840,840,1250,1250,1250,277,pase,,,,,
693,,CALPULALPAN - QUERETARO,132,265,133,520,520,520,520,520,520,780,780,1170,1170,1170,262,pase,,,,,
694,,CALPULALPAN - TULA II,112,225,113,440,440,440,440,440,440,665,665,1000,1000,1000,222,pase,,,,,
695,,CALPULALPAN - TULA I,102,205,103,395,395,395,395,395,395,605,605,910,910,910,199,pase,,,,,
696,,CALPULALPAN - ATITALAQUIA,95,190,95,375,375,375,375,375,375,550,550,845,845,845,189,pase,,,,,
698,,CALPULALPAN - AJOLOAPAN,80,160,80,290,290,290,290,290,290,425,425,645,645,645,146,pase,,,,,
699,,CALPULALPAN - SN MARTIN TEXMELUCAN,70,140,71,200,200,200,200,200,200,315,315,445,445,445,101,pase,,,,,
700,,CALPULALPAN - PACHUCA,55,110,55,205,205,205,205,205,205,315,315,470,470,470,103,pase,,,,,
701,,CALPULALPAN - TULANCINGO,30,60,30,115,115,115,115,115,115,175,175,265,265,265,58,pase,,,,,
702,,CALPULALPAN - SANCTORUM,20,40,20,55,55,55,55,55,55,90,90,125,125,125,28,pase,,,,,
703,,CALPULALPAN - SAHAGUN,15,30,15,75,75,75,75,75,75,100,100,150,150,150,38,pase,,,,,
704,,SANCTORUM - ATLACOMULCO,205,410,206,755,755,755,755,755,755,1155,1155,1755,1755,1755,380,pase,,,,,
705,,SANCTORUM - ACAMBAY,192,385,193,715,715,715,715,715,715,1080,1080,1630,1630,1630,360,pase,,,,,
706,,SANCTORUM - JILOTEPEC,157,315,158,605,605,605,605,605,605,930,930,1375,1375,1375,305,pase,,,,,
708,,SANCTORUM - QUERETARO,152,305,153,575,575,575,575,575,575,870,870,1295,1295,1295,290,pase,,,,,
