"tollbooth_id_a","tollbooth_id_b","strech_id",
275,,682,
694,,799,
291,,659,
500,,312,
19,,522,
885,,69,
919,,878,
154,,982,
259,,663,
131,,611,
385,,623,
845,,733,
813,,155,
411,,534,
758,758,,
101,,450,
680,,4,
368,,318,
227,,925,
405,,611,
683,,735,
259,,609,
38,,1418,
162,,101,
766,,412,
404,,562,
275,,678,
158,,971,
502,,298,
524,,333,
543,538,1050,
538,543,1056,
735,,858,
689,,793,
277,,673,
134,,630,
682,,699,
745,,1399,
481,,283,
721,,239,
157,,252,
252,,834,
905,,153,
375,,356,
292,,667,
137,,765,
287,,528,
820,,502,
405,,606,
275,,685,
324,,1059,
681,,734,
63,,1345,
124,,544,
358,352,1077,
358,349,1069,
358,324,1427,
358,323,1065,
598,,489,
929,,1388,
793,,1342,
691,691,831,
619,,30,
255,,549,
370,,353,
345,,190,
6,,518,
611,,456,
745,,1400,
897,,50,
388,,689,
308,692,813,
308,697,822,
308,691,828,
308,694,1426,
394,,591,
271,,763,
825,,1373,
105,,379,
46,,1025,
317,,172,
142,,1000,
543,,,
133,,,
159,,977,
238,,247,
666,,,
842,,702,
237,,938,
682,,552,
327,,189,
388,,698,
771,,410,
242,,129,
801,,87,
412,,585,
406,,533,
216,,550,
536,,391,
256,,579,
8,,517,
292,,668,
886,886,1360,
393,,658,
511,,344,
207,,1009,
518,,340,
211,,1019,
405,,613,
350,357,1077,
571,,470,
319,,174,
15,,515,
443,,1414,
676,,1340,
294,,1402,
385,,628,
837,,690,
432,,369,
496,496,,
647,,58,
660,,15,
228,,916,
178,,103,
237,,939,
270,,930,
304,,257,
667,,792,
44,,,"in"
724,,1410,
228,,919,
917,,879,
384,,614,
421,,202,
889,,159,
795,,76,
405,,600,
683,,629,
872,,140,
134,,551,
641,,63,
196,,912,
155,,987,
478,,284,
521,,340,
14,,755,
165,,109,
711,,228,
385,,621,
387,,546,
841,,539,
586,586,,
656,,16,
216,,563,
10,,523,
231,,662,
355,,1078,
694,,804,
406,,598,
134,,602,
346,,190,
859,,35,
741,,787,
453,,192,
417,,375,
216,,559,
85,,459,
837,,689,
397,,137,
401,,604,
836,,732,
703,,163,
909,,875,
153,132,895,
153,227,920,
153,228,920,
153,196,907,
153,233,956,
153,237,943,
153,236,943,
153,246,970,
153,270,931,
153,207,1428,
153,211,1429,
898,,147,
287,,542,
393,,651,
601,,490,
132,,894,
256,,580,
341,,176,
272,,760,
171,,115,
239,,846,
403,,603,
475,475,1058,
291,,663,
130,,742,
229,244,964,
226,244,964,
132,244,967,
195,244,963,
235,244,969,
234,244,969,
156,244,970,
153,244,970,
232,244,968,
44,244,1425,
47,244,960,
211,244,962,
207,244,966,
142,244,965,
245,,,"in"
467,467,,
702,702,804,
