parent_id|short_name|project_or_owner_name|area_webpage|toll_ref
ideal|Mazatlan-culiacan|autopista mazatlán culiacán|https://www.mazatlanculiacan.com.mx|https://www.mazatlanculiacan.com.mx/tarifas/
|lico|libramiento ciudad obregón s.a de c.v |https://lico.mx/|
|autovan|Autopistas de Vanguardia S.A. de C.V.|https://www.autovan.mx/|
lipsa|autovia|||
|lep|Libramiento Elevado de Puebla, S.A. de C.V.|https://www.clepsa.com|https://www.clepsa.com/rutas_tarifas.html
|quantum|Exi operadora quantum|https://infraquantum.com/|
quantum|macrolibramiento-queretaro|macro libramiento queretaro|https://infraquantum.com/proyecto-macro-libramiento/|
|ica||https://ica.com.mx/|
|anesa|ANESA HOLDING. S.A. de C.V.||
quantum|mayab|Autopista del mayab|https://infraquantum.com/autopista-del-mayab/|
|camssa|Autopista morelia salamanca s.a de c.v|https://camssa.com.mx|https://camssa.com.mx/tarifas/
pinfra|ccp|Carreteras de Cuota Puebla||
|Puente-colorado|Fideicomiso Puente Colorado del Estado de Sonora|https://puentecolorado.sonora.gob.mx|https://puentecolorado.sonora.gob.mx/tarifas
|Vias-norte|VÍAS CONCESIONADAS DEL NORTE S.A. DE C.V.|http://app.sct.gob.mx/sibuac_internet/ControllerUI?action=cmdDatosOperRepDet&idVia=39|
|Gob-chihuahua|Gobierno Del Estado De Chihuahua|https://carreteras.chihuahua.gob.mx|https://carreteras.chihuahua.gob.mx/tarifas
|zonalta|zonalta s.a de c.v||
quantum|atuca|maxitunel acapulco|https://infraquantum.com/maxitunel-acapulco/|
ideal|macrotuca|macro tunel acapulco|https://www.macrotunelacapulco.com.mx|https://www.macrotunelacapulco.com.mx/tarifas/
ideal|Tijuana-tecate|autopista tijuana tecate|https://www.tijuanatecate.com.mx|https://www.tijuanatecate.com.mx/tarifas/
meta|libramientoslp|libramiento san luis potosi|https://www.libramientoslp.mx|https://www.libramientoslp.mx/meta#tabs
ocacsa|libramientohermosillo|libramiento hermosillo|https://libramientohermosillo.com|https://libramientohermosillo.com
ideal|arconorte|arco norte|https://www.arconorte.com.mx|https://www.arconorte.com.mx/tarifas/
