"tollbooth_id","tollbooth_name","way","strech_id"
130,"apaxco",,740
130,"apaxco",,739
130,"apaxco",,736
130,"apaxco",,735
131,"apaxco",,531
131,"apaxco",,545
131,"apaxco",,559
131,"apaxco",,577
131,"apaxco",,593
131,"apaxco",,611
131,"apaxco",,627
131,"apaxco",,643
131,"apaxco",,656
131,"apaxco",,668
131,"apaxco",,683
131,"apaxco",,697
131,"apaxco",,712
131,"apaxco",,728
132,"atizapan",,891
132,"atizapan",,892
132,"atizapan",,893
132,"atizapan",,894
132,"atizapan",,895
132,"atizapan",,896
132,"atizapan",,897
132,"atizapan",,898
132,"atizapan",,899
132,"atizapan",,900
132,"atizapan",,901
132,"atizapan",,908
133,"atizapan",,
134,"atlacomulco",,524
134,"atlacomulco",,525
134,"atlacomulco",,526
134,"atlacomulco",,527
134,"atlacomulco",,528
134,"atlacomulco",,529
134,"atlacomulco",,530
134,"atlacomulco",,531
134,"atlacomulco",,532
134,"atlacomulco",,533
134,"atlacomulco",,534
134,"atlacomulco",,535
134,"atlacomulco",,536
134,"atlacomulco",,537
134,"atlacomulco",,551
134,"atlacomulco",,561
134,"atlacomulco",,567
134,"atlacomulco",,576
134,"atlacomulco",,589
134,"atlacomulco",,602
134,"atlacomulco",,616
134,"atlacomulco",,737
134,"atlacomulco",,630
134,"atlacomulco",,644
134,"atlacomulco",,659
134,"atlacomulco",,674
134,"atlacomulco",,689
134,"atlacomulco",,704
134,"atlacomulco",,719
135,"atlacomulco",,270
136,"atlacomulco sur",,269
137,"ayotuxco",,757
137,"ayotuxco",,759
137,"ayotuxco",,765
138,"ayotuxco",,762
138,"ayotuxco",,763
138,"ayotuxco",,764
139,"ayotuxco",,762
139,"ayotuxco",,763
139,"ayotuxco",,764
140,"ayotuxco",,765
140,"ayotuxco",,757
140,"ayotuxco",,759
141,"bosque real",,
142,"bosque real",,993
142,"bosque real",,1000
143,"bosque real",,
144,"cerrillo",,761
144,"cerrillo",,764
144,"cerrillo",,767
145,"cerrillo",,756
145,"cerrillo",,757
145,"cerrillo",,758
146,"ceylan norte",,837
146,"ceylan norte",,838
146,"ceylan norte",,1402
147,"ceylan sur",,
148,"chalco",,1
149,"chalco",,1
150,"chalco",,1
151,"chalco",,1
152,"chamapa",,765
152,"chamapa",,760
152,"chamapa",,758
153,"chamapa capufe",,
154,"chamapa capufe",,978
154,"chamapa capufe",,979
154,"chamapa capufe",,980
154,"chamapa capufe",,981
154,"chamapa capufe",,982
154,"chamapa capufe",,983
154,"chamapa capufe",,984
154,"chamapa capufe",,985
155,"chamapa inbursa",,986
155,"chamapa inbursa",,987
155,"chamapa inbursa",,988
155,"chamapa inbursa",,989
156,"chamapa inbursa",,
157,"chapultepec","capula-patzcuaro",252
158,"cipreses",,971
159,"cipreses",,972
159,"cipreses",,973
159,"cipreses",,974
159,"cipreses",,975
159,"cipreses",,976
159,"cipreses",,977
160,"circuito exterior mexiquense-a-12 entronque santa ines",,1396
161,"circuito exterior mexiquense-a-1a huehuetoca",,101
162,"circuito exterior mexiquense-a-1b huehuetoca",,101
163,"circuito exterior mexiquense-a-2 los reyes",,102
164,"circuito exterior mexiquense-a-21 bordo xochiaca",,109
