"tollbooth_id","direction","legacy_id","tollbooth_name","coords","status","strech_id","state","place","lines","type","highway","operator_2025","gate_to"
,,492,"torreon","25.448355650041897, -101.0670764976156","open",448,"coahuila","troncal",6,"toll","40D","cams",
,,492,"torreon","25.456933986702083, -101.06352725893902","open",450,"coahuila","entronque",3,"toll","40-40D","cams",
,,492,"torreon","25.457011483944147, -101.06387058168893","open",450,"coahuila","entronque",3,"toll","40D-40","cams",
,,492,"torreon","25.448273196014465, -101.06686628986269","open",449,"coahuila","entronque",1,"toll","40D-40","cams",
,,492,"torreon","25.448329651622657, -101.06729266025827","open",449,"coahuila","entronque",1,"toll","40-40D","cams",
,,491,"ojo caliente","25.612267190568296, -100.91350636272064","open",451,"coahuila","troncal",5,"toll","40D","cams",
,,491,"ojo caliente","25.612126713686568, -100.91332109516246","open",452,"coahuila","entronque",2,"toll","40D-57","cams",
,,491,"ojo caliente","25.612426, -100.913533","open",452,"coahuila","entronque",2,"toll","57-40D","cams",
,,491,"ojo caliente","25.616259683530693, -100.90842282785383","open",453,"coahuila","entronque",2,"toll","40D-57","cams",
,,491,"ojo caliente","25.615645079472433, -100.90846814541047","open",453,"coahuila","entronque",2,"toll","57-40D","cams",
,,490,"periferico","25.69327454356687, -100.56560891978498","open",454,"nuevo leon","troncal",8,"toll","40D","cams",
,,490,"periferico","25.69642001908078, -100.57738188253438","open",455,"nuevo leon","entronque",4,"toll","100-40","cams",
,,490,"periferico","25.696033569043514, -100.57733808631143","open",455,"nuevo leon","entronque",4,"toll","40D-100","cams",
,,490,"periferico","25.694580992338835, -100.56967095016509","open",456,"nuevo leon","entronque",2,"toll","100-40D","cams",
,,490,"periferico","25.694997552477812, -100.56942967626756","open",456,"nuevo leon","entronque",2,"toll","40D-100","cams",
,,490,"periferico","25.69327454356687, -100.56560891978498","open",457,"nuevo leon","entronque",2,"toll",,"cams",
,,490,"periferico","25.69327454356687, -100.56560891978498","open",458,"nuevo leon","entronque",2,"toll",,"cams",
,,140,"la carbonera","25.511105888290206, -100.86831027589685","open",459,"coahuila","troncal",8,"toll","57D","capufe",
,,141,"los chorros","25.186752731729825, -100.7319750568648","open",460,"nuevo leon","troncal",8,"toll","57D","capufe",
,,142,"huachichil","25.24550779007953, -100.80146602534519","open",461,"coahuila","troncal",3,"toll","57D","capufe",
,,421,"libramiento matehuala","23.66415230592038, -100.60728679211601","open",462,"san luis potosi","troncal",6,"toll","57D","omega",
,,499,"lincon","25.790548, -100.463523","open",463,"nuevo leon","troncal",6,"toll","100D","reanal",
,,499,"lincon","25.790239538739225, -100.46330404454031","open",464,"nuevo leon","entronque",1,"toll","100D","reanal",
,,499,"lincon","25.790642878683972, -100.46366470635019","open",464,"nuevo leon","entronque",1,"toll","100D","reanal",
,,499,"lincon","25.782482907580047, -100.47237090185433","open",465,"nuevo leon","entronque",1,"toll","100D-lincon","reanal",
,,499,"lincon","25.78512947943162, -100.47058198933826","open",465,"nuevo leon","entronque",1,"toll","Lincon-100D","reanal",
,,499,"lincon","25.782107744469187, -100.47420313851448","open",466,"nuevo leon","entronque",1,"toll","Lincon-100D","reanal",
,,499,"lincon","25.833565230740994, -100.30578748559925","open",467,"nuevo leon","entronque",2,"toll","53-100D","reanal",
,,499,"lincon","25.834266119443438, -100.30578488110913","open",467,"nuevo leon","entronque",2,"toll","100D-53","reanal",
,,452,"apodaca","25.81771265851083, -100.39327850014682","open",470,"nuevo leon","entronque",2,"toll","pedreras-100D","reanal",
,,452,"apodaca","25.818302487908106, -100.39338492871302","open",470,"nuevo leon","entronque",2,"toll","100D-pedreras","reanal",
,,452,"apodaca","25.78768393104481, -100.16852243161188","open",468,"nuevo leon","troncal",13,"toll","100D","reanal",
,,452,"apodaca","25.787814394813687, -100.16830122382288","open",470,"nuevo leon","entronque",2,"toll","54-100D","reanal",
,,452,"apodaca","25.775241957977304, -100.15906320943658","open",469,"nuevo leon","entronque",2,"toll","100D-54","reanal",
,,452,"apodaca","25.78767359482775, -100.16871932350976","open",470,"nuevo leon","entronque",2,"toll","54-100D","reanal",
,,452,"apodaca","25.77516993717487, -100.15950051066255","open",469,"nuevo leon","entronque",2,"toll","54-100D","reanal",
,,505,"juarez","25.622238, -100.071266","open",471,"nuevo leon","troncal",8,"toll","100D","reanal",
,,505,"juarez",,"not_found",472,"nuevo leon",,,"toll",,"reanal",
,,450,"cadereyta","25.60745636702586, -100.00115562352744","open",473,"nuevo leon","troncal",8,"toll","40D","reanal",
,,451,"guadalupe","25.691712503633664, -100.15775784274207","open",474,"nuevo leon","troncal",9,"toll","40D","reanal",
,,451,"guadalupe","25.69193970565599, -100.15764518997108","open",475,"nuevo leon","entronque",2,"toll","40D-39","reanal",
,,451,"guadalupe","25.691470798881486, -100.15786513110776","open",475,"nuevo leon","entronque",2,"toll","39-40D","reanal",
19,"Monterrey-Reynosa",40,"cadereyta","25.601082077713865, -100.00577052864378","open",476,"nuevo leon","troncal",4,"toll",41,"capufe","bridge"
,,586,"Agujita-allende","28.303418269595824, -100.91005536599042","open",477,"coahuila","troncal",6,"toll","57D","supercarreteras",
32,"Cd. Acuña-Del Río",65,"acuña","29.32526434299446, -100.92843441545274","open",478,"coahuila","troncal",2,"toll",,"capufe","International-bridge"
,,108,"sabinas","26.512073364202653, -100.00724465940853","open",479,"nuevo leon","troncal",8,"toll","85D","opan",
,,109,"agualeguas","26.340284542482802, -100.07044714502695","open",480,"nuevo leon","entronque",1,"toll","85D-6","opan",
,,109,"agualeguas","26.339400952021983, -100.07189465232086","open",480,"nuevo leon","entronque",1,"toll","6-85D","opan",
,,110,"paras","26.508378, -100.008159","open",481,"nuevo leon","entronque",1,"toll","85D-2","opan",
,,110,"paras","26.507980, -100.009575","open",481,"nuevo leon","entronque",1,"toll","2-85D","opan",
,,110,"paras","26.508623, -100.009173","open",482,"nuevo leon","entronque",1,"toll","85D-2","opan",
,,938,"nuevo laredo pinfra","27.268880701339945, -99.61533870996095","open",483,"tamaulipas","troncal",4,"toll",,"opan",
,,109,"agua leguas","26.339400952021983, -100.07189465232086","open",484,"nuevo leon","entronque",1,"toll",,"opan",
,,109,"agua leguas","26.340284542482802, -100.07044714502695","open",485,"nuevo leon","entronque",1,"toll",,"opan",
,,128,"general bravo","25.813590450643296, -99.16948452268444","open",486,"nuevo leon","troncal",6,"toll","40D","opan",
,,131,"doctor cross","25.81186953715244, -99.17366891656357","open",492,"nuevo leon","entronque",1,"toll","40D-escobedo","opan",
,,131,"doctor cross","25.81388649127608, -99.17383357863838","open",492,"nuevo leon","entronque",1,"toll","escobedo-40D","opan",
,,128,"general bravo","25.813355125068806, -99.16955166633859","open",487,"nuevo leon","entronque",1,"toll","escobedo-40D","opan",
,,128,"general bravo","25.813721009266057, -99.16960677378295","open",487,"nuevo leon","entronque",1,"toll","40D-escobedo","opan",
,,129,"los herrera","25.75945175633943, -99.3740971405496","open",488,"nuevo leon","entronque",1,"toll","40D-5","opan",
,,129,"los herrera","25.759381701928543, -99.37420979332224","open",489,"nuevo leon","entronque",1,"toll","5-40D","opan",
,,129,"los herrera","25.757243907864847, -99.37383676950328","open",488,"nuevo leon","entronque",1,"toll","5-40D","opan",
,,129,"los herrera","25.757300552279695, -99.37391967430322","open",489,"nuevo leon","entronque",1,"toll","40D-5","opan",
,,130,"los ramones","25.663010981887815, -99.62862545881767","open",490,"nuevo leon","entronque",1,"toll","40D-15","opan",
,,130,"los ramones","25.662851133897288, -99.62864343204741","open",491,"nuevo leon","entronque",1,"toll","15-40D","opan",
,,130,"los ramones","25.656113650916502, -99.63109784396785","open",490,"nuevo leon","entronque",1,"toll","15-40D","opan",
,,130,"los ramones","25.655945558818935, -99.63101674627994","open",491,"nuevo leon","entronque",1,"toll","40D-15","opan",
,,,,,"not_found",493,,,,"toll",,,
,,,,,"not_found",494,,,,"toll",,,
,,130,"los ramones","25.656113650916502, -99.63109784396785","open",495,"nuevo leon","entronque",1,"toll",,"opan",
,,15,"lucio blanco","25.98768301621346, -98.43162717322927","open",496,"tamaulipas","troncal",4,"toll","2D","opan",
,,194,"san fernando","25.944745028315666, -98.22755243491738","open",497,"tamaulipas","troncal",2,"toll","2D","opan",
,,194,"san fernando","25.944745028315666, -98.22755243491738","open",498,"tamaulipas","troncal",2,"toll",,"opan",
192,"(Reynosa-Pharr)",75,"reynosa phar","26.041797924744227, -98.2088305959957","open",500,"tamaulipas","troncal",7,"toll",,"opan","International-bridge"
195,"(Progreso-Los Tomates)",171,"ignacio zaragoza (los tomates)","25.87421722363984, -97.47467004872608","open",501,"tamaulipas","troncal",8,"toll",,"opan","International-bridge"
,,170,"nuevo progreso","26.03629264656662, -97.954364453689","open",502,"tamaulipas","troncal",4,"toll","2D","opan",
,,170,"nuevo progreso","26.03527174651505, -97.9544330102595","open",503,"tamaulipas","entronque",2,"toll","47-2D-47","opan",
,,170,"nuevo progreso","26.037096937671034, -97.95454245738237","open",504,"tamaulipas","entronque",2,"toll","47-2D-47","opan",
34,"Nuevo Laredo-Laredo",74,"Juarez-lincon","27.498297389701765, -99.50254431626057","open",505,"tamaulipas","troncal",4,"toll",,"capufe","International-bridge"
15,"(Cd. Alemán-Roma)",31,"miguel aleman","26.40285521960509, -99.02069311968577","open",506,"tamaulipas","troncal",2,"toll",,"capufe","International-bridge"
25,"(Reynosa-Nuevo Laredo)",48,"san juan","26.31191164483669, -98.84195473768678","open",507,"tamaulipas","troncal",2,"toll",,"capufe","bridge"
9,"(Camargo-Río Grande)",30,"camargo","26.36244410998924, -98.80645113559994","open",508,"tamaulipas","troncal",3,"toll",,"capufe","International-bridge"
16,"(Reynosa-Hidalgo)",37,"reynosa","26.093210481258584, -98.27100126150383","open",509,"tamaulipas","troncal",4,"toll",,"capufe","International-bridge"
24,"(Nuevo Progreso-Progreso)",47,"las flores","26.06052267696973, -97.95043461194285","open",510,"tamaulipas","troncal",4,"toll",,"capufe","International-bridge"
26,"Ojinaga-Presidio",50,"ojinaga","29.56056529180206, -104.39648666433295","open",511,"chihuahua","troncal",4,"toll",,"capufe","International-bridge"
6,"(Matamoros-Brownsville)",20,"matamoros","25.891424629609347, -97.50393755311129","open",512,"tamaulipas","troncal",3,"toll",,"copa","International-bridge"
30,"Piedras Negras-Eagle Pass",62,"piedras negras","28.705244852430557, -100.51302386596953","open",513,"coahuila","troncal",2,"toll",,"Hoatsa","International-bridge"
197,"Piedras Negras-Eagle Pass",1023,"piedras negras 2","28.697075905761523, -100.51248297635908","open",514,"coahuila","troncal",4,"toll",,"Hoatsa","International-bridge"
,,419,"libramiento de mexicalli","32.53350175529058, -115.42075475662338","open",515,"baja california","troncal",4,"toll","2D","omega",
,,419,"libramiento de mexicalli","32.53282772801545, -115.40982310215688","open",516,"baja california","entronque",1,"toll","5-2D","omega",
,,419,"libramiento de mexicalli","32.53361579257065, -115.40876421355513","open",516,"baja california","entronque",1,"toll","2D-5","omega",
,,83,"el hongo","32.52118038602374, -116.32013900623957","open",517,"baja california","entronque",1,"toll","2D-2-2D","capufe",
"044-01",,83,"el hongo","32.52186057317686, -116.32001574618872","open",518,"baja california","troncal",4,"toll","2D","capufe",
"044-03",,83,"el hongo","32.52248943941944, -116.3198006383681","open",517,"baja california","entronque",1,"toll","2-2D","capufe",
"044-02",,83,"el hongo","32.52112015949326, -116.32015118029209","open",519,"baja california","entronque",1,"toll",,"capufe",
11,,34,"playas de tijuana","32.51416293952504, -117.10948976541157","open",520,"baja california","troncal",10,"toll","1D","capufe",
12,,35,"rosarito","32.31112491303154, -117.0444151721061","open",521,"baja california","troncal",10,"toll","1D","capufe",
,,189,"nodo popotla","32.283788556971906, -117.03057131436263","open",522,"baja california","entronque",1,"toll","201-1D","capufe",
13,,189,"nodo popotla","32.28383965784465, -117.02961694282466","open",522,"baja california","entronque",3,"toll","1D-201","capufe",
"045-01",,415,"tijuana","32.545696, -116.852193","open",750,"baja california","troncal",9,"toll",,"Tijuana-tecate",
,,418,"paso del aguila","32.527353, -116.692395","open",751,"baja california","entronque",1,"toll","2D-PASO DEL AGUILA","Tijuana-tecate",
"045-04",,,"Tijuana+130.5","32.52684564537325, -116.69316838572121","open",,"baja california","entronque",1,"etc",,"Tijuana-tecate",
,,,"Tijuana+130.5","32.52556347848379, -116.69312311192508","open",,"baja california","entronque",1,"etc",,,
"045-02",,467,"paso del aguila bis","32.52585510316473, -116.69026781800218","open",752,"baja california","entronque",2,"toll","2D-SANDOVAL – PASO DEL AGUILA","Tijuana-tecate",
"045-05",,417,"dart","32.54299960727464, -116.75825916633757","open",754,"baja california","entronque",1,"toll","2D-PLANTA DART-VALLE REDONDO","Tijuana-tecate",
,,422,"las esperanzas","32.550756, -116.621901","open",755,"baja california","entronque",1,"toll","LAS ESPERANZAS 3-2D","Tijuana-tecate",
,,150,"esperanza","27.603792376513166, -109.93907790959305","open",418,"sonora","troncal",6,"toll","15D","capufe",
"045-03",,422,"las esperanzas","32.55166253746689, -116.62114602836968","open",755,"baja california","entronque",2,"toll","LAS ESPERANZAS 2D-3","Tijuana-tecate",
14,,36,"ensenada","31.90316954366235, -116.73273532000844","open",523,"baja california","troncal",10,"toll","1D","capufe",
,,71,"chalco","19.292134356704867, -98.8817066361272","open",1,"edomx","entronque",7,"toll","150D-115","capufe",
,,7,"san marcos","19.296334046022135, -98.87071124106612","open",3,"edomx","troncal",15,"toll","150D-57D","capufe",
,,926,"ixtapaluca","19.28998073493131, -98.88030893714964","open",2,"edomx","entronque",8,"toll",115,"capufe",
,,188,"san marcos bis","19.293391129274873, -98.87598767837207","open",5,"edomx","entronque",4,"toll","150D-5D","capufe",
,,71,"chalco","19.293292563929672, -98.88284509632994","open",1,"edomx","troncal",2,"toll","150D-115","capufe",
,,71,"chalco","19.29321867493075, -98.88354314227342","open",1,"edomx","troncal",3,"toll","150D","capufe",
,,71,"chalco","19.293101683947743, -98.88409983935685","open",1,"edomx","troncal",3,"toll","150D","capufe",
,,316,"circuito exterior mexiquense-T4 chalco","19.30011531384209, -98.87526308409201","open",100,"edomx","troncal",6,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T0 jorobas","19.819935517430253, -99.23987695454564","open",95,"edomx","troncal",7,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T1 tultepec","19.694018113202613, -99.08049510414101","open",96,"edomx","troncal",22,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T1 tultepec","19.694018113202613, -99.08049510414101","open",1395,"edomx","troncal",22,"toll",,"cem",
,,316,"circuito exterior mexiquense-T2 conmex","19.57550558337962, -99.02055090706814","open",97,"edomx","troncal",14,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T2 conmex","19.57550558337962, -99.02055090706814","open",1393,"edomx","troncal",14,"toll",,"cem",
,,316,"circuito exterior mexiquense-T3 nabor carillo","19.435829533797794, -98.99837849230546","open",98,"edomx","troncal",4,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T3 nabor carillo","19.435842542383828, -98.9980775290402","open",99,"edomx","entronque",4,"toll","57D","cem",
,,316,"circuito exterior mexiquense-T3 nabor carillo","19.435821576260775, -98.9986457077775","open",99,"edomx","entronque",4,"toll","57D-bordo de xochiaca","cem",
,,316,"circuito exterior mexiquense-T3 nabor carillo","19.43584436312854, -98.9985464586299","open",98,"edomx","troncal",4,"toll",,"cem",
,,316,"circuito exterior mexiquense-A-1A huehuetoca","19.822136243927932, -99.23624388243783","open",101,"edomx","entronque",2,"toll","57D","cem",
,,316,"circuito exterior mexiquense-A-1B huehuetoca","19.82323588025471, -99.23553122514845","open",101,"edomx","entronque",2,"toll","57D","cem",
,,316,"circuito exterior mexiquense-A-2 los reyes","19.610865684904677, -99.03855181117322","open",102,"edomx","troncal",5,"toll",,"cem",
,,316,"circuito exterior mexiquense-A-5 Hank gonzalez","19.584821045498185, -99.0280728965625","open",102,"edomx","entronque",2,"toll","57D","cem",
,,316,"circuito exterior mexiquense-A-6 periferico","19.487226638901856, -99.01638088730647","open",103,"edomx","entronque",2,"toll","periferico-57D","cem",
,,316,"circuito exterior mexiquense-A-7 periferico","19.48571434815351, -99.01516948213126","open",103,"edomx","entronque",2,"toll","57D-periferico","cem",
,,316,"circuito exterior mexiquense-A-8 pichardo","19.506367484694774, -99.01496320168103","open",104,"edomx","troncal",1,"toll",,"cem",
,,316,"circuito exterior mexiquense-A-9 ctm","19.488289296901982, -99.0187359797232","open",105,"edomx","entronque",1,"toll",,"cem",
,,316,"circuito exterior mexiquense-T1 jaltenco","19.694018113202613, -99.08049510414101","open",106,"edomx","troncal",22,"toll",,"cem",
,,316,"circuito exterior mexiquense-T1 jaltenco","19.694018113202613, -99.08049510414101","open",1394,"edomx","troncal",22,"toll",,"cem",
,,316,"circuito exterior mexiquense-A-3 pachuca","19.603091798829805, -99.0386258765502","open",107,"edomx","entronque",1,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-4 pachuca","19.603392599771386, -99.03724320021398","open",108,"edomx","entronque",2,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-21 bordo xochiaca","19.42563391931527, -98.99855888788431","open",109,"edomx","entronque",2,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-22 bordo xochiaca","19.425677149229696, -98.9987669281238","open",109,"edomx","troncal",2,"toll","5D","cem",
,,316,"circuito exterior mexiquense-T-7 -Texcoco","19.45074359283137, -98.91110074110017","open",110,"edomx","troncal",6,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-27 san buena aventura","19.307078162910116, -98.87179988486967","open",111,"edomx","entronque",2,"toll","57D","cem",
,,316,"circuito exterior mexiquense-A-28 San marcos","19.30000445615856, -98.87506324293571","open",112,"edomx","entronque",2,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-31 ent. Tultepec","19.702325204814482, -99.08522685692728","open",113,"edomx","entronque",4,"toll","57D","cem",
,,316,"circuito exterior mexiquense-A-32 ent. Tultepec","19.704260124031222, -99.0872982554282","open",114,"edomx","entronque",4,"toll","5D","cem",
,,316,"A-32 bis","19.704282266728484, -99.08861738585021","open",1397,"edomx","entronque",6,"toll",,"cem",
,,316,"circuito exterior mexiquense-A-34 vialidad mexiquense","19.637483745523515, -99.1644306487261","open",114,"edomx","entronque",4,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-36 vialidad mexiquense","19.63833645324367, -99.15919830842724","open",114,"edomx","entronque",4,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-33 vialidad mexiquense","19.638353310850967, -99.15622648744971","open",115,"edomx","entronque",3,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-35 vialidad mexiquense","19.638239160472185, -99.15893288433031","open",115,"edomx","entronque",1,"toll","5D","cem",
,,316,"circuito exterior mexiquense-T-5 tultitlan","19.63777430447426, -99.16447908889505","open",116,"edomx","troncal",10,"toll","5D","cem",
,,316,"circuito exterior mexiquense-T6 cuautitlan izcalli","19.63545513882053, -99.20516937360027","open",117,"edomx","troncal",14,"toll","5D","cem",
,,316,"circuito exterior mexiquense-AIFA T5 de distribuidor santa ines","19.63777430447426, -99.16447908889505","open",118,"edomx","entronque",4,"toll","5D","cem",
,,316,"circuito exterior mexiquense-AIFA A35 de distribuidor santa ines","19.637455343397235, -99.15575901527625","open",119,"edomx","entronque",3,"toll","5D","cem",
,,316,"circuito exterior mexiquense-A-12 entronque santa ines","19.702077285061986, -99.0857239049988","open",1396,"edomx","entronque",8,"toll","57D-aifa","cem",
,,8,"san marti puebla","19.241420092520407, -98.3855948874618","open",4,"puebla","troncal",27,"toll","150D","capufe",
