id|pase_id|name|open|road|operator_2025
|101|alpuyeca balnearios|1||
|102|paso morelos|1||
|103|palo blanco|1||
|104|la venta|1||
|223|la venta bis|1||
|56|zacapalco|1||
|99|taxco|1||
|3|iguala|1||
|423|las cruces (maxitunel)|1||
|429|cayaco (macrotunel)|1||
|420|libramiento tecpan|1||
|159|zapotlanejo|1||
|447|libramiento sur guadalajara (macrolibramiento)|1||
|325|chapala|1||
|405|santa cecilia|-1||
|57|acatlan II|1||
|58|sayula|1||
|59|sayula remota|1||
|60|san marcos II|1||
|901|armería|1||
|409|yago|1||
|401|estación ruiz|1||
|402|acaponeta|1||
|400|El rosario|1||
|604|vainillo|1||
|124|mármol|1||
|601|costa rica|1||
|408|quila|-1||
|603|san pedro-libramiento culhuacan|1||
|10|puente nacional culiacan|1||
|11|puente nacional sinaloa|1||
|557|esperanza hornos|1||
|150|esperanza|1||
|148|estación don|1||
|149|fundición|1||
|151|guaymas|1||
|152|hermosillo|1||
|153|magdalena|1||
|559|sahuaripa|1||
|443|atlacomulco|1||
|442|acambay|1||
|442|jilotepec|1||
|440|Queretaro-arco norte|1||
|439|tula II|1||
|438|tula I|1||
|437|atitalaquia|1||
|436|ajoloapan|1||
|435|pachuca|1||
|434|tulancingo|1||
|433|shagún|1||
|432|calpulalpan|1||
|431|sanctorum|1||
|430|san martín texmelucan|1||
|462|apaxco|1||
|466|liverpool|1||
|568|chamapa autovan|1||
|566|san nicolas|1||
|567|ayotuxco|1||
|565|cerrillo|1||
|86|san josé del cabo|1||
|330|aeropuerto de los cabos|1||
|332|san lucas|1||
|334|el mangle|1||
