"road_id","road_name","operation_date","start_contract_date","end_contract_date","project_mx_id","fonadin_ref","road_length_km","bond_code","bond_issuance_date","bond_terms_years","bond_amount","notes","farac"
141,"libramiento de ciudad juárez","09-06-2023","10-11-2020","23-04-2052",97,,31.3,,,,,,
162,"puente el prieto",,,,,,,,,,,,
167,"libramiento noreste de zacatecas",,,,,,,,,,,,
170,"san martín texmelucan-huejotzingo",,,,,,,,,,,,
171,"Cuapiaxtla-cuacnopalan","01-11-2024","10-09-2020","01-09-2051",909,,63.66,"BLKCPI 18",2018-09-12,15,,,
174,"Toluca-atlacomulco","31-03-1993",,,,,52,,,,,,
175,"libramiento aguascalientes (poniente)","21-05-2022",,,,,45,,,,,,
176,"libramiento aguascalientes (surponiente)","21-05-2022","25-03-2009","24-03-2039",123,,21,,,,,,
177,"Tenango-ixtapan","02-12-1994",,,,,42.7,"TENANCB 05U,TENIXCB 14U ","2005-10-04,2014-02-01","17,29",821800000,,
178,"circuito exterior mexiquense","04-07-2005",,,,,110.78,"CONMEX 14U ",2014-08-01,32,,,
179,"libramiento toluca (nororiente)","03-09-2007",,,,,30.8,,,,,,"rescate"
180,"Toluca-zitacuaro-valle de bravo","12-03-2008","28-01-2004","01-01-2057",814,,40,,,,,,
181,"Lerma-santiago tianguistenco","17-08-2011","29-11-2004","01-01-2056",815,,25.17,,,,,,
182,"macrolibramiento mexiquense (naucalpan-ecatepec)","26-08-2022",,,,,25.5,,,,,,
183,"Toluca-naucalpan","21-10-2020",,,,,39.87,,,,,,
184,"Zitacuaro-lengua de vaca","12-03-2008","28-01-2004","01-01-2057",814,,11.8,,,,,,
185,"san luís potosí-rioverde (cerritos-rioverde)",,,,,,103,,,,,,
186,"Guanajuato-silao","01-01-1989",,,,,13.52,,,,,,
187,"Ventura-el peyote","14-08-2024","26-02-2020","14-10-2050",87,,37.6,,,,,,
188,"libramiento de celaya",,,,,,29.3,,,,,,
189,"Poza rica-cardel","16-02-2022","31-07-2014","30-07-2044",140,"https://www.fonadin.gob.mx/fni2/fp44/",128,,,,,,
190,"Tuxpan-tampico","24-05-2021","03-11-2014","02-11-2044",112,"https://www.fonadin.gob.mx/fni2/fp46/",106.6,,,,,,
191,"rio colorado-estacion doctor",,,,,,49,,,,,,
192,"Tlaxcala-puebla","01-01-2015",,,,,17.5,,,,,,
193,"Atlixco-jantetelco",,,,,,55.1,"CONCECB06U",2006-01-01,,"143842 udis",,
194,"Puebla-atlixco",,,,,,19,,,,,,
195,"Piramides-texcoco","26-04-2022",,,,,13,,,,,,
196,"libramiento plan del rio",,,,,,13,"PLANRIO 05U,PLANRIO 05-2U ","2005-05-01","15,25",,,
197,"barranca larga-ventanilla","04-02-2024","30-01-2009","29-01-2039",99,,104.2,,,,,,
198,"autopista siglo xxi (jantetelco-el higuerton)","16-11-2018","18-12-2013","17-12-2073",143,"https://www.fonadin.gob.mx/fni2/fp45/",61.8,,,,,,
199,"libramiento elevado de puebla","20-10-2016",,,,,15.3,"LEPCB 18",2018-04-25,28.5,4500000000,,
200,"san luís potosí-villa de arriaga",,,,,,76,,,,,,
201,"Monterrey-cadereyta",,,,,,,"YCTA 04U,AMCCB 13U,MYCTACB 18U,MYCTACB 18-2U","2004-01-01,2013-04-0,2018-06-01,2018-06-01","25,34,20,30",,,
202,"la venta-chamapa","16-02-1998",,,,,,,,,,,
203,"Jala-compostela","07-11-2017","30-09-2011","30-09-2071",334,,67,,,,,,
204,"autopista benito juárez (la costera) (culiacán-las Brisas)",,,,,,125.8,,,,,,
205,"puerto marques-la venta","01-01-1994",,,,,21.5,,,,,,
206,"Libramiento Poniente de Acapulco","26-04-2022","24-08-2012","30-09-2071",345,,39.71,,,,,,
207,"Apizaco-huauchinango (Tlaxco-Tejocotal)",,,,,,63.11,"PAQPCB 16 ","2016-05-01",10,,,
208,"libramiento norte de la piedad","26-11-2012","20-01-2009","20-01-2054",100,,21.388,,,,,,
209,"San Antonio Virreyes-Teziutlán",,,,,,55,,,,,,
210,"Cerritos-Tula","01-08-2010",,,,,54,,,,,,
211,"libramiento hermosillo","11-06-2021","03-07-2015","12-07-2078",110,"https://www.fonadin.gob.mx/fni2/fp55/",40.16,,,,,,
212,"libramiento ciudad obregon","02-10-2017","21-08-2014","20-08-2074",114,,34,,,,,,
213,"chihuahua-sacramento",,,,,,27,"CHIHCB 13-2 ","2013-09-01",15,,,
214,"autopista vialidad poniente",,,,,,2.1,,,,,"en construcción",
215,"autopista conexión oriente",,,,,,7,,,,,"en construcción",
216,"Silao-san miguel de allende",,,,,,52.17,,,,,"en construcción",
217,"Atizapan-atlacomulco",,,,142,"https://www.fonadin.gob.mx/fni2/fp111/",77.2,,,,,"en construcción","concesion"
218,"Atlacomulco-popotitlan",,,,913,,82.8,,,,,"en construcción",
219,"Nuevo Necaxa-Ávila Camacho","27-11-2012","19-07-2007","18-07-2067",80,,36.646,"AUNETCB 22U,AUNETCB 24U, AUNETCB 24-2U","2022-08-12,2024-02-26,2024-12-10","12,24,32","8000000000,1400000000,12900000000",,
220,"Periférico del Área Metropolitana de Monterrey",,,,,,69.5,"PAMMSCB 14U",2014-12-18,49,1600000000,,
221,"Maxi Túnel (TUCA)","26-11-1996",,,,,2.953,"TUCACCB 08",2008-03-25,23,1250000000,,
223,"Nuevo puente de la unidad","06-10-2019","15-12-2016","15-12-2046",966,,3.22,"Santander 17",2017-05-16,20,800000000,,
224,"juan capitán - el chihue (Rumbo Nuevo)","14-02-2026",,,923,,37,,,,,,
225,"Mexico-toluca","19-10-1990","31-07-1989","31-07-2049",89,,19,"PADEIM0 6U,PADEIM 09U","2006-01-01,2009-03-19",,"1754594 udis (6,470.8 millones)",,
226,"libramiento norponiente hermosillo",,,,920,,30,,,,,"en construcción",
227,"libramiento surponiente hermosillo",,,,920,,8.8,,,,,"en construcción",
228,"libramiento perote","02-07-2004","24-11-2003","23-11-2043",95,,17.58,"GANACB 11U ",2011-04-01,20,,,
