index,tollbooth_name,direction,road,km,tdpa,M,A,AR,B,C2,C3,C4,C5,C6,C7,C8,C9,VNC,vta,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
206-02,malpasito,malpasito-ent. rómulo calzada,ex-187d,128.000,26,3.5,71.3,0.0,3.5,9.9,4.5,0.7,5.4,0.6,0.0,0.0,0.6,0.0,"9,446",7.4,8.1,9.7,10.9,10.7,3.0,6.1,17.5,4.7,8.7,8.7,4.5
206-03,malpasito,ent. rómulo calzada-ocuilapa,ex-187d,128.000,"1,221",1.0,81.7,0.0,3.9,6.5,6.0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,"445,701",6.4,9.1,9.5,9.9,9.9,8.2,9.5,10.1,4.6,8.7,8.9,5.2
207,ocozocoautla,ent. raudales-ocozocoautla,ex-187d,182.200,"4,440",0.4,57.9,0.0,7.0,5.2,6.7,0.6,11.8,1.9,0.2,0.1,8.2,0.0,"1,620,661",8.9,7.4,9.0,8.6,8.0,6.9,9.0,8.9,7.5,7.7,8.2,9.9
208,tepotzotlán,tepalcapa-tepeji del río,ex-057d,43.010,"58,078",0.4,70.8,0.0,4.9,3.4,6.5,0.3,10.6,0.7,0.1,0.1,2.2,0.0,"21,198,546",8.0,7.3,8.6,8.2,8.2,7.9,8.8,8.5,7.9,8.6,8.6,9.4
209-01,jorobas,jorobas-tepeji del río,ex-057d,56.280,"2,296",0.3,66.7,0.0,3.6,4.8,5.6,0.5,12.6,1.7,0.1,0.6,3.5,0.0,"837,972",8.0,7.0,8.4,8.1,8.2,8.1,9.1,8.7,8.0,8.5,8.4,9.5
209-02,jorobas,jorobas-zumpango circuito mexiquense,ex-057d,56.280,"14,180",0.3,56.9,0.0,6.4,6.2,7.1,0.7,15.8,2.6,0.2,0.1,3.7,0.0,"5,175,697",8.3,7.3,8.6,8.4,8.4,8.1,9.0,7.6,7.8,8.4,8.6,9.5
210,polotitlán,tepeji-polotitlán,ex-057d,133.050,590,0.4,84.2,0.0,2.2,3.8,3.6,0.4,3.2,1.5,0.1,0.0,0.6,0.0,"215,185",6.4,6.6,11.4,7.8,7.6,7.8,10.5,9.2,8.1,6.8,8.3,9.5
211-01,palmillas,tepeji del río-palmillas,ex-057d,147.917,"43,285",0.3,57.5,0.0,4.5,4.9,6.2,0.5,19.7,1.8,0.2,0.0,4.4,0.0,"15,799,166",8.3,7.4,8.6,8.3,8.3,7.9,8.6,8.3,7.8,8.4,8.6,9.5
211-02,palmillas,tepeji del río-palmillas,ex-057d,146.500,"11,304",0.3,57.9,0.0,6.8,5.5,6.4,0.6,15.0,2.3,0.3,0.0,4.9,0.0,"4,125,780",7.2,6.7,8.0,7.6,7.8,7.9,9.5,10.9,7.8,8.4,8.6,9.6
212,ixtapaluca,chalco panasonic-méxico,ex-150d,31.900,"17,608",2.1,90.3,0.0,0.9,3.0,2.0,0.1,1.4,0.1,0.0,0.0,0.1,0.0,"6,427,091",8.7,7.8,8.2,8.3,8.4,7.9,8.4,8.2,8.0,8.7,8.5,8.9
213,chalco,méxico-chalco,ex-150d,32.000,"41,468",1.7,89.5,0.0,3.1,2.5,1.7,0.0,1.2,0.2,0.0,0.0,0.1,0.0,"15,135,672",8.4,7.7,8.5,8.1,8.5,8.1,8.1,8.1,8.0,8.7,8.6,9.2
214,san marcos,méxico-río frío,ex-150d,33.300,"32,786",0.4,72.6,0.0,7.4,4.2,5.2,0.2,6.8,0.5,0.1,0.0,2.6,0.0,"11,967,018",8.6,7.7,8.8,8.3,8.1,7.6,8.8,8.9,5.7,8.4,8.9,10.2
215,san marcos bis,méxico-circuito exterior mexiquense,ex-150d,33.300,"6,291",1.6,86.9,0.0,1.2,2.8,2.5,0.2,3.5,0.6,0.0,0.0,0.7,0.0,"2,296,174",8.0,7.5,8.1,7.9,8.3,8.2,8.7,8.9,8.2,8.6,8.5,9.1
216,san martín texmelucan,río frío-puebla,ex-150d,91.000,"49,685",0.5,68.7,0.0,6.8,3.9,4.9,0.3,9.7,1.2,0.2,0.0,3.8,0.0,"18,135,041",8.2,7.4,8.6,8.3,8.3,7.9,9.0,8.4,7.7,8.4,8.2,9.6
217,querétaro,querétaro-celaya,ex-045d,7.000,"14,655",0.2,64.5,0.0,5.7,3.5,5.7,0.4,14.4,1.3,0.3,0.0,4.0,0.0,"5,349,148",9.2,8.1,9.4,9.0,9.0,8.4,9.0,9.0,7.1,7.2,7.1,7.5
218-01,querétaro bis,querétaro-ent. lib. suroeste de querétaro,ex-045d,7.000,"18,148",0.6,69.4,0.0,0.9,5.8,6.0,0.3,13.4,2.2,0.1,0.0,1.3,0.0,"6,623,872",8.2,7.8,8.6,8.4,8.6,7.8,7.7,8.0,8.3,8.8,8.6,9.2
218-02,querétaro bis,ent. lib.,ex-045d,7.000,"3,990",0.2,58.2,0.0,1.7,2.3,3.9,0.3,19.2,2.8,0.4,0.0,11.0,0.0,"1,456,408",8.1,7.3,8.5,8.3,8.4,8.2,8.4,9.1,8.1,8.6,8.6,8.4
219,apaseo,apaseo-celaya,ex-045d,24.000,"9,568",0.3,59.0,0.0,7.0,4.3,5.7,0.6,15.0,2.2,0.3,0.1,5.5,0.0,"3,492,261",8.5,7.6,9.0,8.7,8.7,8.5,10.0,10.1,7.1,7.2,7.1,7.5
220,villagrán,celaya-villagrán,ex-045d,63.000,"1,026",0.4,72.4,0.0,1.3,2.7,7.4,0.6,10.5,2.5,0.1,0.0,2.1,0.0,"374,667",8.3,7.4,9.9,8.9,8.5,7.6,8.3,8.2,7.6,7.9,7.9,9.5
221-01,salamanca,celaya-irapuato,ex-045d,83.250,"11,671",0.2,59.4,0.0,5.1,4.8,6.6,0.4,15.5,1.7,0.3,0.0,6.0,0.0,"4,260,085",8.4,7.2,8.5,8.3,8.2,7.9,8.8,8.7,7.7,8.2,8.6,9.5
221-02,salamanca,celaya-salamanca,ex-045d,83.250,"1,237",0.3,87.4,0.0,1.2,1.7,3.9,0.1,4.2,0.9,0.0,0.0,0.3,0.0,"451,336",8.2,7.1,8.6,7.7,8.1,7.8,8.5,8.2,7.9,8.4,8.7,10.8
221-03,salamanca,salamanca-irapuato,ex-045d,83.250,"1,589",0.6,90.3,0.0,0.8,2.3,2.4,0.1,2.9,0.5,0.0,0.0,0.1,0.0,"579,956",11.2,8.4,9.1,8.4,8.9,8.5,8.6,8.8,7.3,6.2,6.5,8.1
222-01,cerro gordo,celaya-ent. cerro gordo,ex-045d,78.900,"14,562",0.3,61.2,0.0,4.8,4.0,4.9,0.4,16.8,1.8,0.4,0.0,5.4,0.0,"5,315,223",8.0,7.2,8.4,8.1,8.0,7.6,8.5,8.6,7.9,8.7,9.1,9.9
222-02,cerro gordo,ent. cerro gordo-irapuato,ex-045d,78.900,205,0.1,57.5,0.0,3.9,3.8,2.6,0.3,12.8,1.9,0.7,0.0,16.4,0.0,"74,965",9.4,7.3,7.6,6.8,7.3,6.8,7.3,6.9,6.4,7.5,12.3,14.4
222-03,cerro gordo,ent. cerro gordo-salamanca,ex-045d,78.900,139,1.8,93.2,0.0,0.1,2.4,1.6,0.1,0.4,0.3,0.0,0.0,0.1,0.0,"50,663",9.2,8.0,8.9,8.1,8.3,7.6,8.3,7.9,7.5,8.4,7.8,10.0
223,ixtenco,amozoc-ixtenco,ex-140d,1.000,"11,090",0.6,76.9,0.1,7.0,3.4,2.7,0.3,5.5,0.8,0.2,0.0,1.4,1.1,"4,047,765",8.1,7.3,8.7,8.5,8.2,7.2,8.9,8.8,7.5,8.1,8.5,10.2
224,audi,ixtenco-audi,ex-140d,35.600,"2,527",0.2,64.5,0.1,13.5,2.4,1.3,0.3,14.5,0.5,0.7,0.0,1.3,0.7,"922,179",7.5,7.3,8.9,9.0,8.2,7.2,8.9,8.8,7.5,8.1,8.5,10.1
225-01,cuapiaxtla,ixtenco-oriental,ex-140d,40.000,"6,203",0.7,80.6,0.1,5.2,3.4,2.5,0.2,2.8,0.8,0.3,0.0,1.6,1.8,"2,264,154",7.9,6.9,8.8,8.4,8.2,7.9,8.9,8.8,7.5,8.1,8.5,10.1
225-02,cuapiaxtla,ixtenco-cuapiaxtla,ex-140d,40.000,"2,137",0.4,65.5,0.2,5.5,5.3,5.7,0.9,8.5,2.2,0.1,0.0,4.0,1.7,"780,011",5.0,17.2,5.7,5.7,8.2,6.3,8.9,8.8,7.5,8.1,8.5,10.1
225-03,cuapiaxtla,cuapiaxtla-oriental,ex-140d,40.000,"5,195",0.4,69.9,0.2,8.6,4.4,3.0,0.3,4.1,1.9,0.2,0.0,4.9,2.1,"1,895,995",8.1,7.1,8.7,8.4,8.2,7.6,8.9,8.8,7.5,8.1,8.5,10.1
226-01,cantona,oriental-perote,ex-140d,81.000,"6,248",0.7,70.0,0.2,7.1,3.6,3.4,0.3,5.6,2.3,0.4,0.1,5.5,0.8,"2,280,701",8.0,6.9,8.8,8.6,8.2,7.5,8.9,8.8,7.5,8.1,8.5,10.2
226-02,cantona,oriental-cantona,ex-140d,81.000,251,0.7,79.9,0.2,1.0,1.9,0.7,0.1,0.5,0.9,0.0,0.0,0.2,13.9,"91,594",7.7,6.8,8.7,8.4,8.2,8.3,8.9,8.8,7.5,8.1,8.5,10.1
226-03,cantona,cantona-perote,ex-140d,81.000,162,0.9,75.1,0.6,1.5,4.6,4.2,0.1,3.6,1.6,0.1,0.2,4.7,2.8,"59,111",7.8,6.7,9.1,9.1,8.2,7.2,8.9,8.8,7.5,8.1,8.5,10.1
227,perote,libramiento de perote,ex-140d,97.000,"1,938",0.1,33.6,0.2,0.5,10.6,15.3,1.4,18.8,8.0,0.1,0.1,10.4,0.9,"707,271",8.2,7.6,8.3,8.5,8.2,7.2,8.9,8.8,7.5,8.1,8.5,10.2
228-01,matehuala,san luis potosí-saltillo,ex-d,9.600,"12,636",0.1,27.8,0.6,2.3,5.9,3.5,0.6,47.2,3.9,0.4,0.1,7.6,0.0,"4,612,096",8.4,7.2,8.0,8.1,8.0,8.1,9.1,8.8,7.7,8.4,8.5,9.7
228-02,matehuala,san luis potosí-dr. arroyo,ex-d,9.600,50,0.5,75.9,2.5,0.3,14.3,2.0,0.4,2.9,0.5,0.1,0.0,0.6,0.0,"18,081",8.7,7.0,9.4,7.3,7.3,8.1,9.1,8.8,7.7,8.4,8.5,9.7
228-03,matehuala,dr. arroyo-saltillo,ex-d,9.600,57,1.0,75.3,2.0,0.4,11.6,3.1,0.5,2.3,2.2,0.1,0.1,1.4,0.0,"20,710",9.0,7.1,8.2,8.4,7.0,8.1,9.1,8.8,7.7,8.4,8.5,9.7
229-01,atlacomulco,acambay-atlacomulco,ex-m40d,11.300,529,0.3,57.6,0.3,5.6,7.0,4.7,0.6,18.1,2.1,0.2,0.0,1.4,2.1,"193,234",7.8,7.2,8.9,8.6,8.7,7.6,8.2,8.2,7.3,7.8,9.1,10.6
229-02,atlacomulco,jilotepec-atlacomulco,ex-m40d,11.300,177,0.3,68.3,0.2,8.7,8.7,1.9,0.7,2.2,0.5,0.0,0.0,1.3,7.2,"64,780",7.8,7.5,8.5,7.8,8.0,7.9,8.1,8.5,7.9,8.6,9.2,10.2
229-03,atlacomulco,querétaro-atlacomulco,ex-m40d,11.300,"2,401",0.3,52.3,0.1,9.0,4.7,4.2,1.3,17.9,2.3,0.4,0.1,6.8,0.6,"876,471",7.5,7.0,8.7,7.4,7.8,7.7,8.9,8.6,7.8,8.6,9.0,11.0
229-04,atlacomulco,tula ii-atlacomulco,ex-m40d,11.300,43,0.8,91.2,0.6,0.5,2.1,0.8,0.1,0.8,1.7,0.0,0.0,0.1,1.3,"15,714",7.2,6.3,7.8,7.5,7.6,7.1,9.8,8.8,7.4,8.1,10.0,12.4
229-05,atlacomulco,tula i-atlacomulco,ex-m40d,11.300,156,0.4,52.9,0.2,1.9,3.3,8.0,1.4,13.1,7.3,0.3,0.1,10.7,0.4,"57,030",7.1,5.8,9.8,8.7,8.2,8.8,7.9,7.4,7.5,7.9,10.9,10.0
229-06,atlacomulco,atitalaquia-atlacomulco,ex-m40d,11.300,54,0.1,42.9,0.2,0.9,2.3,10.1,0.7,5.3,22.6,0.1,0.1,14.6,0.1,"19,764",7.0,6.6,7.6,8.0,10.2,11.9,9.0,8.1,7.5,7.4,7.9,8.8
229-07,atlacomulco,ajoloapan-atlacomulco,ex-m40d,11.300,10,0.3,85.3,0.6,2.2,6.6,1.3,1.0,1.5,0.3,0.0,0.0,0.3,0.6,"3,550",9.0,6.7,7.9,7.1,9.0,7.6,9.0,7.9,7.2,8.5,8.8,11.3
229-08,atlacomulco,pachuca-atlacomulco,ex-m40d,11.300,185,0.5,81.6,0.3,1.3,4.1,2.4,0.6,4.5,1.3,0.1,0.1,1.3,1.9,"67,646",8.2,6.9,9.0,8.0,8.1,7.5,8.8,8.2,6.8,7.9,8.9,11.7
229-09,atlacomulco,tulancingo-atlacomulco,ex-m40d,11.300,133,0.2,68.6,0.5,1.8,3.9,6.5,1.1,7.7,5.1,0.1,0.0,4.0,0.5,"48,441",8.9,6.9,8.5,8.6,7.8,7.1,9.1,8.8,6.9,7.8,8.7,10.9
229-10,atlacomulco,sahagún-atlacomulco,ex-m40d,11.300,12,0.8,52.0,0.1,1.8,2.7,3.8,6.1,6.7,2.5,0.7,0.0,22.6,0.2,"4,367",7.5,6.4,8.5,7.2,7.4,7.4,8.7,9.3,9.2,8.6,8.3,11.5
229-11,atlacomulco,calpulalpan-atlacomulco,ex-m40d,11.300,19,0.5,64.4,0.5,0.5,7.2,8.2,1.2,10.6,3.3,0.4,0.0,2.6,0.6,"6,811",8.3,6.7,8.3,8.3,8.0,7.7,9.2,9.0,7.9,7.8,7.9,10.9
229-12,atlacomulco,sanctórum-atlacomulco,ex-m40d,11.300,112,0.5,64.1,0.4,1.4,5.3,7.1,1.3,8.5,5.4,0.6,0.1,5.0,0.3,"40,962",9.1,6.8,8.2,8.6,7.4,7.0,9.2,9.1,7.2,8.1,8.1,11.2
229-13,atlacomulco,san martín texmelucan-atlacomulco,ex-m40d,11.300,488,0.5,54.6,0.4,3.9,4.7,4.8,1.0,15.1,2.9,0.8,0.1,10.6,0.6,"178,159",9.1,7.0,8.6,8.9,7.9,7.8,9.0,8.7,7.1,7.6,7.9,10.4
230-01,acambay,atlacomulco-acambay,ex-m40d,13.000,635,0.4,60.2,0.3,5.8,7.1,4.9,0.8,15.2,1.6,0.2,0.0,1.1,2.4,"231,742",7.8,6.8,8.1,7.6,8.7,7.8,8.1,8.4,7.4,8.4,9.5,11.4
