index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,13671,0.5,63.8,1.0,4.4,3.8,3.2,0.8,15.3,1.7,0.3,0.0,4.6,0.6,4989734,8.4,7.7,8.8,9.0,8.3,7.9,8.5,8.1,7.4,8.0,8.1,9.8
002,puente pánuco,alazán-canoas,mex-127,172.1,5556,4.8,80.6,0.6,5.0,2.9,1.6,0.2,1.7,1.1,0.0,0.0,0.9,0.6,2027787,8.8,7.5,8.3,8.4,8.4,8.1,8.7,8.6,7.8,8.1,8.0,9.3
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,11839,8.8,71.2,0.2,9.0,2.6,2.5,0.0,1.4,1.3,0.0,0.0,3.0,0.0,4321294,8.3,7.4,8.6,8.2,8.6,8.5,8.7,8.8,8.2,7.9,8.0,8.8
004,puente culiacán,culiacán-el limón,mex-015,22.0,8940,1.2,86.8,0.9,2.7,2.8,1.5,0.2,2.7,0.5,0.0,0.0,0.2,0.5,3263009,7.3,7.6,8.7,8.5,8.6,8.3,8.5,8.3,7.7,8.5,8.4,9.6
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,5232,6.8,77.8,0.6,5.0,3.0,2.9,0.1,1.7,0.7,0.0,0.0,0.3,1.1,1909777,8.5,7.4,8.1,9.3,8.5,8.0,9.0,8.8,7.6,7.6,7.6,9.6
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,3121,0.3,99.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139331,8.5,8.4,9.2,9.3,8.2,6.8,7.3,8.4,8.8,8.4,8.0,8.7
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,2485,14.5,60.5,4.3,4.3,5.4,5.4,0.2,3.3,0.6,0.0,0.0,1.1,0.4,907003,9.6,8.1,8.9,8.7,9.1,8.1,8.1,8.0,7.2,7.5,7.4,9.3
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,6975,11.0,67.9,0.8,5.4,3.6,2.4,0.2,2.5,0.5,0.0,0.0,5.2,0.5,2546048,8.4,7.7,8.6,8.4,8.5,8.2,8.4,8.4,7.8,8.1,8.1,9.4
009,puente inter. camargo,camargo-río grande,mex-002,0.0,1234,0.1,89.7,0.8,0.0,0.1,0.3,0.0,3.8,0.0,0.1,0.0,5.1,0.0,450364,8.1,7.6,8.4,8.3,8.4,7.6,8.5,8.2,8.1,8.7,8.8,9.3
010,puente nautla,nautla-cardel,mex-180,0.7,3231,4.7,73.0,1.0,3.7,4.6,3.2,0.4,6.2,1.2,0.0,0.0,1.5,0.5,1179243,8.4,7.3,8.4,9.3,8.9,8.6,9.3,9.5,8.4,7.0,6.8,8.1
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,24355,0.3,97.9,0.3,0.3,0.7,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8889711,6.7,6.8,7.4,7.8,8.6,8.8,9.3,9.0,9.4,9.1,8.6,8.5
012,rosarito,rosarito-la misión,mex-001d,35.427,14286,0.7,92.5,0.0,1.2,1.8,0.4,0.1,2.6,0.2,0.0,0.0,0.5,0.0,5214312,7.2,7.0,7.8,8.8,8.5,8.7,10.2,9.2,8.8,8.3,7.7,7.8
013,nodo popotla,la misión-corredor 2000,mex-001d,38.6,3088,0.2,61.7,0.0,0.2,4.3,2.3,0.5,22.4,1.1,0.2,0.1,7.0,0.0,1127042,6.6,6.6,7.3,9.1,8.7,8.9,10.8,9.9,9.2,8.2,7.3,7.4
014,ensenada,la misión-ensenada,mex-001d,98.599,15394,0.4,84.2,0.0,2.1,2.7,1.1,0.2,7.0,0.4,0.0,0.0,1.9,0.0,5618644,7.4,7.0,7.9,8.7,8.5,8.7,9.8,9.1,8.7,8.4,7.9,7.9
015,puente inter. miguel alemán,cd. alemán-roma,mex-002,0.0,1975,0.1,93.9,0.5,0.1,0.2,0.2,0.1,4.9,0.0,0.0,0.0,0.0,0.0,720858,8.1,7.6,8.4,8.2,8.6,7.7,7.9,8.3,8.5,8.9,8.7,9.1
016,puente inter. reynosa,reynosa-hidalgo,mex-040,0.0,6937,0.1,99.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531908,8.6,7.9,8.7,8.6,7.8,7.4,7.1,8.1,8.1,9.1,8.9,9.7
