index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
017,puente grijalva,villahermosa-aquiles serdán,mex-186,17.6,17853,3.7,76.4,0.6,2.7,3.2,2.2,0.4,4.4,2.2,0.1,0.0,3.5,0.6,6516350,8.2,7.3,8.4,8.4,8.5,8.0,8.3,8.4,7.7,8.6,8.5,9.7
018,puente usumacinta,ent. emiliano zapata-san marcos,mex-186,145.2,5455,7.2,55.0,0.9,3.0,3.3,4.6,0.8,10.6,3.8,0.5,0.1,9.8,0.4,1990971,8.1,7.0,8.0,8.6,8.3,8.1,8.9,9.2,8.1,8.0,8.2,9.5
019,puente cadereyta,monterrey-reynosa,mex-040,30.5,6068,2.1,75.0,0.4,0.2,5.2,3.2,0.6,5.8,2.4,0.1,0.1,2.8,2.1,2214913,7.9,7.3,8.2,8.2,8.7,8.6,8.5,8.5,8.3,8.4,8.1,9.3
020-01,amozoc,puebla-acatzingo,mex-150d,141.713,31924,0.6,65.9,0.0,4.5,5.1,5.2,0.5,9.9,1.8,0.2,0.1,6.2,0.0,11652141,8.0,7.3,8.3,8.7,8.3,8.3,8.8,8.7,7.9,8.4,8.0,9.3
020-02,amozoc,puebla-amozoc,mex-150d,141.713,7041,1.0,86.6,0.0,4.7,2.8,2.8,0.1,1.2,0.5,0.0,0.0,0.3,0.0,2570084,8.0,7.0,8.1,7.9,8.2,8.4,8.6,8.5,7.6,9.3,8.9,9.5
020-03,amozoc,puebla-ent. amozoc,mex-150d,137.0,11723,0.6,74.4,0.0,5.2,4.4,3.6,0.6,7.5,0.8,0.3,0.0,2.6,0.0,4278767,7.8,7.0,8.0,8.1,8.0,7.7,8.4,8.7,7.7,8.3,11.2,9.1
021-01,esperanza,acatzingo-cd. mendoza,mex-150d,217.5,14414,0.5,47.6,0.0,4.8,5.1,7.5,0.7,17.8,2.5,0.5,0.2,12.8,0.0,5261270,8.5,7.1,8.2,8.9,8.2,7.9,8.7,8.6,7.6,8.2,8.2,9.9
021-02,esperanza,acatzingo-esperanza,mex-150d,217.5,1362,0.4,83.1,0.0,1.9,6.8,4.2,0.2,1.9,0.5,0.0,0.0,1.0,0.0,497030,8.0,7.2,7.9,8.0,8.3,8.7,8.8,8.6,7.2,9.5,8.7,9.1
021-03,esperanza,esperanza-cd. mendoza,mex-150d,217.5,1992,0.6,50.5,0.0,1.5,5.4,10.7,1.5,19.5,4.8,0.2,0.1,5.2,0.0,726998,8.7,7.6,8.2,8.5,8.2,7.8,8.8,8.7,7.6,8.3,8.4,9.2
022,puente la piedad,irapuato-guadalajara,mex-090,89.1,3529,2.0,68.4,0.5,4.6,6.9,6.0,0.6,9.0,1.6,0.0,0.0,0.2,0.2,1288017,8.8,7.7,8.5,7.9,8.4,8.2,8.4,8.0,7.7,8.2,8.6,9.6
023,puente tecolutla,veracruz-poza rica,mex-180,52.8,4321,11.3,71.4,0.4,3.4,3.5,2.4,0.3,4.7,1.0,0.0,0.0,1.0,0.6,1577177,8.2,7.2,8.5,9.3,8.7,8.3,9.4,9.2,8.3,7.2,7.2,8.5
024,puente inter. las flores,nuevo progreso-progreso,mex-002,0.0,1690,0.1,91.7,0.3,0.0,0.2,0.7,0.1,1.8,1.1,0.1,0.0,3.9,0.0,616834,8.5,7.9,8.8,8.1,7.8,8.1,8.6,7.8,7.9,8.5,8.4,9.6
025,puente san juan,reynosa-nuevo laredo,mex-002,64.0,2467,0.3,66.9,1.5,1.0,4.1,2.3,0.4,6.7,1.2,0.1,0.1,12.2,3.2,900402,8.4,8.0,8.9,8.3,8.4,8.4,8.5,8.7,8.6,8.2,7.7,7.9
026,puente inter. ojinaga,ojinaga-presidio,mex-016,0.0,2016,0.1,94.6,2.3,0.2,1.2,0.2,0.3,1.0,0.0,0.0,0.1,0.0,0.0,735873,8.4,7.0,8.3,8.3,8.5,8.2,8.7,8.1,7.9,8.7,8.8,9.1
027,puente inter. paso del norte,cd. juárez-el paso,mex-045,0.0,8091,2.1,96.7,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2953045,7.5,7.4,8.6,8.8,8.6,8.2,8.9,8.2,7.7,8.6,8.8,8.7
028,compostela,chapalilla-compostela,mex-d,31.5,6600,1.5,79.0,0.5,6.3,3.4,2.8,0.3,3.6,1.5,0.0,0.0,0.6,0.5,2409153,7.4,6.7,8.0,10.7,8.8,8.8,9.9,9.4,7.1,7.3,7.4,8.5
029,puente inter. rodolfo robles,cd. hidalgo-tecún umán,mex,27.5,1872,73.9,11.6,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,683237,7.6,7.3,8.0,7.4,7.8,7.8,8.4,8.5,8.2,8.9,9.3,10.8
030,puente inter. piedras negras,piedras negras-eagle pass,mex-057,0.0,3331,0.1,99.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215937,8.7,7.9,8.7,8.9,9.1,8.3,8.8,9.1,5.7,8.9,7.8,8.1
031,puente tlacotalpan,alvarado-tlacotalpan,mex-175,1.55,1658,9.8,80.7,1.0,2.8,2.3,1.9,0.1,0.7,0.1,0.0,0.0,0.0,0.6,605326,8.8,8.6,8.2,8.8,8.3,7.9,8.6,8.5,7.4,7.8,7.7,9.4
032,puente inter. acuña,cd. acuña-del río,mex-002,0.0,4878,0.3,94.3,0.7,0.0,1.2,0.6,0.1,2.8,0.0,0.0,0.0,0.0,0.0,1780627,8.0,7.4,8.3,8.1,8.4,8.4,8.5,8.6,8.2,8.8,8.6,8.7
033,puente inter. laredo las américas,nuevo laredo-laredo,mex-085,0.0,2479,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904921,7.3,6.4,7.0,7.3,7.8,6.2,9.0,11.8,12.0,9.6,8.3,7.3
034,puente inter. juárez-lincoln,nuevo laredo-laredo,mex-085,0.0,8401,0.5,97.6,0.7,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3066475,8.4,7.3,8.1,8.3,8.5,8.3,8.3,8.6,8.4,8.5,8.3,9.0
035,puente antonio dovalí jaime,cosoleacaque-nuevo teapa,mex-145d,6.5,14257,1.3,46.8,0.4,2.5,5.0,5.9,1.2,20.1,4.1,0.4,0.2,11.1,1.0,5203838,8.4,7.3,8.4,8.6,8.4,8.2,8.8,9.0,8.0,8.0,7.7,9.2
036,puente antonio dovalí jaime bis,puente dovalí jaime-nuevo teapa,mex-145d,6.5,634,9.0,80.0,0.1,0.2,3.0,0.6,0.2,5.2,0.3,0.0,0.0,0.1,1.3,231240,8.3,7.1,8.9,7.7,9.0,9.4,8.5,8.3,7.0,8.8,7.9,9.1
037,puente tampico,tampico el alto-tampico,mex-180,191.8,10615,1.0,90.3,0.4,3.2,2.2,1.1,0.1,0.6,0.1,0.0,0.0,0.5,0.5,3874333,7.9,9.0,10.2,10.9,7.7,6.8,7.9,7.7,6.5,7.5,7.9,10.0
038,tehuacán,cuacnopalan-tehuacán,mex-135d,41.048,11619,0.7,72.5,0.0,4.6,5.7,5.3,0.5,6.1,1.3,0.2,0.2,2.9,0.0,4240804,8.6,7.0,8.0,8.5,8.0,7.6,8.8,8.5,7.5,8.5,8.7,10.3
039,miahuatlán,tehuacán-miahuatlán,mex-135d,71.415,5973,0.9,69.2,0.0,6.4,4.9,6.4,0.5,5.9,1.7,0.3,0.1,3.7,0.0,2180182,8.6,6.9,7.7,9.0,7.7,7.0,9.1,8.7,7.1,8.1,8.8,11.3
040-01,coixtlahuaca,miahuatlán-coixtlahuaca,mex-135d,141.3,485,1.4,81.8,0.0,5.5,3.8,2.8,0.1,2.7,1.8,0.0,0.0,0.1,0.0,176888,8.7,6.8,8.2,8.6,8.9,7.7,9.7,9.2,7.2,7.8,7.5,9.7
040-02,coixtlahuaca,miahuatlán-nochixtlán,mex-135d,141.3,5055,0.8,66.3,0.0,7.1,5.1,7.1,0.5,6.6,1.7,0.3,0.1,4.4,0.0,1845064,8.6,6.9,7.7,9.0,7.6,6.9,9.1,8.8,7.0,8.1,8.9,11.4
041-01,huitzo,nochixtlan-oaxaca,mex-135d,217.01,7117,1.3,76.6,0.0,4.5,4.3,4.6,0.3,4.3,0.9,0.2,0.1,2.9,0.0,2597619,8.8,6.9,7.8,8.7,7.8,7.2,9.0,8.7,7.4,8.2,8.6,10.9
041-02,huitzo,nochixtlan-huitzo,mex-135d,217.01,454,2.9,76.6,0.0,1.7,6.9,5.3,0.2,4.1,1.9,0.0,0.0,0.4,0.0,165545,8.8,7.2,7.8,8.8,7.9,7.4,9.2,8.8,7.5,8.3,8.3,10.0
042,huitzo bis,huitzo-oaxaca,mex-135d,217.01,1303,2.9,94.7,0.0,0.4,1.3,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,475565,8.1,6.8,7.6,7.8,8.0,7.6,8.9,8.4,7.0,9.2,9.6,11.0
043,centinela,centinela-rumorosa,mex-002d,61.7,13297,0.5,70.1,1.2,2.5,4.3,0.8,12.8,1.1,0.2,0.1,3.4,0.0,3.0,4853257,7.2,7.1,8.3,8.9,8.6,8.5,10.0,9.0,8.1,8.4,7.8,8.1
044-01,el hongo,rumorosa-tecate,mex-002d,92.36,9184,0.2,72.3,0.0,2.6,3.8,1.7,0.7,12.9,0.9,0.3,0.1,4.5,0.0,3352112,7.7,6.5,8.0,8.8,8.5,8.4,8.4,9.1,9.5,8.5,8.1,8.5
044-02,el hongo,el hongo-tecate,mex-002d,92.36,1165,0.2,93.1,0.0,0.5,1.8,0.8,0.2,2.6,0.5,0.0,0.0,0.3,0.0,425059,8.1,7.3,7.4,8.5,8.3,8.4,8.7,9.2,9.6,8.4,7.7,8.4
044-03,el hongo,rumorosa-el hongo,mex-002d,92.36,184,0.3,93.0,0.0,0.7,2.1,0.7,0.2,2.3,0.3,0.0,0.0,0.4,0.0,67080,6.5,6.7,7.6,10.6,8.2,9.9,8.9,9.4,9.9,8.3,7.4,6.6
045-01,tijuana,tecate-tijuana,mex-002d,147.6,10963,0.4,74.5,0.3,1.6,4.0,1.8,0.7,11.3,0.8,0.1,0.1,3.2,1.2,4001608,7.8,7.0,8.5,8.7,8.7,8.4,9.0,8.5,8.3,8.4,8.3,8.4
045-02,tijuana,ent. tecate-paso del águila aux. 1,mex-002d,130.5,1842,0.4,74.5,0.6,0.5,3.7,2.5,1.1,12.9,1.8,0.2,0.0,1.1,0.7,672358,7.0,6.6,7.3,8.7,8.7,8.6,9.9,9.2,8.8,8.6,7.9,8.7
045-03,tijuana,ent. esperanza-ent. sandoval aux. 2,mex-002d,122.8,4618,0.5,87.6,0.5,1.3,2.5,0.9,0.3,4.3,0.4,0.0,0.0,0.9,0.8,1685662,7.7,6.8,7.9,8.6,8.5,8.6,9.6,9.1,8.7,8.6,7.8,8.1
045-04,tijuana,paso del águila-tijuana,mex-002d,130.5,465,0.0,50.0,0.1,0.0,1.3,1.8,0.0,46.5,0.0,0.0,0.0,0.3,0.0,169761,7.2,7.1,8.2,8.1,9.4,9.4,8.6,9.5,9.0,7.5,8.5,7.5
045-05,tijuana,ent. planta dart-tijuana,mex-002d,137.8,144,1.0,88.0,0.1,0.0,0.5,0.8,1.7,7.8,0.0,0.0,0.0,0.1,0.0,52663,9.8,8.7,9.3,6.6,7.6,9.0,9.0,8.9,8.0,8.4,8.0,6.7
046,puente inter. shuchiate ii ing. luis cabrer,hidalgo-tecún umán,mex,0.0,530,0.0,7.9,0.3,0.8,5.1,5.5,0.5,64.6,11.7,0.1,0.0,3.5,0.0,193315,7.3,7.5,9.3,7.4,8.8,8.8,8.5,8.7,8.3,8.7,7.1,9.6
047-01,aeropuerto los cabos,san josé del cabo-aeropuerto los cabos,mex-001d,105.1,2058,0.1,99.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751157,9.3,8.2,9.2,8.6,8.3,7.9,8.4,7.9,6.8,8.1,8.3,9.0
047-02,aeropuerto los cabos,cabo san lucas-aeropuerto los cabos,mex-001d,105.1,1110,0.2,99.0,0.0,0.1,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,404975,8.5,8.0,9.3,8.2,7.7,7.5,8.1,7.6,6.5,8.6,9.6,10.4
047-03,aeropuerto los cabos,el mangle-aeropuerto los cabos,mex-001d,105.1,1188,0.1,93.8,0.0,0.5,1.5,0.6,0.1,1.1,0.8,0.1,0.0,1.4,0.0,433547,7.8,7.8,8.9,8.0,7.4,7.2,7.7,7.3,6.3,9.1,10.6,11.9
048-01,san josé del cabo,aeropuerto los cabos-san josé del cabo,mex-001d,110.21,2885,0.1,99.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052846,8.7,8.2,9.3,8.1,8.2,8.0,8.2,7.3,6.8,8.8,9.0,9.4
048-02,san josé del cabo,cabo san lucas-san josé del cabo,mex-001d,110.21,325,0.5,97.2,0.0,1.5,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118658,7.2,7.8,10.0,7.2,7.4,7.4,7.6,6.8,6.3,9.3,11.5,11.5
048-03,san josé del cabo,el mangle-san josé del cabo,mex-001d,110.21,967,0.3,94.3,0.0,0.3,2.5,0.7,0.1,1.1,0.5,0.0,0.0,0.2,0.0,352926,7.5,7.6,8.8,7.8,8.0,8.0,7.8,7.0,6.5,9.0,10.9,11.1
049,zacatecas,ent. cuauhtémoc-ent. osiris,mex-045d,97.8,8735,0.3,47.8,0.9,3.8,5.1,4.5,1.3,21.7,4.1,0.7,0.1,9.1,0.6,3188404,8.4,7.7,8.7,9.1,9.2,8.5,9.4,7.4,6.5,7.9,8.2,9.0
050,chiapa de corzo,tuxtla gutiérrez-san cristóbal de las casas,mex-190d,1.3,10625,1.0,86.3,0.1,1.5,4.3,2.0,0.2,1.8,0.9,0.0,0.0,0.8,1.1,3877995,8.7,7.8,8.5,8.9,8.0,8.5,9.3,8.4,7.6,7.7,7.7,8.9
051,tehuantepec,tehuantepec-salina cruz,mex-185d,1.8,1223,3.5,75.4,0.0,2.3,4.1,4.4,0.4,4.5,3.2,0.1,0.0,2.1,0.0,446273,9.6,6.8,8.0,10.4,7.8,6.9,9.3,9.0,7.0,7.4,7.8,10.0
052-01,ixtepec,ixtepec-la ventosa,mex-185d,47.5,631,1.8,81.1,0.0,0.9,9.2,2.2,0.5,1.9,1.2,0.0,0.0,1.2,0.0,230348,8.3,7.0,8.3,9.8,9.0,7.5,8.7,8.8,7.4,7.8,7.9,9.5
052-02,ixtepec,ixtepec-tehuantepec,mex-185d,47.5,1087,3.9,88.7,0.0,0.4,5.4,0.9,0.1,0.5,0.1,0.0,0.0,0.0,0.0,396682,9.1,6.8,9.2,9.8,8.0,7.4,8.8,8.9,7.4,7.9,7.4,9.3
052-03,ixtepec,tehuantepec-la ventosa,mex-185d,47.5,1640,0.8,58.3,0.0,1.5,5.2,5.8,0.7,7.7,4.8,0.4,0.3,14.5,0.0,598551,9.1,6.9,8.5,9.3,7.9,6.8,8.3,8.5,7.4,8.4,8.5,10.4
053,acatlán de juárez,acatlán-atoyac,mex-054d,0.6,15837,0.4,64.2,0.5,2.2,4.2,4.0,1.3,8.3,4.0,0.8,0.4,9.7,0.0,5780443,8.4,7.5,8.2,8.6,8.3,8.0,8.5,8.4,7.5,8.3,8.5,9.8
054,sayula,atoyac-cd. guzmán,mex-054d,58.3,16366,0.4,60.5,1.2,2.0,4.2,4.7,1.7,9.6,5.0,0.7,0.5,9.5,0.0,5973757,8.3,7.6,8.2,8.6,8.5,8.1,8.4,8.4,7.5,8.3,8.4,9.7
055,sayula remota,sayula-cd. guzmán,mex-054d,64.6,2159,0.8,78.0,0.4,1.3,7.3,5.6,0.6,3.9,1.5,0.0,0.0,0.5,0.1,787956,8.2,8.1,8.7,8.5,8.6,7.9,7.6,7.5,7.1,9.1,8.8,9.9
056,san marcos,cd. guzmán-el trapiche,mex-054d,122.5,13373,0.5,56.9,0.4,2.1,4.3,4.4,1.6,11.4,5.3,0.8,0.4,11.8,0.1,4881263,8.3,7.6,8.2,9.0,8.5,8.1,8.4,8.5,7.3,7.8,8.4,9.9
057,ent. trapichillo,tepic-ent. trapichillo,mex-015d,6.3,2832,2.4,91.7,0.2,0.3,1.9,1.3,0.0,0.5,0.1,0.0,0.0,0.0,1.6,1033769,7.5,6.6,8.0,10.4,8.4,8.3,8.5,8.0,7.3,8.1,8.5,10.4
058,trapichillo,tepic-san blas,mex-015d,8.65,10041,0.9,55.4,0.3,6.8,3.8,4.3,1.4,17.0,2.1,0.3,0.0,4.2,3.5,3664812,8.6,7.1,8.1,8.7,8.3,8.1,8.5,8.3,7.4,8.1,8.5,10.3
059-01,yago,ent. san blas-yago,mex-015d,42.31,498,1.5,72.8,0.4,3.4,4.4,2.7,0.3,3.0,0.5,0.1,0.0,0.8,10.1,181839,8.8,7.5,8.4,8.5,8.3,7.9,8.4,8.2,7.5,7.4,8.1,11.0
059-02,yago,yago-est. ruíz,mex-015d,42.31,128,6.7,34.1,0.5,0.8,3.0,6.1,0.5,4.7,0.9,0.0,0.0,1.0,41.7,46863,9.2,7.6,7.8,8.6,7.5,8.3,9.2,8.6,7.3,7.6,8.1,10.2
060-01,estación ruíz,yago-rosa morada,mex-015d,52.81,5214,0.7,40.6,0.4,6.3,3.8,5.2,2.1,27.7,2.8,0.7,0.1,7.8,1.8,1903198,8.5,7.2,8.1,9.0,8.0,7.9,8.7,8.6,7.5,7.8,8.2,10.5
060-02,estación ruíz,ruiz-rosa morada,mex-015d,52.81,396,3.0,67.6,0.3,5.0,4.8,4.8,0.5,3.2,2.6,0.0,0.0,0.3,7.9,144568,9.3,7.3,8.2,8.3,8.4,8.1,8.4,8.6,8.1,7.4,7.9,10.0
060-03,estación ruíz,yago-ruíz,mex-015d,52.81,512,3.6,62.3,0.4,4.1,4.7,5.5,0.7,3.4,2.1,0.0,0.0,0.4,12.8,186911,9.3,7.0,8.0,7.9,8.3,8.0,8.7,8.5,7.8,7.9,8.3,10.3
061-01,acaponeta,acaponeta-escuinapa,mex-015d,73.4,271,0.6,51.0,0.3,7.4,6.6,6.8,0.8,6.6,2.0,0.1,0.0,4.0,13.8,99052,5.7,5.4,6.4,10.7,9.7,9.3,9.2,8.9,7.9,7.4,9.2,10.2
061-02,acaponeta,rosa morada-escuinapa,mex-015d,73.4,4400,0.7,36.9,0.4,6.1,4.0,5.0,2.3,31.1,2.6,0.7,0.1,9.0,1.1,1606045,8.5,7.3,8.2,8.9,7.9,7.9,8.9,8.7,7.5,7.8,8.2,10.2
061-03,acaponeta,rosa morada-acaponeta,mex-015d,73.4,347,0.7,55.9,0.4,4.9,3.9,4.8,0.4,4.6,1.1,0.0,0.0,2.1,21.2,126608,12.0,8.9,9.0,8.9,7.5,7.2,7.3,7.0,6.3,6.5,7.7,11.7
062-01,rosario,escuinapa-villa unión,mex-015d,199.486,5084,0.7,37.8,0.4,6.5,3.8,4.6,2.1,30.1,2.9,0.6,0.1,8.4,2.0,1855679,8.6,7.3,8.2,8.8,8.0,7.9,8.8,8.6,7.4,7.8,8.1,10.5
062-02,rosario,escuinapa-rosario,mex-015d,199.486,279,0.7,57.4,0.4,16.9,5.5,5.2,0.7,5.0,0.9,0.0,0.0,0.6,6.7,101685,8.6,7.4,8.2,8.8,8.4,8.3,9.8,8.8,8.0,7.2,8.1,8.4
062-03,rosario,rosario-villa uníón,mex-015d,199.486,667,0.5,56.4,0.2,21.1,4.0,3.0,0.5,4.5,0.4,0.0,0.1,0.5,8.8,243613,8.5,7.2,7.8,8.3,8.5,8.4,9.2,9.0,8.2,8.4,8.1,8.4
063,villa ahumada,el sueco-villa ahumada,mex-045,219.0,8258,0.2,62.3,2.4,3.7,3.2,1.6,1.1,19.6,1.4,0.4,0.1,3.2,0.8,3014124,8.2,6.7,7.7,8.4,7.8,7.8,9.5,8.8,7.5,8.3,8.6,10.7
064,santa fe,constituyentes-santa fe,mex-015d,17.626,19608,1.4,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7156801,8.0,7.8,8.6,7.0,8.5,8.5,7.5,8.8,8.7,9.3,9.0,8.3
065,contadero,constituyentes-contadero,mex-015d,23.43,2570,0.7,94.9,0.2,0.3,2.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.9,937962,7.4,7.7,8.5,6.3,7.6,8.8,6.6,7.9,9.8,10.2,10.2,9.0
066-01,la venta,constituyentes-la marquesa,mex-015d,24.0,46787,0.8,89.1,0.1,4.6,2.1,0.8,0.1,1.2,0.1,0.0,0.0,0.4,0.7,17077152,7.9,7.4,8.2,7.9,8.2,8.2,8.3,8.7,8.3,9.1,8.6,9.2
066-02,la venta,constituyentes-la venta,mex-015d,24.0,2306,0.9,94.1,0.1,1.0,2.1,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.7,841723,7.8,7.5,8.4,7.0,8.1,9.0,8.2,8.9,9.1,8.9,8.9,8.2
066-03,la venta,la  venta-la marquesa,mex-015d,24.0,15546,0.7,76.9,0.1,1.2,5.1,2.9,0.4,8.9,0.6,0.0,0.0,1.7,1.5,5674124,8.4,7.5,8.5,7.8,8.5,8.2,8.3,8.7,8.2,8.7,8.5,8.7
067,central de abastos,cuernavaca-central de abastos,mex-095d,102.0,18673,6.4,90.2,0.0,0.6,1.7,0.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0,6815766,8.2,7.6,8.4,7.9,8.3,8.2,8.3,8.4,8.2,9.0,8.5,9.0
068,aeropuerto,cuernavaca-aereopuerto,mex-095d,104.85,16902,6.4,88.9,0.0,0.7,1.2,0.6,0.1,0.9,0.8,0.0,0.0,0.4,0.0,6169051,8.2,7.6,8.5,8.4,8.4,8.1,8.6,8.4,8.1,8.6,8.3,8.8
069,xochitepec,cuernavaca-xochitepec,mex-095d,107.9,3891,2.4,91.7,0.0,1.2,3.6,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1420121,8.5,7.7,8.7,8.2,8.1,7.7,8.0,7.8,7.9,8.8,8.7,9.9
070,ing. francisco velasco durán,cuernavaca-puente de ixtla,mex-095d,123.0,16677,1.6,83.4,0.0,5.3,2.7,2.7,0.4,2.3,0.8,0.0,0.0,0.8,0.0,6087248,8.9,7.6,8.4,10.4,8.2,7.2,8.7,8.1,6.5,7.3,8.0,10.7
071-01,alpuyeca,cuernavaca-alpuyeca,mex-095d,123.0,4252,2.0,84.3,0.0,5.0,4.0,2.3,0.2,1.3,0.8,0.0,0.0,0.1,0.0,1552095,8.6,7.7,8.6,9.2,8.0,7.7,8.4,8.0,7.5,8.4,8.3,9.6
071-02,alpuyeca,alpuyeca-puente de ixtla,mex-095d,123.0,193,1.9,91.3,0.0,0.5,2.4,3.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,70320,7.7,7.8,8.8,9.2,8.3,7.8,8.4,7.9,7.5,8.6,8.4,9.6
