"stretch_id","motorbike","car","car_axle","bus_2_axle","bus_3_axle","bus_4_axle","truck_2_axle","truck_3_axle","truck_4_axle","truck_5_axle","truck_6_axle","truck_7_axle","truck_8_axle","truck_9_axle","load_axle","truck_10_axle","toll_ref","motorbike_axle","car_rush_hour","car_evening_hour","pedestrian","bicycle","car_rush_hour_2","car_evening_hour_2","car_morning_night_hour_2"
1,12,24,12,43,43,43,42,42,69,69,105,105,105,105,22,,"pase",,,,,,,,
2,12,24,12,43,43,43,42,42,69,69,105,105,105,99,20,,"pase",,,,,,,,
3,75,151,75,292,292,292,279,279,575,575,787,787,787,787,140,,"pase",,,,,,,,
4,24,47,24,115,115,115,108,108,218,218,306,306,306,306,54,,"pase",,,,,,,,
6,29,58,29,91,91,91,91,91,91,125,125,175,175,175,45,,"pase",,,,,,,,
7,44,88,44,170,170,170,202,202,202,310,310,414,414,414,,,"pase",,,,,,,,
1440,22,44,22,98,98,98,98,98,98,157,157,206,206,206,,,"pase",,,,,,,,
8,110,221,110,441,441,441,441,441,441,722,722,882,882,882,202,,"pase",,,,,,,,
9,59,118,59,235,235,235,235,235,235,385,385,470,470,470,108,,"pase",,,,,,,,
10,51,103,51,206,206,206,206,206,206,337,337,412,412,412,94,,"pase",,,,,,,,
11,40,81,41,165,165,165,157,157,301,301,401,401,401,401,79,,"pase",,,,,,,,
12,20,42,22,81,81,81,79,79,150,150,211,211,211,211,40,,"pase",,,,,,,,
17,78,156,79,341,341,341,322,322,622,622,906,906,906,906,162,,"pase",,,,,,,,
18,40,81,41,171,171,171,170,170,311,311,454,454,454,454,85,,"pase",,,,,,,,
19,40,81,41,171,171,171,170,170,311,311,454,454,454,454,85,,"pase",,,,,,,,
1378,18,37,18,93,93,93,77,77,150,150,202,202,202,202,39,,"pase",,,,,,,,
1379,8,16,9,50,50,50,47,47,95,95,115,115,115,115,24,,"pase",,,,,,,,
20,64,127,64,174,174,174,164,164,164,231,231,243,243,243,82,,"pase",,,,,,,,
22,23,45,23,53,53,53,52,52,52,77,77,75,75,75,26,,"pase",,,,,,,,
21,43,87,44,121,121,121,111,111,111,154,154,151,151,151,56,,"pase",,,,,,,,
23,59,120,60,188,188,188,185,185,185,240,240,280,280,280,93,,"pase",,,,,,,,
24,49,97,49,153,153,153,151,151,151,204,204,231,231,231,75,,"pase",,,,,,,,
25,10,19,10,35,35,35,32,32,32,39,39,44,44,44,16,,"pase",,,,,,,,
26,25,50,25,115,115,115,114,114,142,142,222,222,222,222,57,,"pase",,,,,,,,
27,17,36,18,60,60,60,59,59,81,81,122,122,122,122,30,,"pase",,,,,,,,
28,43,86,43,181,181,181,180,180,221,221,308,308,308,308,91,,"pase",,,,,,,,
29,20,42,22,92,92,92,88,88,107,107,153,153,153,153,44,,"pase",,,,,,,,
30,50,100,51,229,229,229,228,228,267,267,415,415,415,415,114,,"pase",,,,,,,,
31,42,85,43,171,171,171,174,174,221,221,275,275,275,275,87,,"pase",,,,,,,,
