"stretch_id","motorbike","car","car_axle","bus_2_axle","bus_3_axle","bus_4_axle","truck_2_axle","truck_3_axle","truck_4_axle","truck_5_axle","truck_6_axle","truck_7_axle","truck_8_axle","truck_9_axle","load_axle","truck_10_axle","toll_ref","motorbike_axle","car_rush_hour","car_evening_hour","pedestrian","bicycle","car_rush_hour_2","car_evening_hour_2","car_morning_night_hour_2"
32,16,32,16,54,54,54,53,53,77,77,109,109,109,109,27,,"pase",,,,,,,,
35,127,254,127,381,381,381,319,319,319,468,468,540,540,540,160,,"pase",,,,,,,,
36,105,210,106,301,301,301,302,302,302,378,378,377,377,377,151,,"pase",,,,,,,,
37,22,43,22,81,81,81,79,79,79,88,88,83,83,83,40,,"pase",,,,,,,,
38,118,236,119,345,345,345,293,293,293,454,454,498,498,498,147,,"pase",,,,,,,,
39,77,153,77,211,211,211,206,206,206,267,267,256,256,256,104,,"pase",,,,,,,,
40,43,87,44,135,135,135,134,134,134,187,187,166,166,166,67,,"pase",,,,,,,,
41,22,45,22,79,79,79,79,79,161,161,233,233,233,233,40,,"pase",,,,,,,,
42,48,96,48,193,193,193,193,193,193,304,304,361,361,361,96,,"pase",,,,,,,,
43,41,82,41,165,165,165,165,165,165,260,260,308,308,308,82,,"pase",,,,,,,,
44,41,82,41,165,165,165,165,165,165,260,260,308,308,308,82,,"pase",,,,,,,,
45,22,43,22,85,85,85,81,81,121,121,150,150,150,150,41,,"pase",,,,,,,,
46,43,86,43,165,165,165,163,163,234,234,301,301,301,301,82,,"pase",,,,,,,,
47,22,43,22,85,85,85,81,81,121,121,150,150,150,150,41,,"pase",,,,,,,,
48,22,43,22,85,85,85,81,81,121,121,134,134,134,134,41,,"pase",,,,,,,,
49,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
50,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
51,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
52,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
53,10,20,10,37,37,37,37,37,65,65,100,100,100,100,19,,"pase",,,,,,,,
54,49,97,49,148,151,155,147,150,178,210,227,287,287,287,73,,"pase",,,,,,,,
55,55,110,55,179,183,192,179,183,192,235,235,329,329,329,91,,"pase",,,,,,,,
56,24,49,24,57,60,65,57,60,65,74,74,112,112,112,30,,"pase",,,,,,,,
57,31,61,31,122,123,127,122,123,127,161,161,217,217,217,61,,"pase",,,,,,,,
58,88,177,87,264,269,275,264,269,275,344,344,488,488,488,134,,"pase",,,,,,,,
59,28,57,30,92,95,98,92,95,98,132,132,178,178,178,46,,"pase",,,,,,,,
60,60,120,57,172,174,177,172,174,177,212,212,310,310,310,88,,"pase",,,,,,,,
61,32,64,32,81,83,90,81,83,90,119,119,151,151,151,41,,"pase",,,,,,,,
62,16,32,16,40,42,45,40,42,45,52,52,80,80,80,18,,"pase",,,,,,,,
64,8,17,8,17,18,20,17,18,20,22,22,32,32,32,12,,"pase",,,,,,,,
63,39,78,39,139,141,147,139,141,147,183,183,249,249,249,73,,"pase",,,,,,,,
65,89,179,89,220,220,220,224,224,224,303,420,595,595,550,,,"pase",,,,,,,,
66,89,179,89,212,212,212,341,341,341,432,554,604,604,604,,,"pase",,,,,,,,
67,36,73,36,112,112,112,112,112,112,269,269,387,387,387,55,,"pase",,,,,,,,
68,12,24,11,55,55,55,55,55,55,107,107,128,128,128,56,,"pase",,,,,,,,
69,29,58,30,96,96,96,96,96,96,204,204,239,239,239,49,,"pase",,,,,,,,
70,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
71,45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,,"pase",,,,,,,,
73,32,66,32,126,126,126,123,123,123,169,169,198,198,198,61,,"pase",,,,,,,,
74,45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,,"pase",,,,,,,,
75,25,50,25,88,88,88,87,87,87,119,119,134,134,134,44,,"pase",,,,,,,,
77,45,92,46,166,166,166,140,140,140,221,221,302,302,302,70,,"pase",,,,,,,,
78,44,89,44,185,185,185,163,163,163,250,250,350,350,350,81,,"pase",,,,,,,,
79,30,60,30,110,110,110,85,85,85,145,145,195,195,195,42,,"pase",,,,,,,,
80,31,63,31,120,120,120,92,92,92,155,155,205,205,205,46,,"pase",,,,,,,,
1441,62,125,62,255,255,255,205,205,205,352,352,480,480,480,102,,"pase",,,,,,,,
83,45,92,46,175,175,175,147,147,147,239,239,300,300,300,73,,"pase",,,,,,,,
84,22,43,22,89,89,89,88,88,88,122,122,128,128,128,44,,"pase",,,,,,,,
85,23,45,23,89,89,89,88,88,88,122,122,128,128,128,44,,"pase",,,,,,,,
86,34,69,35,147,147,147,166,166,166,192,192,192,192,192,83,,"pase",,,,,,,,
87,19,38,19,80,80,80,89,89,89,104,104,104,104,104,45,,"pase",,,,,,,,
88,15,31,16,67,67,67,77,77,77,88,88,88,88,88,38,,"pase",,,,,,,,
89,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
90,12,24,12,44,44,44,44,44,93,93,135,135,135,135,22,,"pase",,,,,,,,
91,50,100,51,211,211,211,210,210,210,339,339,423,423,423,106,,"pase",,,,,,,,
92,43,86,43,136,136,136,134,134,134,231,231,279,279,279,67,,"pase",,,,,,,,
93,26,53,27,92,92,92,88,88,88,151,151,166,166,166,44,,"pase",,,,,,,,
95,73,149,80,309,309,309,308,308,422,553,654,807,807,807,,,"pase",,,,,,,,
96,52,104,58,237,237,237,237,237,237,401,401,591,591,591,,,"pase",,,,,,,,
97,37,74,41,169,169,169,169,169,169,285,285,420,420,420,,,"pase",,,,,,,,
98,23,46,26,106,106,106,106,106,106,179,179,263,263,263,,,"pase",,,,,,,,
99,16,32,18,74,74,74,74,74,74,125,125,184,184,184,,,"pase",,,,,,,,
100,53,107,60,244,244,244,244,244,244,412,412,608,608,608,,,"pase",,,,,,,,
101,40,80,45,183,183,183,183,183,183,310,310,457,457,457,,,"pase",,,,,,,,
102,9,19,11,44,44,44,44,44,44,75,75,110,110,110,,,"pase",,,,,,,,
103,12,25,14,57,57,57,57,57,57,96,96,142,142,142,,,"pase",,,,,,,,
104,12,24,13,54,54,54,54,54,54,91,91,135,135,135,,,"pase",,,,,,,,
105,5,10,6,24,24,24,24,24,24,40,40,59,59,59,,,"pase",,,,,,,,
106,27,54,30,123,123,123,123,123,123,207,207,305,305,305,,,"pase",,,,,,,,
107,3,7,4,17,17,17,17,17,17,29,29,42,42,42,,,"pase",,,,,,,,
108,6,13,7,29,29,29,40,40,40,60,60,73,73,73,,,"pase",,,,,,,,
109,15,31,17,70,70,70,70,70,70,118,118,174,174,174,,,"pase",,,,,,,,
110,22,45,25,103,103,103,103,103,103,175,175,257,257,257,,,"pase",,,,,,,,
111,49,99,56,227,227,227,227,227,227,384,384,566,566,566,,,"pase",,,,,,,,
112,3,5,6,25,25,25,25,25,25,42,42,63,63,63,,,"pase",,,,,,,,
113,43,86,49,198,198,198,198,198,198,334,334,492,492,492,,,"pase",,,,,,,,
114,11,23,13,52,52,52,52,52,52,88,88,129,129,129,,,"pase",,,,,,,,
115,7,15,9,35,35,35,35,35,35,59,59,87,87,87,,,"pase",,,,,,,,
116,19,38,21,87,87,87,87,87,87,147,147,216,216,216,,,"pase",,,,,,,,
117,13,27,15,63,63,63,63,63,63,106,106,156,156,156,,,"pase",,,,,,,,
120,12,25,13,43,43,43,43,43,89,89,122,122,122,122,22,,"pase",,,,,,,,
122,19,39,20,72,72,72,72,72,131,143,181,194,194,194,28,,"pase",,,,,,,,
121,16,32,16,55,55,55,55,55,114,114,181,201,201,201,28,,"pase",,,,,,,,
123,31,63,31,125,125,125,125,125,253,253,383,383,383,383,63,,"pase",,,,,,,,
124,18,37,18,74,74,74,74,74,151,151,228,228,228,228,38,,"pase",,,,,,,,
125,51,102,43,194,284,383,194,284,383,475,576,669,765,859,,,"pase",,,,,,,,
126,19,39,15,70,108,141,70,108,141,179,214,247,284,322,,,"pase",,,,,,,,
128,10,20,9,38,58,284,38,58,77,96,117,134,154,174,,,"pase",,,,,,,,
129,47,95,43,183,238,295,183,238,295,386,447,539,593,648,,,"pase",,,,,,,,
130,20,41,16,78,133,190,78,133,190,227,288,328,382,437,,,"pase",,,,,,,,
131,11,23,6,45,100,157,45,100,157,176,238,259,314,368,,,"pase",,,,,,,,
132,27,54,27,105,105,105,105,105,105,159,159,211,211,211,,,"pase",,,,,,,,
133,27,54,27,105,105,105,105,105,105,159,159,211,211,211,,,"pase",,,,,,,,
134,20,40,20,81,81,81,81,81,81,120,120,161,161,161,,,"pase",,,,,,,,
135,51,102,52,148,148,148,148,148,176,176,239,239,239,239,74,,"pase",,,,,,,,
136,35,69,35,95,95,95,95,95,113,113,149,149,149,149,47,,"pase",,,,,,,,
137,17,35,17,47,47,47,47,47,59,59,74,74,74,74,24,,"pase",,,,,,,,
138,17,35,17,47,47,47,47,47,54,54,74,74,74,74,24,,"pase",,,,,,,,
139,45,90,45,180,180,180,280,280,280,540,540,640,640,640,135,,"pase",,,,,,,,
140,45,90,45,180,180,180,280,280,280,540,540,640,640,640,135,,"pase",,,,,,,,
141,25,50,27,115,115,115,115,115,228,228,336,336,336,336,58,,"pase",,,,,,,,
142,3,6,3,14,14,14,14,14,27,27,40,40,40,40,8,,"pase",,,,,,,,
144,170,340,168,750,750,750,750,750,750,1124,1124,1292,1292,1292,374,,"pase",,,,,,,,
145,89,178,88,393,393,393,393,393,393,589,589,677,677,677,196,,"pase",,,,,,,,
143,81,162,80,357,357,357,357,357,357,535,535,615,615,615,178,,"pase",,,,,,,,
146,21,41,20,91,91,91,91,91,91,136,136,156,156,156,45,,"pase",,,,,,,,
147,26,52,26,106,106,106,89,89,89,152,152,202,202,202,45,,"pase",,,,,,,,
150,117,234,117,505,505,505,488,488,488,751,751,892,892,892,245,,"pase",,,,,,,,
149,91,182,91,399,399,399,399,399,399,599,599,690,690,690,200,,"pase",,,,,,,,
152,144,288,144,631,631,631,631,631,631,945,945,1090,1090,1090,315,,"pase",,,,,,,,
153,86,172,86,377,377,377,377,377,377,565,565,652,652,652,188,,"pase",,,,,,,,
151,58,116,58,254,254,254,254,254,254,380,380,438,438,438,127,,"pase",,,,,,,,
154,12,24,12,42,42,42,42,42,89,89,135,135,135,135,21,,"pase",,,,,,,,
155,16,33,17,69,69,69,59,59,59,107,107,128,128,128,30,,"pase",,,,,,,,
156,8,16,9,35,35,35,32,32,32,53,53,63,63,63,16,,"pase",,,,,,,,
157,9,17,9,36,36,36,35,35,35,53,53,65,65,65,17,,"pase",,,,,,,,
159,11,22,11,41,41,41,41,41,83,83,113,113,113,113,21,,"pase",,,,,,,,
158,17,35,18,76,76,76,76,76,140,140,195,195,195,195,38,,"pase",,,,,,,,
160,50,99,50,224,224,224,215,215,430,430,620,620,620,620,108,,"pase",,,,,,,,
161,32,66,33,119,119,119,118,118,232,232,333,333,333,333,59,,"pase",,,,,,,,
162,50,99,50,210,210,210,201,201,403,403,587,587,587,587,100,,"pase",,,,,,,,
163,50,99,50,210,210,210,201,201,403,403,587,587,587,587,100,,"pase",,,,,,,,
164,44,89,45,179,179,179,175,175,347,347,487,487,487,487,87,,"pase",,,,,,,,
165,46,93,46,187,187,187,179,179,355,355,498,498,498,498,89,,"pase",,,,,,,,
166,43,87,44,165,165,165,164,164,316,316,445,445,445,445,82,,"pase",,,,,,,,
170,23,23,11,45,45,45,50,50,50,79,79,119,119,119,25,,"pase",,,,,,,,
169,18,18,9,36,36,36,39,39,39,63,63,95,95,95,20,,"pase",,,,,,,,
168,17,17,8,34,34,34,37,37,37,68,68,85,85,85,18,,"pase",,,,,,,,
171,17,36,18,69,69,69,67,67,130,130,187,187,187,187,33,,"pase",,,,,,,,
172,26,53,27,111,111,111,112,112,194,194,285,285,285,285,56,,"pase",,,,,,,,
173,24,47,24,93,93,93,92,92,165,165,252,252,252,252,46,,"pase",,,,,,,,
174,6,14,8,36,36,36,35,35,86,86,100,100,100,100,17,,"pase",,,,,,,,
175,46,93,46,201,201,201,193,193,357,357,523,523,523,523,97,,"pase",,,,,,,,
176,32,65,32,144,144,144,142,142,275,275,371,371,371,371,71,,"pase",,,,,,,,
177,16,32,16,69,69,69,67,67,107,107,157,157,157,157,33,,"pase",,,,,,,,
178,29,58,29,115,115,115,115,115,115,171,171,231,231,231,,,"pase",,,,,,,,
179,15,30,15,58,58,58,58,58,58,90,90,116,116,116,,,"pase",,,,,,,,
182,31,63,31,128,128,128,128,128,128,175,175,233,233,233,,,"pase",,,,,,,,
183,48,96,48,195,195,195,195,195,195,266,266,355,355,355,,,"pase",,,,,,,,
184,21,35,7,63,63,63,63,63,107,107,169,169,169,169,21,,"pase",,,,,,,,
185,21,35,7,63,63,63,63,63,107,107,169,169,169,169,21,,"pase",,,,,,,,
186,12,24,12,47,47,47,47,47,47,65,65,77,77,77,24,,"pase",,,,,,,,
188,84,168,90,279,279,279,275,275,275,388,388,461,461,461,127,,"pase",,,,,,,,
189,32,64,34,105,105,105,102,102,102,148,148,176,176,176,48,,"pase",,,,,,,,
190,27,55,29,86,86,86,82,82,82,124,124,154,154,154,37,,"pase",,,,,,,,
192,22,44,18,70,70,70,68,68,68,99,99,120,120,120,30,,"pase",,,,,,,,
191,21,43,24,71,71,71,71,71,71,101,101,118,118,118,33,,"pase",,,,,,,,
193,17,35,15,56,56,56,55,55,55,80,80,98,98,98,27,,"pase",,,,,,,,
194,9,19,8,32,32,32,31,31,31,45,45,53,53,53,14,,"pase",,,,,,,,
195,80,160,87,287,287,287,275,275,275,394,394,466,466,466,136,,"pase",,,,,,,,
196,33,67,36,129,129,129,120,120,120,168,168,193,193,193,58,,"pase",,,,,,,,
197,35,69,35,139,139,139,139,139,139,208,208,278,278,278,69,,"pase",,,,,,,,
200,21,41,21,59,59,59,59,59,83,83,107,107,107,107,30,,"pase",,,,,,,,
201,95,191,105,319,319,319,311,311,311,474,474,633,633,633,150,,"pase",,,,,,,,
202,55,111,63,180,180,180,172,172,172,292,292,371,371,371,80,,"pase",,,,,,,,
203,40,80,42,139,139,139,139,139,139,182,182,262,262,262,70,,"pase",,,,,,,,
204,33,66,36,106,106,106,104,104,104,165,165,209,209,209,48,,"pase",,,,,,,,
205,16,32,22,53,53,53,49,49,49,80,80,93,93,93,27,,"pase",,,,,,,,
206,116,232,127,361,361,361,347,347,347,602,602,761,761,761,162,,"pase",,,,,,,,
207,95,190,107,301,301,301,287,287,287,525,525,664,664,664,133,,"pase",,,,,,,,
208,92,185,97,334,334,334,321,321,321,488,488,593,593,593,153,,"pase",,,,,,,,
209,81,162,87,258,258,258,248,248,248,398,398,487,487,487,117,,"pase",,,,,,,,
210,68,137,72,247,247,247,239,239,239,368,368,440,440,440,112,,"pase",,,,,,,,
212,60,120,67,198,198,198,188,188,188,321,321,390,390,390,88,,"pase",,,,,,,,
213,46,92,47,155,155,155,149,149,149,194,194,213,213,213,72,,"pase",,,,,,,,
211,34,68,36,121,121,121,117,117,117,197,197,236,236,236,56,,"pase",,,,,,,,
214,25,50,27,95,95,95,89,89,89,117,117,116,116,116,43,,"pase",,,,,,,,
215,21,42,20,60,60,60,60,60,60,77,77,97,97,97,29,,"pase",,,,,,,,
216,64,127,64,259,259,259,250,250,250,369,369,516,516,516,125,,"pase",,,,,,,,
218,45,91,45,148,148,148,148,148,148,242,242,377,377,377,45,,"pase",,,,,,,,
219,37,74,37,127,127,127,127,127,127,206,206,318,318,318,37,,"pase",,,,,,,,
220,25,50,25,87,87,87,87,87,87,142,142,216,216,216,25,,"pase",,,,,,,,
221,12,25,12,43,43,43,43,43,43,70,70,108,108,108,12,,"pase",,,,,,,,
222,47,95,47,161,161,161,161,161,161,258,258,403,403,403,47,,"pase",,,,,,,,
223,15,30,15,50,50,50,50,50,50,80,80,125,125,125,15,,"pase",,,,,,,,
224,28,57,29,99,99,99,93,93,93,101,101,138,138,138,46,,"pase",,,,,,,,
225,93,186,64,319,410,410,319,410,410,410,410,728,728,728,64,,"pase",,,,,,,,
226,69,138,64,239,307,307,239,307,307,307,307,547,547,547,64,,"pase",,,,,,,,
227,66,132,64,221,284,284,221,284,284,284,284,507,507,507,64,,"pase",,,,,,,,
228,64,127,64,217,274,274,217,274,274,274,274,496,496,496,64,,"pase",,,,,,,,
229,30,59,64,103,135,135,103,135,135,135,135,233,233,233,64,,"pase",,,,,,,,
230,27,54,64,98,126,126,98,126,126,126,126,221,221,221,64,,"pase",,,,,,,,
231,6,13,4,22,28,28,22,28,28,28,28,50,50,50,4,,"pase",,,,,,,,
232,4,9,3,15,19,19,15,19,19,19,19,36,36,36,3,,"pase",,,,,,,,
233,2,3,1,6,8,8,6,8,8,8,8,14,14,14,1,,"pase",,,,,,,,
234,69,138,64,239,307,307,239,307,307,307,307,547,547,547,64,,"pase",,,,,,,,
235,25,49,64,80,101,101,80,101,101,101,101,182,182,182,64,,"pase",,,,,,,,
236,6,13,4,22,28,28,22,28,28,28,28,50,50,50,4,,"pase",,,,,,,,
237,4,9,3,15,19,19,15,19,19,19,19,36,36,36,3,,"pase",,,,,,,,
238,56,112,56,203,203,203,203,203,203,314,314,381,381,381,101,,"pase",,,,,,,,
239,32,66,33,119,119,119,119,119,119,184,184,223,223,223,59,,"pase",,,,,,,,
240,23,46,23,84,84,84,84,84,84,129,129,157,157,157,42,,"pase",,,,,,,,
1442,38,77,38,222,222,222,222,222,278,278,278,415,415,415,65,,"pase",,,,,,,,
241,5,10,5,,,,,,,,,,,,,,"pase",,,,,,,,
242,52,105,52,210,210,210,210,210,210,315,315,419,419,419,,,"pase",,,,,,,,
243,26,52,26,105,105,105,105,105,105,157,157,210,210,210,,,"pase",,,,,,,,
247,34,68,34,136,136,136,136,136,136,204,204,271,271,271,,,"pase",,,,,,,,
248,31,61,31,78,115,165,78,115,165,194,227,258,298,318,,,"pase",,,,,,,,
249,15,30,14,39,59,84,39,59,84,98,115,130,150,160,,,"pase",,,,,,,,
250,20,40,18,56,85,116,56,85,116,148,184,219,247,284,,,"pase",,,,,,,,
251,16,31,14,45,64,89,45,64,89,116,146,172,194,220,,,"pase",,,,,,,,
252,25,51,26,103,154,205,103,154,205,205,205,205,205,205,,,"pase",,,,,,,,
254,23,47,24,94,142,189,94,142,189,189,189,189,189,189,,,"pase",,,,,,,,
253,22,45,22,90,134,179,90,134,179,179,179,179,179,179,,,"pase",,,,,,,,
255,19,39,19,77,116,154,77,116,154,154,154,154,154,154,,,"pase",,,,,,,,
256,49,98,49,197,197,197,197,197,393,393,393,393,393,393,,,"pase",,,,,,,,
257,31,62,31,123,123,123,123,123,247,247,247,247,247,247,,,"pase",,,,,,,,
258,18,37,18,73,73,73,73,73,147,147,147,147,147,147,,,"pase",,,,,,,,
259,81,163,81,325,325,325,325,325,325,488,488,651,651,651,,,"pase",,,,,,,,
260,60,120,60,240,240,240,240,240,240,360,360,480,480,480,,,"pase",,,,,,,,
261,21,43,21,85,85,85,85,85,85,128,128,171,171,171,,,"pase",,,,,,,,
262,61,122,61,243,243,243,243,243,243,365,365,486,486,486,,,"pase",,,,,,,,
266,30,61,30,121,121,121,121,121,121,182,182,242,242,242,,,"pase",,,,,,,,
268,25,51,26,74,128,175,74,128,175,226,280,313,349,411,51,,"pase",,,,,,,,
269,25,51,26,74,128,175,74,128,175,226,280,313,349,411,51,,"pase",,,,,,,,
270,29,59,30,126,126,126,126,126,126,195,195,247,247,247,64,,"pase",,,,,,,,
271,29,59,30,126,126,126,126,126,126,195,195,247,247,247,64,,"pase",,,,,,,,
272,91,182,93,345,345,345,331,331,331,449,449,535,535,535,154,,"pase",,,,,,,,
273,47,94,47,173,173,173,167,167,167,228,228,269,269,269,78,,"pase",,,,,,,,
274,44,88,46,172,172,172,164,164,164,221,221,266,266,266,76,,"pase",,,,,,,,
275,26,52,28,100,100,100,92,92,92,129,129,157,157,157,44,,"pase",,,,,,,,
276,8,17,8,32,32,32,31,31,31,44,44,52,52,52,14,,"pase",,,,,,,,
277,118,237,126,447,447,447,437,437,437,629,629,734,734,734,201,,"pase",,,,,,,,
278,77,154,82,286,286,286,280,280,280,399,399,459,459,459,127,,"pase",,,,,,,,
279,46,92,50,173,173,173,169,169,169,233,233,261,261,261,79,,"pase",,,,,,,,
280,41,83,44,161,161,161,157,157,157,230,230,275,275,275,74,,"pase",,,,,,,,
281,63,127,68,235,235,235,231,231,231,331,331,394,394,394,107,,"pase",,,,,,,,
282,37,73,44,154,154,154,151,151,151,216,216,258,258,258,70,,"pase",,,,,,,,
283,18,37,15,58,58,58,56,56,56,78,78,91,91,91,28,,"pase",,,,,,,,
284,12,25,15,55,55,55,53,53,53,76,76,97,97,97,26,,"pase",,,,,,,,
285,125,250,135,428,428,428,415,415,415,636,636,792,792,792,194,,"pase",,,,,,,,
286,115,231,123,384,384,384,370,370,370,569,569,691,691,691,173,,"pase",,,,,,,,
287,94,189,103,324,324,324,310,310,310,492,492,594,594,594,144,,"pase",,,,,,,,
288,93,187,101,316,316,316,303,303,303,495,495,631,631,631,142,,"pase",,,,,,,,
289,90,180,95,325,325,325,316,316,316,432,432,518,518,518,149,,"pase",,,,,,,,
291,69,139,76,229,229,229,221,221,221,375,375,478,478,478,101,,"pase",,,,,,,,
292,58,117,61,213,213,213,204,204,204,291,291,357,357,357,97,,"pase",,,,,,,,
294,55,110,55,222,222,222,217,217,217,228,228,244,244,244,104,,"pase",,,,,,,,
295,34,69,36,126,126,126,122,122,122,171,171,204,204,204,56,,"pase",,,,,,,,
296,31,63,34,112,112,112,112,112,112,141,141,161,161,161,52,,"pase",,,,,,,,
297,23,47,21,110,110,110,105,105,105,87,87,83,83,83,52,,"pase",,,,,,,,
1438,16,32,16,58,58,58,57,57,57,77,77,93,93,93,28,,"pase",,,,,,,,
1439,5,10,3,18,18,18,17,17,17,23,23,27,27,27,5,,"pase",,,,,,,,
298,58,115,64,236,236,236,233,233,233,340,340,422,422,422,112,,"pase",,,,,,,,
299,7,14,7,21,21,21,21,21,32,32,50,50,50,50,11,,"pase",,,,,,,,
300,37,74,37,122,122,122,122,122,122,189,189,244,244,244,60,,"pase",,,,,,,,
301,31,63,31,97,97,97,97,97,97,146,146,190,190,190,49,,"pase",,,,,,,,
302,10,21,10,35,35,35,35,35,35,53,53,70,70,70,16,,"pase",,,,,,,,
305,36,73,42,175,175,175,176,176,176,265,265,354,354,354,88,,"pase",,,,,,,,
306,31,63,36,150,150,150,151,151,151,227,227,302,302,302,75,,"pase",,,,,,,,
307,49,99,52,233,233,233,224,24,224,340,340,469,469,469,112,,"pase",,,,,,,,
308,29,58,30,153,153,153,148,148,148,212,212,292,292,292,73,,"pase",,,,,,,,
309,20,41,22,60,60,60,59,59,59,94,94,126,126,126,30,,"pase",,,,,,,,
310,32,65,32,121,121,121,117,117,117,184,184,246,246,246,58,,"pase",,,,,,,,
311,25,50,26,95,95,95,94,94,94,130,130,185,185,185,47,,"pase",,,,,,,,
312,7,15,6,24,24,24,23,23,23,55,55,62,62,62,11,,"pase",,,,,,,,
313,32,65,32,123,123,123,120,120,120,184,184,245,245,245,60,,"pase",,,,,,,,
314,23,47,24,95,95,95,94,94,94,130,130,184,184,184,47,,"pase",,,,,,,,
315,8,17,9,26,26,26,25,25,25,55,55,61,61,61,13,,"pase",,,,,,,,
316,59,118,60,237,237,237,236,236,236,352,352,469,469,469,118,,"pase",,,,,,,,
317,87,175,88,355,355,355,352,352,352,527,527,702,702,702,177,,"pase",,,,,,,,
318,59,118,60,235,235,235,234,234,234,352,352,470,470,470,116,,"pase",,,,,,,,
319,29,58,30,121,121,121,120,120,120,178,178,235,235,235,60,,"pase",,,,,,,,
320,68,136,68,252,252,252,250,250,250,427,427,624,624,624,125,,"pase",,,,,,,,
321,24,49,25,111,111,111,108,108,108,211,211,305,305,305,54,,"pase",,,,,,,,
323,18,38,19,67,67,67,65,65,65,107,107,156,156,156,32,,"pase",,,,,,,,
322,18,38,19,67,67,67,65,65,65,107,107,156,156,156,32,,"pase",,,,,,,,
333,18,38,19,65,65,65,65,65,65,107,107,156,156,156,32,,"pase",,,,,,,,
340,4,10,5,15,15,15,14,14,14,20,20,25,25,25,8,,"pase",,,,,,,,
341,8,15,8,29,29,29,28,28,28,36,36,38,38,38,14,,"pase",,,,,,,,
342,14,28,14,36,36,36,35,35,35,41,41,44,44,44,17,,"pase",,,,,,,,
343,43,86,43,148,148,148,148,148,148,184,184,203,203,203,74,,"pase",,,,,,,,
344,30,60,30,104,104,104,102,102,102,127,127,143,143,143,52,,"pase",,,,,,,,
345,91,182,92,378,378,378,375,375,375,493,493,547,547,547,188,,"pase",,,,,,,,
