index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,11530,0.6,60.9,0.9,6.9,4.3,3.8,0.5,15.0,1.7,0.2,0.1,5.1,0.0,4208279,8.8,7.5,8.4,8.9,8.1,7.6,8.9,7.9,7.2,8.0,8.4,10.3
002,puente pánuco,alazán-canoas,mex-127,172.1,4885,3.7,77.9,0.6,8.9,3.6,1.4,0.2,1.9,1.0,0.0,0.0,0.8,0.0,1783132,8.5,7.4,8.1,8.9,8.6,8.1,8.8,8.6,7.6,7.8,8.2,9.4
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,15908,2.2,77.0,0.1,7.5,1.8,2.0,0.1,0.8,1.0,0.0,0.0,1.0,6.5,5806410,8.6,7.9,8.4,8.3,8.7,8.4,8.4,8.8,8.1,8.1,7.7,8.6
004,puente culiacán,culiacán-el limón,mex-015,22.0,7334,1.1,85.1,0.8,4.2,3.2,1.5,0.2,3.1,0.7,0.0,0.0,0.1,0.0,2676890,8.3,7.5,8.4,8.5,8.3,8.2,8.4,8.2,7.7,8.1,8.6,9.8
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,4225,4.3,76.4,0.6,7.9,4.2,3.3,0.1,1.8,1.1,0.0,0.0,0.3,0.0,1542288,8.6,7.7,8.2,9.3,8.6,8.0,9.1,9.0,7.6,7.3,7.4,9.2
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,2934,0.2,99.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070999,9.2,8.2,8.7,6.5,8.0,8.7,8.1,9.0,8.8,8.2,7.8,8.8
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,1917,9.0,52.5,7.0,3.5,8.6,8.1,0.4,8.8,0.7,0.0,0.0,1.4,0.0,699733,9.0,8.1,8.7,8.9,8.5,8.4,8.3,8.4,7.4,8.1,7.3,8.9
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,6379,6.9,67.8,1.1,9.5,3.7,3.0,0.1,2.1,0.4,0.0,0.0,5.4,0.0,2328233,8.7,7.8,8.3,8.4,8.6,8.2,8.7,8.6,7.8,7.4,8.1,9.4
009,puente inter. camargo,camargo-río grande,mex-002,0.0,1111,0.1,89.7,0.5,0.0,0.1,0.2,0.0,4.3,0.1,0.0,0.0,5.0,0.0,405477,8.4,8.8,9.4,8.6,8.4,7.6,8.0,7.1,7.6,8.4,8.6,9.1
010,puente nautla,nautla-cardel,mex-180,0.7,5247,1.8,66.3,0.7,6.5,4.9,4.6,0.3,7.2,2.3,0.1,0.0,5.3,0.0,1915334,8.2,7.2,8.3,9.3,8.5,8.0,9.6,9.0,7.6,7.6,7.7,9.0
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,16771,1.0,97.5,0.0,0.7,0.3,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6121376,7.8,7.7,9.0,8.8,9.0,9.4,10.6,10.0,8.1,7.2,6.2,6.2
