index,tollbooth_name,direction,road,km,tdpa,M,A,AR,B,C2,C3,C4,C5,C6,C7,C8,C9,VNC,vta,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
034,puente inter. juárez-lincoln,nuevo laredo-laredo,ex-085,0.000,"5,386",0.5,97.6,0.7,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,966,005",7.8,6.8,8.6,8.4,8.7,8.4,8.5,8.7,8.4,8.8,8.7,8.2
035,puente antonio dovalí jaime,cosoleacaque-nuevo teapa,ex-145d,6.500,"12,098",1.3,50.5,0.4,2.8,5.2,6.4,0.8,18.1,3.5,0.3,0.1,9.3,1.3,"4,415,719",10.1,5.4,6.1,6.2,9.0,8.5,9.1,8.8,8.3,8.8,9.0,10.7
036,puente antonio dovalí jaime bis,puente dovalí jaime-nuevo teapa,ex-145d,6.500,583,7.1,87.4,0.1,0.2,3.1,0.7,0.0,0.3,0.1,0.0,0.0,0.0,1.0,"212,678",7.7,7.4,8.5,9.4,10.3,9.1,9.4,8.3,7.3,7.4,7.3,7.9
037,puente tampico,tampico el alto-tampico,ex-180,191.800,"9,154",0.8,90.6,0.3,3.2,2.4,1.1,0.1,0.5,0.2,0.0,0.0,0.3,0.5,"3,341,039",7.7,6.1,7.6,8.2,11.2,10.3,8.5,8.0,7.2,7.9,7.7,9.6
038,tehuacán,cuacnopalan-tehuacán,ex-135d,41.048,"10,688",0.6,71.5,0.3,3.0,5.9,5.4,0.6,6.2,1.2,0.1,0.1,2.9,2.2,"3,901,102",7.6,6.7,8.1,8.1,8.4,7.9,9.0,8.2,7.6,8.8,8.9,10.7
039,miahuatlán,tehuacán-miahuatlán,ex-135d,71.415,"5,116",0.8,69.0,0.4,4.3,5.0,7.1,0.5,6.3,1.5,0.2,0.1,3.9,0.9,"1,867,494",7.8,6.3,7.8,8.2,8.2,7.6,9.2,8.0,7.1,8.7,9.1,12.0
040-01,coixtlahuaca,miahuatlán-coixtlahuaca,ex-135d,141.300,552,1.1,73.1,0.3,5.0,6.1,5.0,0.1,3.9,2.2,0.0,0.0,0.1,3.1,"201,347",8.0,6.5,8.2,8.5,8.8,8.5,9.3,8.0,7.0,8.7,8.4,10.1
040-02,coixtlahuaca,miahuatlán-nochixtlán,ex-135d,141.300,"4,267",0.8,63.9,0.4,4.4,5.0,7.5,0.6,6.9,1.3,0.2,0.1,4.6,4.3,"1,557,302",7.7,6.3,7.8,8.1,8.1,7.6,9.3,8.0,7.0,8.7,9.2,12.2
041-01,huitzo,nochixtlan-oaxaca,ex-135d,217.010,"6,198",0.9,70.5,0.2,2.8,4.2,4.8,0.3,4.4,0.9,0.1,0.1,2.8,8.0,"2,262,173",7.8,6.5,8.0,8.2,8.3,7.8,8.9,8.0,7.3,8.8,9.0,11.4
041-02,huitzo,nochixtlan-huitzo,ex-135d,217.010,485,2.4,68.5,0.4,1.3,7.0,5.4,0.1,2.7,1.6,0.0,0.0,0.3,10.3,"177,121",7.2,6.6,9.2,8.0,8.4,8.0,10.7,7.8,7.3,8.6,8.7,9.5
042,huitzo bis,huitzo-oaxaca,ex-135d,217.010,836,2.6,90.4,0.0,0.3,1.4,0.5,0.0,0.2,0.1,0.0,0.0,0.0,4.5,"305,185",7.7,7.0,7.9,8.0,8.8,8.4,8.6,8.2,7.7,8.5,8.7,10.5
043,centinela,centinela-rumorosa,ex-002d,61.700,"12,308",0.6,71.4,1.2,5.6,0.0,0.0,0.6,13.0,1.1,0.2,0.1,3.3,2.9,"4,492,312",6.7,6.8,7.9,8.6,8.9,8.6,10.2,9.6,8.4,8.6,7.9,7.8
044-01,el hongo,rumorosa-tecate,ex-002d,92.360,"8,888",0.4,71.3,0.9,3.0,3.1,1.4,0.5,13.0,0.7,0.2,0.1,4.5,0.9,"3,244,184",6.0,6.8,7.8,8.8,9.1,8.7,9.8,9.3,8.4,8.6,8.3,8.4
044-02,el hongo,el hongo-tecate,ex-002d,92.360,"1,096",0.4,88.7,1.6,0.5,1.4,0.5,0.2,2.4,0.5,0.0,0.0,0.2,3.6,"399,906",8.0,6.2,7.5,8.1,8.4,8.5,10.1,9.2,8.8,9.0,7.8,8.4
044-03,el hongo,rumorosa-el hongo,ex-002d,92.360,217,0.4,84.0,2.1,1.3,1.5,0.4,0.2,1.7,0.2,0.0,0.0,0.2,8.0,"79,043",6.3,5.6,6.5,8.1,8.4,9.0,11.8,10.3,9.4,10.1,7.1,7.4
045-01,tijuana,tecate-tijuana,ex-002d,147.600,"10,232",0.5,74.9,0.5,1.5,3.8,1.4,0.5,11.7,0.7,0.1,0.0,2.9,1.5,"3,734,549",6.8,6.8,7.7,8.4,8.9,8.7,9.6,9.2,8.6,8.8,8.2,8.3
045-02,tijuana,ent. tecate-paso del águila aux. 1,ex-002d,130.500,"1,782",0.4,74.5,0.8,0.6,3.9,2.1,1.1,12.3,1.8,0.2,0.0,1.0,1.3,"650,312",7.1,7.0,8.2,8.8,8.8,8.5,9.4,9.2,8.4,8.4,7.9,8.3
045-03,tijuana,ent. esperanza-ent. sandoval aux. 2,ex-002d,122.800,"4,270",0.4,86.7,0.7,1.1,2.4,0.8,0.3,4.1,0.5,0.1,0.0,1.9,1.0,"1,558,578",6.5,6.8,7.7,8.3,8.7,8.8,10.2,9.7,8.5,8.6,8.1,8.1
045-04,tijuana,paso del águila-tijuana,ex-002d,130.500,386,0.0,35.3,0.0,0.1,1.3,2.1,0.0,60.1,0.1,0.0,0.0,1.0,0.0,"140,945",6.7,6.6,8.8,9.4,9.3,9.2,8.6,7.5,6.0,10.1,9.8,8.0
045-05,tijuana,ent. planta dart-tijuana,ex-002d,137.800,156,0.9,82.1,0.1,0.0,0.5,0.5,11.2,4.7,0.0,0.0,0.0,0.0,0.0,"57,044",7.1,6.9,8.0,8.1,8.6,7.9,8.9,8.6,9.0,9.1,8.9,8.9
046,puente inter. shuchiate ii ing. luis cabrer,hidalgo-tecún umán,ex,0.000,442,0.0,5.7,0.2,0.7,6.5,5.7,0.5,68.0,11.1,0.1,0.0,1.5,0.0,"161,310",6.8,7.3,8.6,8.2,8.2,8.5,8.6,8.6,8.3,8.4,9.1,9.4
047-01,aeropuerto los cabos,san josé del cabo-aeropuerto los cabos,ex-001d,105.100,"1,927",0.1,98.7,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"703,336",5.7,4.5,6.8,8.1,9.2,9.6,9.8,8.8,6.3,10.2,10.6,10.4
047-02,aeropuerto los cabos,cabo san lucas-aeropuerto los cabos,ex-001d,105.100,610,0.1,98.3,0.3,0.2,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.4,"222,491",5.8,4.5,6.5,7.4,8.7,8.7,8.9,8.5,6.3,10.8,11.6,12.3
047-03,aeropuerto los cabos,el mangle-aeropuerto los cabos,ex-001d,105.100,424,0.2,88.4,0.6,0.6,1.3,0.9,0.1,1.8,1.0,0.1,0.0,2.5,2.5,"154,689",6.0,5.3,7.1,7.9,8.5,8.4,8.6,8.2,6.2,10.2,11.3,12.3
048-01,san josé del cabo,aeropuerto los cabos-san josé del cabo,ex-001d,110.210,"2,109",0.1,98.4,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"769,803",5.2,4.5,6.9,7.8,8.9,9.3,9.5,8.6,6.5,10.5,11.0,11.3
048-02,san josé del cabo,cabo san lucas-san josé del cabo,ex-001d,110.210,97,0.6,95.9,0.4,0.1,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,1.8,"35,450",4.8,4.3,5.3,6.0,7.3,6.8,6.7,6.7,5.7,14.8,15.9,15.7
048-03,san josé del cabo,el mangle-san josé del cabo,ex-001d,110.210,355,0.4,89.0,0.9,0.2,2.1,0.8,0.1,0.8,0.4,0.1,0.0,0.2,5.0,"129,619",7.0,6.1,7.7,8.1,8.6,7.9,8.0,8.0,6.1,10.4,10.7,11.4
049,zacatecas,ent. cuauhtémoc-ent. osiris,ex-045d,97.800,"8,261",0.3,53.9,0.9,3.9,5.0,4.3,1.0,18.2,3.6,0.5,0.0,8.1,0.3,"3,015,358",9.3,5.1,6.1,6.1,8.9,8.9,9.9,9.3,8.4,9.0,9.1,9.9
050,chiapa de corzo,tuxtla gutiérrez-san cristóbal de las casas,ex-190d,1.300,"12,396",0.7,87.7,0.1,2.3,3.8,1.8,0.1,1.7,0.7,0.0,0.0,0.6,0.5,"4,524,493",10.4,8.9,9.1,6.4,6.6,6.8,8.0,8.7,8.6,8.7,6.8,11.0
051,tehuantepec,tehuantepec-salina cruz,ex-185d,1.800,998,2.5,75.7,0.4,1.3,4.2,4.4,0.3,4.7,2.5,0.0,0.0,2.5,1.5,"364,177",8.8,7.1,8.8,8.7,8.6,7.4,9.0,7.0,7.0,7.9,8.1,11.6
052-01,ixtepec,ixtepec-la ventosa,ex-185d,47.500,562,1.3,75.6,0.3,0.7,12.0,2.1,0.4,2.5,1.2,0.0,0.0,1.4,2.5,"205,115",8.0,7.1,8.3,8.2,8.3,7.6,8.1,8.0,8.4,8.7,8.5,10.8
052-02,ixtepec,ixtepec-tehuantepec,ex-185d,47.500,911,3.2,86.5,0.2,0.3,5.8,1.0,0.2,0.6,0.1,0.0,0.0,0.0,2.1,"332,608",8.0,7.0,9.4,8.0,8.6,8.4,8.3,7.0,7.1,10.0,8.0,10.2
052-03,ixtepec,tehuantepec-la ventosa,ex-185d,47.500,"1,380",0.7,60.2,0.5,0.9,4.9,5.9,0.5,7.5,5.0,0.2,0.3,11.4,2.0,"503,576",8.0,6.5,8.9,8.3,8.2,8.0,8.8,7.6,7.1,9.2,8.4,11.0
053,acatlán de juárez,acatlán-atoyac,ex-054d,0.600,"14,270",0.4,67.6,0.3,4.9,3.5,1.0,7.6,3.8,0.5,0.2,10.2,0.0,0.0,"5,208,573",7.9,7.2,8.7,8.2,8.8,8.1,8.7,8.1,7.5,8.5,8.5,9.8
054,sayula,atoyac-cd. guzmán,ex-054d,58.300,"14,524",0.4,63.8,0.3,4.8,4.2,1.1,9.2,4.7,0.5,0.2,10.8,0.0,0.0,"5,301,264",8.0,7.2,8.7,8.2,8.8,8.2,9.0,8.0,7.4,8.3,8.3,9.9
055,sayula remota,sayula-cd. guzmán,ex-054d,64.600,"1,625",0.9,77.0,0.4,8.1,6.5,0.4,4.1,2.0,0.0,0.0,0.5,0.1,0.0,"593,030",7.4,7.0,8.4,8.5,8.6,7.4,7.2,6.8,9.1,9.6,9.6,10.4
056,san marcos,cd. guzmán-el trapiche,ex-054d,122.500,"12,142",0.4,58.7,0.2,5.4,4.5,1.2,11.0,5.1,0.6,0.2,12.6,0.1,0.0,"4,431,898",8.0,6.9,8.5,8.4,8.4,7.7,8.7,7.6,7.2,9.0,9.0,10.6
057,ent. trapichillo,tepic-ent. trapichillo,ex-015d,6.300,"2,827",2.4,91.7,0.2,0.7,1.5,1.3,0.0,0.4,0.1,0.0,0.0,0.0,1.7,"1,032,034",9.3,7.7,8.2,5.9,6.2,6.9,7.3,7.5,8.1,10.4,10.4,12.1
058,trapichillo,tepic-san blas,ex-015d,8.650,"12,665",1.1,64.3,0.3,4.6,3.4,4.5,0.9,13.5,1.6,0.2,0.0,3.3,2.3,"4,622,813",8.4,6.8,8.4,8.3,8.4,8.1,8.9,7.8,7.4,8.3,8.4,10.8
059-01,yago,ent. san blas-yago,ex-015d,42.310,499,1.8,75.8,0.3,2.2,2.7,2.1,0.3,3.5,0.4,0.0,0.0,0.6,10.3,"182,202",8.4,7.1,8.2,8.5,9.2,8.4,8.4,7.3,6.8,9.0,7.9,10.8
059-02,yago,yago-est. ruíz,ex-015d,42.310,144,8.0,36.2,0.5,0.5,3.3,4.7,0.2,4.9,1.0,0.0,0.0,0.5,40.2,"52,528",7.9,6.1,8.1,7.5,7.5,9.0,10.3,8.9,8.1,8.8,8.2,9.6
060-01,estación ruíz,yago-rosa morada,ex-015d,52.810,"5,191",0.5,43.5,0.4,5.0,3.7,5.0,1.6,27.1,2.7,0.5,0.1,7.9,2.0,"1,894,537",8.2,6.7,8.3,8.5,8.4,8.1,8.9,7.8,7.4,8.3,8.4,11.0
060-02,estación ruíz,ruiz-rosa morada,ex-015d,52.810,525,8.8,59.7,0.8,5.7,4.9,4.2,0.6,3.8,2.6,0.0,0.0,0.2,8.7,"191,576",8.7,7.1,8.6,8.6,8.7,8.2,8.5,7.2,7.5,8.5,8.3,10.1
060-03,estación ruíz,yago-ruíz,ex-015d,52.810,389,0.0,74.6,0.0,3.0,2.7,1.9,0.1,1.6,1.0,0.0,0.0,0.1,15.0,"141,846",9.0,7.0,8.6,8.7,8.5,8.0,8.4,7.1,7.2,8.5,8.4,10.6
061-01,acaponeta,acaponeta-escuinapa,ex-015d,73.400,162,0.1,40.5,0.3,10.6,12.2,9.9,1.0,12.7,2.8,0.3,0.1,9.5,0.0,"58,994",7.4,6.2,8.1,8.4,7.6,8.4,8.0,7.5,7.5,10.5,10.6,9.8
061-02,acaponeta,rosa morada-escuinapa,ex-015d,73.400,"4,353",0.5,39.7,0.7,4.9,3.8,4.8,1.8,30.4,2.4,0.6,0.1,9.2,1.1,"1,588,753",8.2,6.7,8.3,8.4,8.4,8.2,9.1,7.9,7.4,7.7,8.5,11.2
061-03,acaponeta,rosa morada-acaponeta,ex-015d,73.400,470,0.8,58.6,0.5,3.0,2.2,3.9,0.3,3.6,0.5,0.0,0.0,0.3,26.3,"171,572",8.8,6.8,8.4,9.2,8.8,8.0,8.4,7.0,6.9,9.3,7.0,11.4
062-01,rosario,escuinapa-villa unión,ex-015d,199.486,"5,041",0.5,39.7,0.7,5.1,3.7,4.6,1.7,30.3,2.8,0.5,0.1,8.5,1.8,"1,839,905",8.2,6.8,8.3,8.4,8.4,8.2,8.9,7.8,7.4,8.2,8.4,11.0
062-02,rosario,escuinapa-rosario,ex-015d,199.486,111,1.4,62.8,0.6,12.8,8.6,8.3,0.8,3.7,0.8,0.0,0.0,0.2,0.0,"40,551",8.8,6.8,9.2,9.3,9.3,7.6,8.1,7.8,7.1,7.5,7.7,10.8
062-03,rosario,rosario-villa uníón,ex-015d,199.486,812,0.8,58.9,0.5,17.7,3.9,2.9,0.5,4.6,0.3,0.0,0.0,0.4,9.5,"296,453",8.4,7.1,7.9,8.0,8.5,8.1,9.6,7.4,7.7,8.2,8.4,10.7
063,villa ahumada,el sueco-villa ahumada,ex-045,219.000,"5,580",0.0,71.1,0.0,5.3,3.2,1.7,0.7,14.9,1.0,0.2,0.0,1.9,0.0,"2,036,777",8.6,6.3,10.5,10.1,7.7,9.7,11.9,10.5,6.1,6.0,5.0,7.6
064,santa fe,constituyentes-santa fe,ex-015d,17.626,"14,848",1.1,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,"5,419,392",5.4,6.2,7.5,7.1,8.6,9.1,8.2,8.7,9.2,10.2,10.1,9.7
065,contadero,constituyentes-contadero,ex-015d,23.430,"1,505",0.8,92.8,0.2,0.2,2.4,1.1,0.0,0.4,0.0,0.0,0.0,0.0,2.1,"549,424",5.2,5.8,6.9,6.9,8.3,8.5,8.1,8.2,9.4,11.2,10.6,10.9
066-01,la venta,constituyentes-la marquesa,ex-015d,24.000,"38,653",0.8,90.8,0.1,2.3,2.4,0.9,0.1,1.2,0.1,0.0,0.0,0.5,0.8,"14,108,367",6.3,6.5,7.9,7.6,8.6,8.3,8.7,8.4,8.4,9.7,9.5,10.1
066-02,la venta,constituyentes-la venta,ex-015d,24.000,458,0.0,96.1,0.1,1.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,"167,145",7.0,7.1,7.5,7.6,8.1,8.0,6.7,7.0,8.0,10.7,9.2,13.1
066-03,la venta,la  venta-la marquesa,ex-015d,24.000,"8,025",0.7,76.5,0.1,0.5,5.4,3.2,0.4,9.3,0.4,0.0,0.0,2.0,1.5,"2,929,236",6.9,7.0,8.4,7.9,8.5,8.4,8.9,8.6,8.5,9.1,8.9,8.9
067,central de abastos,cuernavaca-central de abastos,ex-095d,102.000,"16,996",4.8,91.2,0.0,0.4,1.7,0.7,0.1,0.3,0.0,0.0,0.0,0.0,0.8,"6,203,720",7.5,7.2,8.4,8.2,8.6,8.2,8.7,8.2,8.2,8.8,8.7,9.3
068,aeropuerto,cuernavaca-aereopuerto,ex-095d,104.850,"16,237",4.8,89.3,0.0,0.6,1.3,0.6,0.1,0.9,0.8,0.0,0.0,0.4,1.2,"5,926,484",7.7,7.2,8.6,8.3,8.7,8.2,8.7,8.2,8.1,8.7,8.5,9.1
