index,tollbooth_name,direction,road,km,tdpa,M,A,AR,B,C2,C3,C4,C5,C6,C7,C8,C9,VNC,vta,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
001,puente sinaloa,guamúchil-guasave,ex-015,132.300,"12,153",0.5,65.2,1.0,3.9,3.9,3.4,0.7,14.5,1.8,0.2,0.0,4.3,0.6,"4,435,978",9.1,6.3,7.5,7.3,9.0,8.4,8.5,7.8,7.9,8.6,8.8,10.8
002,puente pánuco,alazán-canoas,ex-127,172.100,"5,173",4.1,80.7,0.6,5.3,3.2,2.1,0.2,1.6,0.8,0.0,0.0,0.8,0.6,"1,888,169",8.7,6.6,7.9,7.9,8.8,8.0,8.5,8.2,7.9,8.5,8.6,10.4
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,ex-180,2.000,"12,741",4.4,80.8,0.1,7.7,1.5,1.7,0.1,0.9,1.2,0.0,0.0,1.6,0.0,"4,650,454",8.5,8.0,9.6,9.0,8.7,9.0,8.1,7.4,7.3,8.1,7.9,8.4
004,puente culiacán,culiacán-el limón,ex-015,22.000,"8,671",1.2,86.9,1.0,2.5,3.0,1.6,0.2,2.4,0.6,0.0,0.0,0.2,0.4,"3,164,761",8.3,7.1,8.1,8.2,8.8,8.2,8.1,7.7,8.0,8.8,8.8,9.9
005,puente alvarado,paso del toro-san andrés tuxtla,ex-180,49.570,"4,693",6.2,78.1,0.5,5.1,3.5,2.9,0.1,1.6,0.8,0.0,0.0,0.2,1.0,"1,713,016",8.5,6.5,7.9,8.7,9.2,8.0,8.9,7.9,7.6,8.2,8.2,10.4
006,puente inter. matamoros,matamoros-brownsville,101-180,0.210,"2,798",0.3,99.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,021,230",6.7,6.1,7.2,7.8,8.2,9.1,8.3,8.7,9.3,9.1,9.5,10.0
007,puente papaloapan,tierra blanca-loma bonita,ex-145,3.500,"2,158",12.9,59.3,4.0,3.4,6.6,6.2,0.2,4.5,0.8,0.0,0.0,1.4,0.7,"787,645",9.1,7.0,8.2,8.2,9.0,7.9,8.2,7.7,7.6,8.0,8.5,10.6
008,puente caracol,tuxtepec-cosamaloapan,ex-175,117.200,"6,253",9.0,70.9,0.6,5.1,3.7,2.5,0.1,2.3,0.4,0.0,0.0,4.9,0.5,"2,282,455",8.9,6.7,7.7,7.6,9.1,8.4,8.8,8.2,8.1,7.9,8.2,10.4
009,puente inter. camargo,camargo-río grande,ex-002,0.000,856,0.1,86.8,1.3,0.0,0.3,0.4,0.0,5.1,0.1,0.0,0.0,5.9,0.0,"312,302",7.0,6.0,7.2,7.1,8.8,8.2,8.0,8.9,8.5,9.1,9.9,11.3
010,puente nautla,nautla-cardel,ex-180,0.700,"5,384",2.2,69.3,0.8,3.5,4.5,4.5,0.4,7.4,2.0,0.1,0.0,4.4,0.9,"1,965,180",8.8,5.9,7.5,7.5,9.0,8.3,9.3,8.5,7.9,8.6,8.3,10.4
011,playas de tijuana,tijuana-rosarito,ex-001d,11.000,"18,515",1.0,96.8,0.4,0.3,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.4,"6,757,991",6.8,7.0,7.8,8.4,8.9,9.1,9.9,9.5,8.7,8.6,8.0,7.3
012,rosarito,rosarito-la misión,ex-001d,35.427,"14,313",0.7,91.6,0.8,1.0,1.6,0.5,0.1,2.4,0.2,0.0,0.0,0.5,0.6,"5,224,192",6.2,6.6,7.8,8.6,9.0,9.0,10.2,9.6,8.9,8.5,8.0,7.6
013,nodo popotla,la misión-corredor 2000,ex-001d,38.600,"3,146",0.2,63.2,0.8,0.1,4.1,1.9,0.5,22.3,1.1,0.1,0.1,5.3,0.3,"1,148,457",6.2,6.5,7.3,8.8,8.7,9.3,10.8,10.3,9.0,8.4,7.7,7.0
014,ensenada,la misión-ensenada,ex-001d,98.599,"15,517",0.5,84.7,0.8,1.1,2.7,0.9,0.2,6.7,0.4,0.0,0.0,1.5,0.5,"5,663,739",6.5,6.6,7.7,8.5,8.8,8.9,10.0,9.5,8.8,8.5,8.2,8.0
015,puente inter. miguel alemán,cd. alemán-roma,ex-002,0.000,"1,445",0.0,94.7,0.5,0.1,0.2,0.2,0.1,4.2,0.0,0.0,0.0,0.0,0.0,"527,298",7.3,6.6,7.8,7.6,8.5,8.1,7.7,8.4,8.4,9.1,9.7,10.8
016,puente inter. reynosa,reynosa-hidalgo,ex-040,0.000,"3,193",0.1,98.6,0.3,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,165,479",7.7,6.5,7.6,7.5,8.2,7.8,7.8,8.0,8.4,9.1,10.8,10.6
017,puente grijalva,villahermosa-aquiles serdán,ex-186,17.600,"14,405",3.3,78.6,0.6,2.7,3.3,2.1,0.3,4.2,1.6,0.1,0.0,2.5,0.7,"5,257,660",8.6,6.8,8.0,7.7,8.8,8.3,8.8,8.5,8.1,8.1,8.5,9.8
018,puente usumacinta,ent. emiliano zapata-san marcos,ex-186,145.200,"4,377",7.0,61.4,0.9,2.9,3.8,4.8,0.5,9.4,2.0,0.3,0.0,6.5,0.5,"1,597,604",8.6,5.9,7.3,7.3,8.8,8.4,9.2,8.9,8.2,8.2,8.8,10.4
019,puente cadereyta,monterrey-reynosa,ex-040,30.500,"5,089",1.5,72.7,0.4,0.2,4.0,3.3,0.7,8.1,2.9,0.2,0.2,3.4,2.4,"1,857,387",8.6,6.4,7.1,7.5,9.0,8.9,9.1,8.8,7.2,9.0,8.7,9.7
020-01,amozoc,puebla-acatzingo,ex-150d,141.713,"31,163",0.4,63.8,0.3,3.4,5.1,5.3,0.4,9.8,1.7,0.2,0.0,6.3,3.3,"11,374,507",7.4,6.7,8.1,8.2,8.4,8.1,8.8,8.4,7.9,8.8,8.8,10.4
020-02,amozoc,puebla-amozoc,ex-150d,141.713,"6,062",0.6,82.9,0.3,4.9,2.9,3.3,0.2,1.2,0.8,0.0,0.0,0.3,2.6,"2,212,688",7.2,6.8,8.1,8.1,8.5,8.5,8.8,8.4,8.0,9.1,8.7,9.8
020-03,amozoc,puebla- ent. amozoc,ex-150d,137.000,"10,547",0.6,74.3,0.3,4.4,4.1,3.6,0.5,7.4,0.8,0.3,0.0,2.3,1.4,"3,849,577",7.6,7.2,8.7,8.3,8.8,8.1,8.7,8.2,7.6,8.6,8.4,9.8
021-01,esperanza,acatzingo-cd. mendoza,ex-150d,217.500,"14,401",0.3,46.4,0.3,3.7,5.0,7.4,0.5,17.0,2.3,0.4,0.1,12.2,4.4,"5,256,257",7.9,6.8,8.2,8.3,8.5,8.1,8.7,8.2,7.7,8.6,8.5,10.5
021-02,esperanza,acatzingo-esperanza,ex-150d,217.500,"1,443",0.3,73.8,0.2,0.9,7.3,3.8,0.2,1.3,0.3,0.0,0.0,0.8,11.1,"526,649",7.1,6.7,7.8,7.7,8.4,8.2,9.1,9.0,8.7,9.1,8.5,9.7
021-03,esperanza,esperanza-cd. mendoza,ex-150d,217.500,"2,194",0.5,41.8,0.3,1.0,4.8,9.2,0.8,17.1,3.0,0.1,0.0,4.2,17.2,"800,905",7.7,7.1,8.2,8.4,8.7,8.2,8.5,8.3,7.9,8.7,8.6,9.7
022-01,fortín de las flores,cd. mendoza-córdoba,ex-150d,286.250,"22,201",1.1,56.3,0.2,4.3,4.9,6.1,0.6,13.6,2.1,0.3,0.2,9.0,1.3,"8,103,547",8.1,7.1,8.5,8.4,8.7,8.1,8.5,8.1,7.8,8.6,8.5,9.6
022-02,fortín de las flores,cd. mendoza-fortín,ex-150d,286.250,"12,144",4.0,83.1,0.1,1.8,3.4,3.2,0.2,1.7,0.4,0.0,0.1,1.1,0.9,"4,432,588",8.0,7.4,8.6,8.5,8.8,8.3,8.5,8.1,7.7,8.4,8.4,9.3
023,puente la piedad,irapuato-guadalajara,ex-090,89.100,"2,699",1.6,64.9,0.4,3.3,7.2,7.7,0.6,11.7,1.6,0.0,0.0,0.5,0.5,"985,226",12.3,8.9,14.4,15.7,6.3,3.0,3.3,4.4,5.7,7.1,8.2,10.7
024,puente tecolutla,veracruz-poza rica,ex-180,52.800,"5,064",7.0,69.8,0.5,3.4,4.2,3.2,0.3,6.4,1.6,0.0,0.0,3.0,0.6,"1,848,300",8.4,6.3,8.1,7.9,9.1,8.1,9.2,8.4,7.8,8.5,8.3,9.9
025,puente inter. las flores,nuevo progreso-progreso,ex-002,0.000,"1,573",0.1,90.7,0.2,0.0,0.2,1.7,0.1,2.5,0.6,0.1,0.0,3.8,0.0,"574,293",7.8,7.1,9.5,8.5,8.3,8.0,8.2,8.6,8.6,8.8,8.1,8.5
026,puente san juan,reynosa-nuevo laredo,ex-002,64.000,"2,571",0.1,71.5,1.7,0.6,3.9,2.0,0.3,5.6,1.2,0.1,0.0,10.1,2.9,"938,393",7.6,6.3,8.0,8.1,9.2,8.6,8.4,9.0,8.3,8.7,8.6,9.2
027,puente inter. ojinaga,ojinaga-presidio,ex-016,0.000,"1,480",0.1,93.5,2.4,0.2,1.7,0.3,0.4,1.2,0.1,0.0,0.1,0.0,0.0,"540,379",7.9,6.4,7.8,7.8,8.5,8.5,8.8,8.8,8.2,8.5,9.3,9.5
028,puente inter. paso del norte,cd. juárez-el paso,ex-045,0.000,"5,448",1.0,98.2,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988,541",7.0,6.4,7.4,8.0,8.7,8.3,8.6,8.7,8.9,9.6,9.8,8.6
029,compostela,chapalilla-compostela,ex-d,31.500,"6,223",1.3,81.7,0.4,5.8,3.0,2.6,0.2,3.0,1.0,0.0,0.0,0.5,0.5,"2,271,475",8.6,5.3,7.6,8.0,10.1,9.0,10.0,8.4,6.9,8.1,8.4,9.6
030,puente inter. rodolfo robles,cd. hidalgo-tecún umán,ex,27.500,"1,250",84.8,14.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,"456,281",7.2,7.1,7.5,6.6,7.7,7.8,8.9,8.4,8.4,9.0,10.1,11.3
031,puente inter. piedras negras,piedras negras-eagle pass,ex-057,0.000,"1,875",0.1,99.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"684,201",5.7,4.2,6.0,6.6,6.7,6.1,8.3,8.9,9.4,10.5,13.4,14.2
032,puente tlacotalpan,alvarado-tlacotalpan,ex-175,1.550,"1,426",10.0,80.3,1.1,2.5,2.6,2.1,0.1,0.7,0.1,0.0,0.0,0.0,0.5,"520,531",8.2,6.9,8.3,8.5,8.9,7.9,8.9,7.7,7.5,8.3,8.5,10.4
033,puente inter. acuña,cd. acuña-del río,ex-002,0.000,"3,646",0.3,94.0,0.8,0.0,1.3,0.6,0.1,2.9,0.0,0.0,0.0,0.0,0.0,"1,330,875",7.5,6.0,8.4,8.2,9.0,8.8,8.8,9.0,6.3,8.9,9.3,9.8
