"tollbooth_id","legacy_id","tollbooth_name","lat","lng","status","state","place","lines","type","manage","gate_to","anti_evation_sys","in_out"
58,932,"jiquipilas",16.6206277090753,-93.6004954576492,"open","chiapas","entronque",1,"toll","cas",,,
59,931,"ocotzocoautla",16.7384872011478,-93.40040439429,"open","chiapas","troncal",2,"toll","cas",,,
60,182,"ocozocoautla (ocuilapa)",16.8631775750317,-93.4068882465363,"open","chiapas","troncal",2,"toll","capufe",,,
61,60,"rodolfo robles",14.6770363349637,-92.149698242498,"open","chiapas","troncal",2,"toll","capufe","International-bridge",,
62,85,"suchiate ii",14.7021866493007,-92.1513919577735,"open","chiapas","troncal",4,"toll","capufe","International-bridge",,
63,1009,"camargo",27.7309024237273,-105.197653770447,"open","chihuahua","troncal",2,"toll","gob-chihuahua",,,
64,1013,"cuahutemoc",28.3273747476975,-106.550356149673,"open","chihuahua","troncal",3,"toll","gob-chihuahua",,,
65,1015,"galeana",30.0043214414038,-107.242525757291,"open","chihuahua","troncal",3,"toll","gob-chihuahua",,,
66,1026,"guadalupe",31.4119403677757,-106.195569634438,"open","chihuahua","troncal",5,"toll","coconal",,,
67,1016,"jeronimo",31.5769176069339,-106.666619181633,"open","chihuahua","troncal",3,"toll","gob-chihuahua",,,
68,1010,"jimenez",27.2449435992244,-104.933225512505,"open","chihuahua","troncal",3,"toll","gob-chihuahua",,,
69,228,"jimenez",28.6035035673969,-105.951322317123,"open","chihuahua","troncal",1,"toll","c&g",,,
70,1017,"ojinaga",29.0551896398488,-105.104865431786,"open","chihuahua","troncal",2,"toll","gob-chihuahua",,,
71,50,"ojinaga",29.5605652918021,-104.396486664333,"open","chihuahua","troncal",4,"toll","capufe","International-bridge",,
72,1012,"ojo laguna",29.481699840214,-106.406702399254,"open","chihuahua","troncal",2,"toll","gob-chihuahua",,,
73,1027,"puente guadalupe tornillo",31.4310268102129,-106.151693497091,"open","chihuahua","troncal",4,"toll","gob-chihuahua","International-bridge",,
74,1028,"puente lerdo-stanton",31.7465579062888,-106.48216578803,"open","chihuahua","troncal",2,"toll","capufe","International-bridge",,
75,1033,"puente paso del norte",31.7459080517176,-106.486426610614,"open","chihuahua","troncal",2,"toll","gob-chihuahua","International-bridge",,
76,1036,"puente zaragoza-ysleta",31.6710262350253,-106.340205782745,"open","chihuahua","troncal",3,"toll","gob-chihuahua","International-bridge",,
77,229,"sacramento",28.790533449552,-106.139248609543,"open","chihuahua","troncal",1,"toll","c&g",,,
78,1011,"sacramento",28.8604089689124,-106.216464042664,"open","chihuahua","troncal",1,"toll","gob-chihuahua",,,
79,1008,"saucillo",28.0464030637374,-105.329328775406,"open","chihuahua","troncal",3,"toll","gob-chihuahua",,,
80,1014,"savalza",27.0821925863317,-104.841628074646,"open","chihuahua","troncal",2,"toll","gob-chihuahua",,,
81,1006,"villa ahumada",30.4370745523106,-106.521828174591,"open","chihuahua","troncal",4,"toll","gob-chihuahua",,,
82,65,"acuña",29.3252643429945,-100.928434415453,"open","coahuila","troncal",2,"toll","capufe","International-bridge",,
83,586,"agujita-allende",28.3034030062659,-100.9099817276,"open","coahuila","troncal",3,"toll","supercarreteras",,,
84,142,"huachichil",25.245414058105,-100.801384449005,"open","coahuila","troncal",2,"toll","capufe",,,
85,140,"la carbonera",25.5111058882902,-100.868310275897,"open","coahuila","troncal",8,"toll","capufe",,,
86,163,"la cuchilla",25.6270412986567,-102.878374457359,"open","coahuila","troncal",4,"toll","capufe",,,
87,491,"ojo caliente",25.6162596835307,-100.908422827854,"open","coahuila","entronque",2,"toll","cams",,,
88,491,"ojo caliente",25.6156450794724,-100.90846814541,"open","coahuila","entronque",2,"toll","cams",,,
90,491,"ojo caliente",25.6121529709075,-100.913323760033,"open","coahuila","troncal",6,"toll","cams",,,
91,491,"ojo caliente",25.6122980902667,-100.913463234901,"open","coahuila","entronque",5,"toll","cams",,,
92,62,"piedras negras",28.7052448524306,-100.51302386597,"open","coahuila","troncal",2,"toll","hoatsa","International-bridge",,
93,1023,"piedras negras 2",28.6970759057615,-100.512482976359,"open","coahuila","troncal",4,"toll","hoatsa","International-bridge",,
94,162,"play de ayala",25.4442289019082,-101.303901672363,"open","coahuila","troncal",2,"toll","capufe",,,
95,488,"san pedro torreon",25.6492966042434,-103.361385878355,"open","coahuila","entronque",1,"toll","acsa",,,
96,488,"san pedro torreon",25.6504438552427,-103.369240164757,"open","coahuila","troncal",3,"toll","acsa",,,
97,488,"san pedro torreon",25.6505674295759,-103.36921190204,"open","coahuila","troncal",4,"toll","acsa",,,
98,488,"san pedro torreon",25.6490154622064,-103.361503470303,"open","coahuila","entronque",1,"toll","acsa",,,
100,492,"torreon",25.4483559962584,-101.067126989365,"open","coahuila","entronque",4,"toll","cams",,,
101,492,"torreon",25.4569339867021,-101.063527258939,"open","coahuila","entronque",3,"toll","cams",,,
102,492,"torreon",25.4569681858554,-101.063822507858,"open","coahuila","entronque",1,"toll","cams",,,
104,492,"torreon",25.4483124009305,-101.066955327988,"open","coahuila","troncal",3,"toll","cams",,,
105,901,"cuyutlan",18.9278246746731,-104.081492397101,"open","colima","troncal",8,"toll","pinfra",,,
106,160,"bermejillo",25.9238052339173,-103.622205735086,"open","durango","troncal",2,"toll","capufe",,,
107,161,"ceballos",26.5866900367238,-104.057686077103,"open","durango","troncal",2,"toll","capufe",,,
108,197,"coscomate",23.70623004897,-105.571272458559,"open","durango","troncal",4,"toll","capufe",,,
109,482,"cuencame",24.981086359403,-103.736675248492,"open","durango","entronque",2,"toll","acsa",,,
110,482,"cuencame",24.9804465520345,-103.734441058058,"open","durango","entronque",1,"toll","acsa",,,
111,482,"cuencame",24.980414562991,-103.734302306606,"open","durango","entronque",2,"toll","acsa",,,
112,482,"cuencame",24.9810140464105,-103.736593321835,"open","durango","entronque",1,"toll","acsa",,,
113,482,"cuencame",24.9816672268594,-103.735281229019,"open","durango","troncal",3,"toll","acsa",,,
114,480,"durango",24.1317837009969,-104.534118175507,"open","durango","troncal",3,"toll","acsa",,,
115,198,"durango capufe",24.00517,-104.734501,"open","durango","troncal",4,"toll","capufe","bypass",,
117,483,"leon guzman",25.5194534454728,-103.639318424487,"open","durango","entronque",2,"toll","acsa",,,
118,483,"leon guzman",25.52065277795,-103.639694771618,"open","durango","entronque",1,"toll","acsa",,,
119,483,"leon guzman",25.5195498106948,-103.639733039609,"open","durango","entronque",2,"toll","acsa",,,
120,96,"llano grande",23.8708050159367,-105.191435760013,"open","durango","troncal",3,"toll","capufe",,,
121,481,"yerbanis",24.730753,-103.861954,"open","durango","troncal",3,"toll","acsa",,,
122,316,"a-32 bis",19.7042822667285,-99.0886173858502,"open","edomx","entronque",6,"toll","cem",,1,
123,442,"acambay",19.9234930599427,-99.8442488908768,"open","edomx","entronque",2,"toll","arconorte",,,
124,436,"ajoloapan",19.9558772322749,-99.0554418856879,"open","edomx","entronque",2,"toll","arconorte",,0,
125,436,"ajoloapan",19.9561077051433,-99.0533617790827,"open","edomx","entronque",2,"toll","arconorte",,0,
126,436,"ajoloapan",19.9554716865023,-99.0527782522661,"open","edomx","entronque",1,"toll","arconorte",,0,
127,436,"ajoloapan",19.9564415219751,-99.0554878574819,"open","edomx","entronque",1,"toll","arconorte",,0,
