index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
001,puente sinaloa,guamúchil-guasave,mex-015,132.3,4223,0.3,55.8,0.6,7.5,4.0,3.7,0.5,17.6,1.7,0.3,0.1,6.6,1.3,1545759,22.2,18.3,14.5,2.8,2.8,2.9,3.2,2.4,1.5,1.5,2.6,25.3
002,puente pánuco,alazán-canoas,mex-127,172.1,4518,4.4,78.2,0.5,7.3,3.8,1.6,0.3,1.7,0.9,0.0,0.0,0.7,0.6,1653696,9.2,8.5,8.4,6.6,7.5,8.1,7.9,8.0,7.8,8.7,9.0,10.3
003,puente coatzacoalcos,coatzacoalcos-nuevo teapa,mex-180,2.0,12482,3.0,83.7,0.1,6.2,1.9,2.0,0.0,0.9,1.0,0.0,0.0,1.2,0.0,4568550,9.8,9.0,9.3,7.2,7.0,7.2,8.0,8.6,8.4,8.5,8.1,8.9
004,puente culiacán,culiacán-el limón,mex-015,22.0,1939,1.0,84.0,0.6,3.7,2.8,1.4,0.2,3.3,0.8,0.0,0.0,0.1,2.1,709771,25.4,23.3,2.5,1.0,0.9,0.8,0.8,0.8,0.8,0.8,3.7,39.2
005,puente alvarado,paso del toro-san andrés tuxtla,mex-180,49.57,4013,5.9,75.4,0.6,6.9,4.1,3.4,0.1,1.6,0.8,0.0,0.0,0.2,1.0,1468732,9.4,8.6,8.4,6.4,6.9,7.3,8.0,8.5,8.2,9.0,8.8,10.5
006,puente inter. matamoros,matamoros-brownsville,mex-101-180,0.21,2194,0.2,99.6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803145,11.9,10.2,9.1,5.1,8.0,8.3,7.4,7.4,6.5,8.5,8.5,9.1
007,puente papaloapan,tierra blanca-loma bonita,mex-145,3.5,1930,11.9,55.4,4.7,3.3,7.1,6.9,0.3,7.6,0.7,0.0,0.0,1.5,0.6,706528,8.5,8.3,8.3,7.0,8.0,7.5,7.3,8.0,8.2,10.7,8.1,10.1
008,puente caracol,tuxtepec-cosamaloapan,mex-175,117.2,5626,8.2,68.1,0.7,8.7,3.6,2.7,0.1,1.9,0.4,0.0,0.0,5.1,0.5,2058990,9.7,8.7,9.0,6.9,7.2,7.4,7.9,8.3,8.4,7.9,8.7,9.9
009,puente inter. camargo,camargo-río grande,mex-002,0.0,782,0.1,86.8,0.9,0.0,0.2,0.3,0.0,4.7,0.1,0.0,0.0,6.9,0.0,286308,11.5,11.1,10.8,5.8,8.9,8.1,7.8,8.1,6.3,7.0,7.3,7.3
010,puente nautla,nautla-cardel,mex-180,0.7,4652,2.0,65.1,0.8,6.7,4.9,4.4,0.3,7.0,2.3,0.1,0.0,5.4,1.0,1702692,9.7,8.5,8.9,6.3,6.7,7.2,8.1,8.3,8.2,9.1,9.0,10.0
011,playas de tijuana,tijuana-rosarito,mex-001d,11.0,15335,0.9,97.0,0.3,0.3,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.5,5612686,9.0,9.0,6.8,3.7,5.2,6.8,8.7,11.2,10.7,10.8,9.8,8.3
012,rosarito,rosarito-la misión,mex-001d,35.427,9962,0.7,88.2,0.7,1.1,1.9,0.5,0.1,3.0,0.2,0.0,0.0,0.7,2.9,3645923,9.1,9.2,6.9,3.4,4.9,6.5,8.7,11.2,10.7,10.8,9.8,8.8
013,nodo popotla,la misión-corredor 2000,mex-001d,38.6,2322,0.2,55.5,0.7,0.1,4.4,2.1,0.5,28.8,1.2,0.1,0.2,5.8,0.4,849889,8.2,7.8,6.9,4.8,5.6,7.3,9.4,11.5,10.7,10.6,9.0,8.2
014,ensenada,la misión-ensenada,mex-001d,98.599,10850,0.5,81.2,0.7,1.2,3.2,1.0,0.2,8.6,0.4,0.0,0.1,1.7,1.2,3971039,10.3,10.1,7.9,4.1,4.8,6.5,8.6,10.8,10.6,7.2,9.9,9.2
015,puente inter. miguel alemán,cd. alemán-roma,mex-002,0.0,1205,0.0,95.3,0.7,0.1,0.2,0.2,0.1,3.4,0.0,0.0,0.0,0.0,0.0,440944,12.6,11.9,10.1,4.9,7.6,7.9,6.8,7.1,6.0,7.8,8.5,8.8
016,puente inter. reynosa,reynosa-hidalgo,mex-040,0.0,2887,0.1,98.8,0.3,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056668,14.4,11.3,10.1,6.0,6.8,6.9,6.4,7.3,7.1,7.9,7.5,8.3
017,puente grijalva,villahermosa-aquiles serdán,mex-186,17.6,12141,3.0,76.8,0.6,3.8,3.6,2.1,0.3,4.6,1.5,0.1,0.0,2.9,0.7,4443451,10.0,9.3,9.1,5.8,5.5,7.0,8.3,8.7,8.6,8.9,8.7,10.1
018,puente usumacinta,ent. emiliano zapata-san marcos,mex-186,145.2,3382,6.1,58.8,0.9,3.6,4.4,4.2,0.4,11.0,1.8,0.4,0.0,8.0,0.4,1237991,10.0,8.7,9.0,6.2,6.1,7.1,7.9,8.0,8.8,8.1,9.5,10.6
019,puente cadereyta,monterrey-reynosa,mex-040,30.5,4916,1.3,67.8,0.4,0.4,4.1,3.7,0.4,11.1,2.3,0.2,0.2,5.1,3.0,1799335,8.3,8.1,8.2,6.4,7.4,8.4,8.4,8.9,8.7,9.2,8.9,9.1
020-01,amozoc,puebla-acatzingo,mex-150d,141.713,26881,0.4,62.8,0.2,3.6,5.6,6.2,0.4,10.1,1.6,0.2,0.0,6.3,2.6,9838519,9.9,8.7,8.7,6.3,6.5,7.1,8.1,8.4,8.3,9.0,8.9,10.1
020-02,amozoc,puebla-amozoc,mex-150d,141.713,5461,0.5,81.3,0.3,5.5,3.2,4.1,0.2,1.4,1.1,0.0,0.0,0.3,2.1,1998585,9.8,8.9,8.7,6.5,6.8,7.4,8.2,8.5,8.4,8.8,8.6,9.4
020-03,amozoc,puebla-ent. amozoc,mex-150d,137.0,9866,0.5,72.4,0.2,4.6,4.4,4.0,0.5,7.5,1.0,0.4,0.1,2.9,1.5,3611022,10.3,9.3,8.6,5.2,5.6,6.6,8.2,8.7,8.5,9.6,9.3,10.1
021-01,esperanza,acatzingo-cd. mendoza,mex-150d,217.5,12112,0.3,44.5,0.2,3.8,5.5,7.7,0.5,17.2,2.4,0.3,0.1,12.4,5.1,4433111,9.8,8.5,8.7,6.4,6.4,7.0,8.0,8.3,8.2,9.0,8.9,10.8
021-02,esperanza,acatzingo-esperanza,mex-150d,217.5,1295,0.3,72.7,0.2,0.2,7.4,4.1,0.3,1.5,0.4,0.0,0.0,0.8,12.1,474138,8.8,8.2,8.2,6.6,7.1,7.4,8.3,8.7,8.8,9.3,8.9,9.7
021-03,esperanza,esperanza-cd. mendoza,mex-150d,217.5,1842,0.4,40.1,0.3,1.1,5.5,10.1,0.8,18.2,2.9,0.1,0.0,4.0,16.5,674135,8.5,7.8,8.3,6.8,7.3,7.8,8.4,8.5,8.4,9.2,9.0,10.0
022-01,fortín de las flores,cd. mendoza-córdoba,mex-150d,286.25,19432,1.2,56.1,0.2,4.3,5.0,6.5,0.6,13.3,2.1,0.3,0.2,8.8,1.4,7112193,9.6,8.8,8.8,6.6,6.7,7.1,7.9,8.1,8.3,9.1,8.8,10.2
