index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
022-02,fortín de las flores,cd. mendoza-fortín,mex-150d,286.25,11625,3.9,83.3,0.1,1.3,3.5,3.5,0.2,1.8,0.4,0.0,0.0,1.2,0.8,4254725,9.3,9.2,9.2,7.0,7.2,7.4,7.9,8.1,8.1,8.7,8.4,9.5
023,puente la piedad,irapuato-guadalajara,mex-090,89.1,3227,0.9,47.1,0.4,5.9,9.3,10.1,0.8,21.5,2.4,0.0,0.0,1.1,0.5,1180906,8.7,7.9,7.8,6.6,7.6,7.7,8.2,8.0,8.0,9.4,9.8,10.3
024,puente tecolutla,veracruz-poza rica,mex-180,52.8,4243,5.9,65.9,0.4,5.2,4.9,3.5,0.3,6.9,2.1,0.1,0.0,4.2,0.6,1552988,9.3,8.4,9.0,5.8,6.3,7.0,8.3,8.7,8.3,9.6,9.3,10.0
025,puente inter. las flores,nuevo progreso-progreso,mex-002,0.0,1253,0.1,88.5,0.2,0.0,0.3,2.0,0.1,3.6,0.7,0.1,0.1,4.3,0.0,458467,10.1,10.3,8.8,4.8,6.8,7.4,7.2,8.0,8.5,9.3,9.2,9.6
026,puente san juan,reynosa-nuevo laredo,mex-002,64.0,2277,0.1,66.5,1.8,1.3,4.4,1.9,0.4,5.0,1.3,0.1,0.0,14.4,2.8,833245,8.3,8.1,8.4,5.9,7.1,8.1,9.0,9.1,8.6,9.5,9.1,8.8
027,puente inter. ojinaga,ojinaga-presidio,mex-016,0.0,1370,0.1,93.6,2.4,0.2,1.7,0.2,0.4,1.2,0.1,0.0,0.1,0.0,0.0,501259,11.1,10.1,9.4,4.8,7.2,7.3,8.8,9.0,8.4,8.4,7.7,7.8
028,puente inter. paso del norte,cd. juárez-el paso,mex-045,0.0,4330,1.0,98.2,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584906,11.8,11.5,9.6,4.6,7.0,8.0,9.0,8.4,7.3,7.8,6.9,8.1
029,compostela,chapalilla-compostela,mex-d,31.5,3401,1.2,77.5,0.4,8.7,3.4,2.7,0.2,2.9,0.8,0.0,0.1,1.4,0.7,1244852,13.8,11.0,11.3,4.1,3.6,0.8,2.4,2.5,3.8,15.8,15.2,15.7
030,puente inter. rodolfo robles,cd. hidalgo-tecún umán,mex,27.5,593,85.2,14.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216960,16.5,19.3,11.6,0.2,0.2,0.3,0.5,0.7,4.5,13.0,15.1,18.1
031,puente inter. piedras negras,piedras negras-eagle pass,mex-057,0.0,1571,0.1,99.3,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574876,18.0,17.2,14.1,4.8,5.1,5.6,5.5,5.6,5.4,6.3,6.1,6.3
032,puente tlacotalpan,alvarado-tlacotalpan,mex-175,1.55,1228,9.5,78.0,1.3,4.6,2.8,2.2,0.1,0.7,0.2,0.0,0.0,0.0,0.6,449377,9.7,10.8,8.3,6.1,6.7,7.1,7.4,8.0,8.1,8.9,8.6,10.3
033,puente inter. acuña,cd. acuña-del río,mex-002,0.0,3050,0.3,93.2,0.7,0.0,1.3,0.8,0.2,3.5,0.0,0.0,0.0,0.0,0.0,1116426,11.1,10.5,9.0,5.1,6.9,7.9,6.8,8.1,7.9,9.1,8.8,8.8
034,puente inter. laredo,nuevo laredo-laredo,mex-085,0.0,846,0.5,99.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76983,,,,,,,,,,37.6,31.7,30.7
035,puente inter. juárez-lincoln,nuevo laredo-laredo,mex-085,0.0,5019,0.6,97.2,0.8,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836914,12.7,11.7,9.7,5.7,8.1,8.0,7.9,7.7,5.9,7.1,7.5,8.0
036,puente antonio dovalí jaime,cosoleacaque-nuevo teapa,mex-145d,6.5,11020,1.1,47.6,0.4,4.9,5.6,6.7,0.5,16.3,4.8,0.4,0.0,10.3,1.4,4033211,9.5,8.4,8.9,6.7,6.7,7.1,8.2,8.3,8.2,9.4,8.8,9.8
037,puente antonio dovalí jaime bis,puente dovalí jaime-nuevo teapa,mex-145d,6.5,585,6.8,88.5,0.1,0.2,3.6,0.6,0.0,0.1,0.1,0.0,0.0,0.0,0.0,214223,9.0,8.8,8.9,7.3,7.7,7.1,7.8,8.1,8.0,9.2,8.3,9.8
038,puente tampico,tampico el alto-tampico,mex-180,191.8,7051,0.9,87.3,0.3,5.1,3.1,1.1,0.1,0.8,0.2,0.0,0.0,0.5,0.6,2580595,9.1,7.9,7.9,6.0,7.3,7.8,8.2,8.5,8.1,9.1,9.2,10.9
039,tehuacán,cuacnopalan-tehuacán,mex-135d,41.048,9274,0.5,68.6,0.2,3.2,6.4,5.9,0.6,6.7,1.4,0.2,0.1,3.1,3.1,3394445,10.3,8.8,8.8,6.1,6.2,6.8,7.8,8.1,8.0,9.3,9.3,10.5
040,miahuatlán,tehuacán-miahuatlán,mex-135d,71.415,4229,0.7,65.5,0.4,4.5,5.7,8.0,0.6,7.0,1.7,0.2,0.1,4.2,1.4,1547912,11.5,8.6,8.8,5.6,5.6,6.1,7.7,8.1,7.9,9.2,9.5,11.4
041-01,coixtlahuaca,miahuatlán-coixtlahuaca,mex-135d,141.3,531,0.8,71.1,0.3,5.6,7.1,6.1,0.1,4.1,2.1,0.0,0.0,0.1,2.6,194428,10.9,8.9,9.3,6.1,5.8,6.7,8.3,8.2,8.0,9.0,8.9,9.9
041-02,coixtlahuaca,miahuatlán-nochixtlán,mex-135d,141.3,3449,0.7,63.2,0.4,4.6,5.8,8.5,0.7,7.9,1.6,0.3,0.2,5.1,1.0,1262378,11.5,8.8,8.8,5.4,5.5,6.0,7.6,8.0,7.9,9.2,9.6,11.7
042-01,huitzo,nochixtlan-oaxaca,mex-135d,217.01,5082,0.9,71.7,0.3,3.0,5.0,5.4,0.3,5.1,1.0,0.2,0.1,3.2,3.8,1860027,11.5,9.4,9.1,5.3,5.7,6.1,7.6,8.1,7.9,8.8,9.4,11.1
042-02,huitzo,nochixtlan-huitzo,mex-135d,217.01,402,1.7,72.2,0.6,1.2,7.0,5.6,0.2,3.3,1.9,0.0,0.0,0.4,5.9,146980,9.2,7.8,8.3,5.9,6.8,7.0,8.1,8.4,9.0,9.8,9.0,10.7
043,huitzo bis,huitzo-oaxaca,mex-135d,217.01,695,2.4,92.0,0.1,0.3,1.6,0.5,0.0,0.1,0.0,0.0,0.0,0.0,3.0,254391,11.3,9.8,9.0,5.7,6.1,6.3,7.2,7.9,7.8,9.5,8.8,10.6
044,centinela,centinela-rumorosa,mex-002d,61.7,9099,0.2,77.5,0.0,3.6,2.3,1.3,0.2,10.6,0.5,0.2,0.1,3.5,0.0,3330267,9.4,8.7,8.0,4.6,5.6,6.7,8.6,9.5,10.0,10.3,9.3,9.3
045-01,el hongo,rumorosa-tecate,mex-002d,92.36,6682,0.3,66.6,0.9,3.4,3.7,1.6,0.5,15.6,0.8,0.3,0.1,5.3,0.9,2445508,9.4,8.7,8.0,4.6,5.6,6.7,8.6,9.5,10.0,10.3,9.3,9.3
045-02,el hongo,el hongo-tecate,mex-002d,92.36,803,0.4,87.9,1.7,0.3,1.5,0.6,0.3,2.5,0.5,0.0,0.0,0.1,4.2,293970,7.2,7.0,6.3,4.8,7.7,8.1,9.4,10.7,10.2,9.8,10.0,8.8
045-03,el hongo,rumorosa-el hongo,mex-002d,92.36,139,0.4,83.7,1.7,0.8,1.8,0.5,0.2,1.8,0.3,0.0,0.0,0.2,8.6,50872,7.2,7.0,7.0,4.2,6.2,7.0,10.4,14.2,10.4,9.6,8.6,8.2
046-01,tijuana,tecate-tijuana,mex-002d,147.6,7604,0.4,70.2,0.5,1.3,4.6,1.9,0.6,14.4,0.8,0.1,0.0,3.5,1.7,2782893,8.7,8.3,7.5,4.5,6.0,7.3,8.9,10.1,9.6,10.2,9.6,9.3
046-02,tijuana,ent. tecate-paso del águila aux. 1,mex-002d,130.5,1436,0.5,73.0,0.8,0.4,4.9,2.3,1.1,12.8,1.6,0.2,0.0,0.9,1.5,525616,7.5,7.3,7.0,5.8,7.9,8.1,9.2,10.3,9.5,9.4,8.7,9.3
046-03,tijuana,ent. esperanza-ent. sandoval aux. 2,mex-002d,122.8,3397,0.3,84.8,0.9,1.0,2.9,0.9,0.4,4.4,0.6,0.1,0.0,2.4,1.3,1243212,8.1,7.9,7.8,7.1,6.3,7.2,8.7,10.5,9.6,9.7,8.7,8.4
046-04,tijuana,paso del águila-tijuana,mex-002d,130.5,325,0.0,30.8,0.0,0.0,1.3,1.9,0.0,65.6,0.1,0.0,0.0,0.3,0.0,119014,11.4,11.3,9.0,2.0,3.5,8.2,8.7,9.3,9.6,10.2,8.6,8.2
046-05,tijuana,ent. planta dart-tijuana,mex-002d,137.8,132,0.0,79.1,0.0,0.0,0.7,0.6,14.2,5.4,0.0,0.0,0.0,0.0,0.0,48191,9.1,8.3,8.4,8.2,6.8,8.2,8.6,8.5,8.4,8.9,8.3,8.3
047,puente inter. shuchiate ii ing. luis cabrer,hidalgo-tecún umán,mex,0.0,337,0.0,3.3,0.1,0.4,5.3,7.2,0.3,69.9,12.5,0.2,0.0,0.8,0.0,123519,8.4,9.1,8.7,6.6,6.2,7.4,8.3,8.3,8.1,9.3,9.6,10.0
048-01,aeropuerto los cabos,san josé del cabo-aeropuerto los cabos,mex-001d,105.1,1106,0.1,98.1,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,404666,16.3,16.2,11.6,0.7,0.8,2.2,5.2,6.7,7.0,10.6,11.8,10.9
048-02,aeropuerto los cabos,cabo san lucas-aeropuerto los cabos,mex-001d,105.1,343,0.2,98.0,0.3,0.1,0.4,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.7,125719,15.4,14.0,11.0,1.7,1.9,3.6,6.0,7.0,7.3,10.0,10.5,11.6
048-03,aeropuerto los cabos,el mangle-aeropuerto los cabos,mex-001d,105.1,239,0.2,86.0,0.8,0.4,1.7,1.1,0.1,2.2,1.5,0.1,0.0,2.6,3.3,87514,14.2,13.4,10.6,2.1,2.4,3.9,5.9,7.0,7.7,10.1,11.1,11.6
049-01,san josé del cabo,aeropuerto los cabos-san josé del cabo,mex-001d,110.21,1176,0.1,98.0,0.1,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,430255,16.7,16.6,10.8,0.7,0.8,2.3,5.2,6.3,7.0,10.7,11.4,11.5
049-02,san josé del cabo,cabo san lucas-san josé del cabo,mex-001d,110.21,54,0.8,92.3,0.6,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.6,19820,15.3,14.0,10.6,2.3,3.1,5.4,7.0,7.2,7.2,7.9,9.0,11.0
049-03,san josé del cabo,el mangle-san josé del cabo,mex-001d,110.21,248,0.6,86.0,0.8,0.3,2.7,1.0,0.1,0.7,0.3,0.1,0.0,0.0,7.4,90757,12.4,12.0,9.3,3.1,3.9,6.0,7.5,7.9,7.8,9.1,10.1,10.9
050,zacatecas,ent. cuauhtémoc-ent. osiris,mex-045d,97.8,7538,0.3,48.5,0.8,7.1,5.0,5.4,0.9,18.1,3.8,0.5,0.0,9.3,0.3,2758938,9.7,8.6,8.3,5.4,6.4,7.8,8.7,9.2,8.5,9.0,9.0,9.4
051,chiapa de corzo,tuxtla gutiérrez-san cristóbal de las casas,mex-190d,1.3,10588,0.7,87.7,0.1,2.3,3.8,1.8,0.1,1.7,0.7,0.0,0.0,0.6,0.5,3875390,10.4,8.9,9.1,6.4,6.6,6.8,8.0,8.7,8.6,8.7,6.8,11.0
052,tehuantepec,tehuantepec-salina cruz,mex-185d,1.8,728,2.6,73.5,0.5,1.2,5.3,4.8,0.4,5.5,2.7,0.0,0.0,1.7,1.8,266526,11.5,8.2,8.2,4.9,5.3,6.4,7.4,8.0,8.9,9.4,9.4,12.4
053-01,ixtepec,ixtepec-la ventosa,mex-185d,47.5,520,1.3,74.4,0.3,1.0,11.5,2.4,0.3,3.0,1.6,0.0,0.0,2.2,2.0,190222,9.8,8.4,8.3,7.0,7.4,7.8,7.5,7.8,8.6,8.7,8.4,10.3
053-02,ixtepec,ixtepec-tehuantepec,mex-185d,47.5,826,3.4,85.8,0.2,0.3,6.1,1.2,0.2,0.6,0.2,0.0,0.0,0.0,2.0,302395,10.9,9.8,9.1,5.9,6.7,6.7,7.0,7.4,8.2,9.0,8.6,10.7
053-03,ixtepec,tehuantepec-la ventosa,mex-185d,47.5,1084,0.7,58.4,0.4,0.7,5.5,6.6,0.5,8.0,5.0,0.2,0.5,11.4,2.1,396861,9.5,8.2,7.6,5.6,6.3,6.8,7.9,8.3,8.9,9.4,9.4,12.1
054,acatlán de juárez,acatlán-atoyac,mex-054d,0.6,12088,0.4,60.6,0.3,2.0,4.8,4.0,0.9,8.1,4.2,0.4,0.2,10.0,4.1,4424107,10.2,9.1,8.2,5.3,6.3,7.2,8.0,8.4,8.3,9.2,9.2,10.6
055,sayula,atoyac-cd. guzmán,mex-054d,58.3,12059,0.4,56.1,0.3,1.9,5.0,4.9,1.1,9.4,5.2,0.4,0.2,10.3,4.8,4413619,10.0,8.9,8.2,5.6,6.5,7.2,8.2,8.3,8.2,9.1,9.2,10.6
056,sayula remota,sayula-cd. guzmán,mex-054d,64.6,1286,0.8,74.6,0.4,0.9,8.2,6.7,0.5,4.8,2.4,0.0,0.0,0.7,0.0,470829,9.1,8.5,6.3,6.8,7.6,7.6,8.3,7.8,8.3,9.2,9.6,10.9
057,san marcos,cd. guzmán-el trapiche,mex-054d,122.5,10769,0.3,48.8,0.3,1.9,7.9,6.5,1.3,14.1,6.9,0.5,0.2,11.2,0.1,3941586,9.1,8.0,7.3,4.9,5.2,6.2,7.3,7.3,7.2,19.3,8.5,9.7
058,ent. trapichillo,tepic-ent. trapichillo,mex-015d,6.3,2367,2.4,91.7,0.2,0.7,1.5,1.3,0.0,0.4,0.1,0.0,0.0,0.0,1.7,866498,9.4,7.7,8.2,5.9,6.2,6.9,7.3,7.5,8.1,10.4,10.4,12.0
059,trapichillo,tepic-san blas,mex-015d,8.65,5496,0.5,13.1,0.0,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,85.5,2011485,20.5,20.0,21.4,15.3,17.6,0.7,0.7,0.7,0.7,0.7,0.7,1.0
060-01,yago,ent. san blas-yago,mex-015d,42.31,403,2.5,76.1,0.3,2.2,3.0,2.2,0.2,3.2,0.4,0.0,0.0,0.6,9.3,147433,10.4,8.6,8.8,5.5,6.5,7.9,8.2,8.1,7.4,8.1,8.8,11.7
060-02,yago,yago-est. ruíz,mex-015d,42.31,156,14.8,49.6,0.8,0.3,3.3,5.0,0.3,5.0,1.0,0.0,0.0,0.7,19.2,57046,8.3,7.1,8.1,6.0,7.7,8.9,9.7,10.9,10.9,7.6,6.8,8.0
061-01,estación ruíz,yago-rosa morada,mex-015d,52.81,4897,0.6,45.5,0.7,4.4,3.6,4.5,1.4,26.9,2.1,0.5,0.1,7.6,2.1,1792322,10.1,8.3,9.0,7.3,7.3,7.9,8.7,8.7,5.5,8.5,8.4,10.3
061-02,estación ruíz,ruiz-rosa morada,mex-015d,52.81,701,14.1,61.8,0.9,4.4,4.2,3.1,0.3,2.4,1.1,0.0,0.0,0.1,7.6,256557,9.7,8.5,10.0,7.1,7.6,8.8,9.0,9.1,8.7,7.1,6.8,7.6
061-03,estación ruíz,yago-ruíz,mex-015d,52.81,647,0.0,79.3,0.0,2.3,2.4,1.3,0.0,0.8,0.2,0.0,0.0,0.0,13.7,236780,10.3,9.0,10.7,7.6,8.1,9.3,9.6,9.6,8.9,5.2,5.3,6.4
062-01,acaponeta,acaponeta-escuinapa,mex-015d,73.4,145,0.2,38.5,0.3,9.9,11.0,12.6,0.9,12.7,2.5,0.2,0.2,11.0,0.0,53048,9.9,8.3,8.8,6.5,6.6,7.5,8.6,8.3,8.2,8.1,9.2,10.0
062-02,acaponeta,rosa morada-escuinapa,mex-015d,73.4,4133,1.2,40.7,1.0,4.3,3.7,4.4,1.6,28.9,2.8,0.6,0.1,8.7,2.0,1512573,9.9,8.3,8.8,6.5,6.6,7.5,8.6,8.3,8.2,8.5,8.5,10.3
062-03,acaponeta,rosa morada-acaponeta,mex-015d,73.4,847,0.9,58.7,0.6,2.7,2.5,4.9,0.3,3.2,0.5,0.0,0.0,0.3,25.4,310101,10.8,9.4,9.6,7.7,7.6,9.6,9.8,10.0,10.1,4.9,4.7,5.8
063-01,rosario,escuinapa-villa unión,mex-015d,199.486,4445,0.3,47.4,1.0,4.5,3.3,4.2,1.4,26.4,2.1,0.5,0.0,7.1,1.8,1627039,10.0,8.7,9.1,6.5,6.5,7.1,8.0,8.2,8.0,8.3,8.7,10.9
063-02,rosario,escuinapa-rosario,mex-015d,199.486,100,0.7,69.7,1.1,12.4,7.0,5.3,0.6,2.5,0.5,0.0,0.0,0.2,0.0,36449,10.2,8.7,9.1,6.5,6.5,7.1,8.0,8.2,8.0,8.3,8.7,10.7
063-03,rosario,rosario-villa uníón,mex-015d,199.486,914,0.9,68.2,0.5,13.1,3.1,2.2,0.4,2.2,0.5,0.0,0.0,0.3,8.6,334535,9.9,8.8,9.5,6.0,6.9,8.1,8.7,9.1,8.2,8.1,8.2,8.5
064,villa ahumada,el sueco-villa ahumada,mex-045,219.0,5334,0.0,68.9,0.5,4.2,3.3,1.9,0.6,17.0,1.1,0.3,0.0,2.2,0.0,1952111,10.2,8.1,9.4,9.9,8.8,9.4,11.5,10.2,5.5,5.5,4.5,7.0
065,santa fe,constituyentes-santa fe,mex-015d,17.626,12402,1.3,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4539051,16.6,16.2,11.4,2.7,3.0,4.2,5.7,6.9,7.8,9.1,8.5,7.9
066,contadero,constituyentes-contadero,mex-015d,23.43,1743,0.6,92.7,0.1,1.0,2.2,0.9,0.0,0.3,0.0,0.0,0.0,0.0,2.2,637918,15.3,15.1,10.8,3.8,4.1,4.8,5.7,6.8,7.4,8.9,8.4,8.9
067-01,la venta,constituyentes-la marquesa,mex-015d,24.0,31960,0.9,89.4,0.1,2.9,2.5,0.9,0.1,1.4,0.1,0.0,0.0,0.6,1.1,11697202,12.3,11.8,9.6,4.1,4.3,5.5,7.3,8.4,8.4,9.6,9.3,9.4
067-02,la venta,constituyentes-la venta,mex-015d,24.0,1229,0.9,91.4,0.0,1.0,2.3,1.1,0.1,0.7,0.1,0.0,0.0,0.0,2.4,449994,14.5,15.0,11.3,2.8,2.9,4.1,6.1,7.7,8.3,10.0,8.9,8.4
067-03,la venta,la  venta-la marquesa,mex-015d,24.0,14971,0.7,73.4,0.1,0.9,6.1,3.5,0.4,9.5,0.8,0.1,0.0,2.3,2.2,5479521,10.6,10.3,9.4,5.3,5.5,6.7,8.1,8.9,8.8,9.4,8.6,8.4
068,central de abastos,cuernavaca-central de abastos,mex-095d,102.0,15220,4.7,91.0,0.0,0.5,1.8,0.6,0.1,0.3,0.0,0.0,0.0,0.0,1.0,5570470,9.5,9.4,8.7,5.7,6.1,6.8,8.2,8.8,8.6,9.3,9.2,9.7
069,aeropuerto,cuernavaca-aereopuerto,mex-095d,104.85,14268,4.5,86.4,0.0,0.8,1.4,0.5,0.1,0.6,0.8,0.0,0.0,0.3,4.6,5222252,9.5,9.0,8.7,6.2,6.6,7.5,8.8,9.2,6.2,9.0,9.5,9.8
070,xochitepec,cuernavaca-xochitepec,mex-095d,107.9,2930,1.9,89.5,0.1,1.0,3.9,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.5,1072313,10.2,9.8,9.1,5.6,5.6,6.5,8.1,9.0,8.8,9.2,8.5,9.6
071,ing. francisco velasco durán,cuernavaca-puente de ixtla,mex-095d,123.0,12656,1.2,69.5,0.1,3.7,2.7,2.8,0.4,2.4,0.8,0.0,0.0,1.1,15.3,4631988,11.4,9.4,9.0,4.5,4.5,5.5,8.1,9.0,8.5,9.4,9.8,10.9
